,AT_CH,CH_AT,AT_CZ,CZ_AT,AT_DE_LU,DE_LU_AT,AT_HU,HU_AT,AT_IT_NORD,IT_NORD_AT,AT_SI,SI_AT,AT_CH_net_export,AT_CZ_net_export,AT_DE_LU_net_export,AT_HU_net_export,AT_IT_NORD_net_export,AT_SI_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,899.5,0.0,0.0,1894.1000000000001,0.0,2923.875,1305.075,0.0,0.0,165.0,2191.3,201.45,899.5,-1894.1000000000001,-2923.875,1305.075,-165.0,1989.8500000000001,-788.5500000000004,None,AT,2026-04-23
2026-01-01 01:00:00+00:00,900.0,0.0,0.0,457.125,0.0,4886.2,1041.175,0.0,0.0,165.0,2243.125,210.60000000000002,900.0,-457.125,-4886.2,1041.175,-165.0,2032.525,-1534.6249999999995,None,AT,2026-04-23
2026-01-01 02:00:00+00:00,899.1,0.0,0.0,4402.825,0.0,1463.775,1164.075,0.0,0.0,165.0,2077.15,121.075,899.1,-4402.825,-1463.775,1164.075,-165.0,1956.075,-2012.3500000000001,None,AT,2026-04-23
2026-01-01 03:00:00+00:00,899.1,0.0,0.0,2929.8250000000003,0.0,2869.075,0.0,0.0,0.0,165.0,2901.45,60.1,899.1,-2929.8250000000003,-2869.075,0.0,-165.0,2841.35,-2223.4500000000003,None,AT,2026-04-23
2026-01-01 04:00:00+00:00,900.0,0.0,0.0,4452.325,0.0,1734.575,0.0,0.0,0.0,165.0,3132.6,41.825,900.0,-4452.325,-1734.575,0.0,-165.0,3090.775,-2361.1249999999995,None,AT,2026-04-23
2026-01-01 05:00:00+00:00,900.0,0.0,0.0,5319.825,0.0,1291.675,0.0,0.0,0.0,165.0,3113.025,23.725,900.0,-5319.825,-1291.675,0.0,-165.0,3089.3,-2787.2,None,AT,2026-04-23
2026-01-01 06:00:00+00:00,900.0,0.0,0.0,2832.4,0.0,1268.225,0.0,0.0,0.0,165.0,327.575,73.05,900.0,-2832.4,-1268.225,0.0,-165.0,254.52499999999998,-3111.1,None,AT,2026-04-23
2026-01-01 07:00:00+00:00,900.0,0.0,0.0,3336.3500000000004,0.0,2358.125,0.0,0.0,0.0,165.0,1074.15,12.575,900.0,-3336.3500000000004,-2358.125,0.0,-165.0,1061.575,-3897.9000000000005,None,AT,2026-04-23
2026-01-01 08:00:00+00:00,899.5,0.0,0.0,2629.825,0.0,2339.325,0.0,0.0,0.0,112.5,175.8,75.4,899.5,-2629.825,-2339.325,0.0,-112.5,100.4,-4081.7499999999995,None,AT,2026-04-23
2026-01-01 09:00:00+00:00,750.0,0.0,0.0,3968.075,0.0,1181.9,0.0,0.0,364.0,0.0,63.275000000000006,123.45,750.0,-3968.075,-1181.9,0.0,364.0,-60.175,-4096.150000000001,None,AT,2026-04-23
2026-01-01 10:00:00+00:00,750.0,0.0,0.0,4068.45,0.0,0.0,0.0,0.0,39.5,84.0,0.0,572.75,750.0,-4068.45,0.0,0.0,-44.5,-572.75,-3935.7,None,AT,2026-04-23
2026-01-01 11:00:00+00:00,750.0,0.0,0.0,2753.8500000000004,0.0,2396.35,173.375,0.0,365.0,0.0,125.175,96.5,750.0,-2753.8500000000004,-2396.35,173.375,365.0,28.674999999999997,-3833.1500000000005,None,AT,2026-04-23
2026-01-01 12:00:00+00:00,749.9,0.0,0.0,2823.65,0.0,2268.725,409.0,0.0,63.0,123.75,231.85,115.60000000000001,749.9,-2823.65,-2268.725,409.0,-60.75,116.24999999999999,-3877.9750000000004,None,AT,2026-04-23
2026-01-01 13:00:00+00:00,748.7,0.0,0.0,1337.05,0.0,4637.95,1454.625,0.0,0.0,165.0,809.575,302.825,748.7,-1337.05,-4637.95,1454.625,-165.0,506.75000000000006,-3429.9249999999993,None,AT,2026-04-23
2026-01-01 14:00:00+00:00,850.0,0.0,0.0,707.475,0.0,6492.35,2560.55,0.0,0.0,165.0,867.725,405.2,850.0,-707.475,-6492.35,2560.55,-165.0,462.52500000000003,-3491.7500000000005,None,AT,2026-04-23
