,DK_1_DE_LU,DE_LU_DK_1,DK_1_DK_2,DK_2_DK_1,DK_1_NO_2,NO_2_DK_1,DK_1_SE_3,SE_3_DK_1,DK_1_NL,NL_DK_1,DK_1_GB,GB_DK_1,DK_1_DE_LU_net_export,DK_1_DK_2_net_export,DK_1_NO_2_net_export,DK_1_SE_3_net_export,DK_1_NL_net_export,DK_1_GB_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,356.0,93.5,0.0,600.0,1623.75,0.0,0.0,508.0,700.0,0.0,950.0,0.0,262.5,-600.0,1623.75,-508.0,700.0,950.0,2428.25,None,DK_1,2026-04-23
2026-01-01 01:00:00+00:00,0.0,1119.75,0.0,555.75,1680.0,0.0,0.0,16.5,700.0,0.0,950.0,0.0,-1119.75,-555.75,1680.0,-16.5,700.0,950.0,1638.0,None,DK_1,2026-04-23
2026-01-01 02:00:00+00:00,0.0,1939.25,2.75,297.25,1680.0,0.0,0.0,235.5,700.0,0.0,1000.0,0.0,-1939.25,-294.5,1680.0,-235.5,700.0,1000.0,910.75,None,DK_1,2026-04-23
2026-01-01 03:00:00+00:00,0.0,2380.0,386.25,0.0,1680.0,0.0,0.0,733.0,700.0,0.0,1000.0,0.0,-2380.0,386.25,1680.0,-733.0,700.0,1000.0,653.25,None,DK_1,2026-04-23
2026-01-01 04:00:00+00:00,0.0,2470.0,345.5,0.0,1680.0,0.0,0.0,733.0,700.0,0.0,950.0,0.0,-2470.0,345.5,1680.0,-733.0,700.0,950.0,472.5,None,DK_1,2026-04-23
2026-01-01 05:00:00+00:00,0.0,2500.0,291.25,0.0,1680.0,0.0,0.0,733.0,695.175,0.0,950.0,0.0,-2500.0,291.25,1680.0,-733.0,695.175,950.0,383.42499999999995,None,DK_1,2026-04-23
2026-01-01 06:00:00+00:00,0.0,2500.0,164.0,0.0,1680.0,0.0,0.0,733.0,700.0,0.0,942.0,0.0,-2500.0,164.0,1680.0,-733.0,700.0,942.0,253.0,None,DK_1,2026-04-23
2026-01-01 07:00:00+00:00,0.0,2500.0,93.75,0.0,1680.0,0.0,0.0,733.0,700.0,0.0,989.0,0.0,-2500.0,93.75,1680.0,-733.0,700.0,989.0,229.75,None,DK_1,2026-04-23
2026-01-01 08:00:00+00:00,0.0,2500.0,101.75,0.0,1680.0,0.0,0.0,733.0,700.0,0.0,1000.0,0.0,-2500.0,101.75,1680.0,-733.0,700.0,1000.0,248.75,None,DK_1,2026-04-23
2026-01-01 09:00:00+00:00,0.0,2500.0,180.0,0.0,1680.0,0.0,0.0,733.0,700.0,0.0,1000.0,0.0,-2500.0,180.0,1680.0,-733.0,700.0,1000.0,327.0,None,DK_1,2026-04-23
2026-01-01 10:00:00+00:00,0.0,2500.0,168.0,0.0,1680.0,0.0,0.0,733.0,700.0,0.0,1000.0,0.0,-2500.0,168.0,1680.0,-733.0,700.0,1000.0,315.0,None,DK_1,2026-04-23
2026-01-01 11:00:00+00:00,0.0,2500.0,217.0,0.0,1680.0,0.0,0.0,733.0,700.0,0.0,1000.0,0.0,-2500.0,217.0,1680.0,-733.0,700.0,1000.0,364.0,None,DK_1,2026-04-23
2026-01-01 12:00:00+00:00,0.0,2500.0,316.5,0.0,1680.0,0.0,0.0,733.0,700.0,0.0,1000.0,0.0,-2500.0,316.5,1680.0,-733.0,700.0,1000.0,463.5,None,DK_1,2026-04-23
2026-01-01 13:00:00+00:00,0.0,2500.0,324.5,0.0,1680.0,0.0,0.0,611.0,700.0,0.0,1000.0,0.0,-2500.0,324.5,1680.0,-611.0,700.0,1000.0,593.5,None,DK_1,2026-04-23
2026-01-01 14:00:00+00:00,0.0,2500.0,0.0,459.0,1680.0,0.0,0.0,70.75,700.0,0.0,1000.0,0.0,-2500.0,-459.0,1680.0,-70.75,700.0,1000.0,350.25,None,DK_1,2026-04-23
2026-01-01 15:00:00+00:00,0.0,2500.0,0.0,510.0,1680.0,0.0,81.75,0.0,700.0,0.0,1000.0,0.0,-2500.0,-510.0,1680.0,81.75,700.0,1000.0,451.75,None,DK_1,2026-04-23
