,GB_BE,BE_GB,GB_FR,FR_GB,GB_NL,NL_GB,GB_NO_2,NO_2_GB,GB_DK_1,DK_1_GB,GB_BE_net_export,GB_FR_net_export,GB_NL_net_export,GB_NO_2_net_export,GB_DK_1_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,252.0,117.0,2223.0,236.0,102.0,699.0,0.0,671.6,0.0,950.0,135.0,1987.0,-597.0,-671.6,-950.0,-96.60000000000002,None,GB,2026-04-23
2026-01-01 01:00:00+00:00,242.0,80.0,2915.0,236.0,90.0,784.0,0.0,694.9,0.0,950.0,162.0,2679.0,-694.0,-694.9,-950.0,502.0999999999999,None,GB,2026-04-23
2026-01-01 02:00:00+00:00,142.0,117.0,2309.0,236.0,45.0,782.0,0.0,398.9,0.0,1000.0,25.0,2073.0,-737.0,-398.9,-1000.0,-37.89999999999998,None,GB,2026-04-23
2026-01-01 03:00:00+00:00,133.0,244.0,2680.0,236.0,0.0,962.0,0.0,20.5,0.0,1000.0,-111.0,2444.0,-962.0,-20.5,-1000.0,350.5,None,GB,2026-04-23
2026-01-01 04:00:00+00:00,322.0,94.0,3214.0,236.0,45.0,710.0,141.9,0.0,0.0,950.0,228.0,2978.0,-665.0,141.9,-950.0,1732.9,None,GB,2026-04-23
2026-01-01 05:00:00+00:00,541.0,49.0,3417.0,307.0,0.0,498.0,147.7,0.0,0.0,950.0,492.0,3110.0,-498.0,147.7,-950.0,2301.7,None,GB,2026-04-23
2026-01-01 06:00:00+00:00,399.0,117.0,2793.0,307.0,0.0,698.0,363.3,0.0,0.0,942.0,282.0,2486.0,-698.0,363.3,-942.0,1491.3000000000002,None,GB,2026-04-23
2026-01-01 07:00:00+00:00,329.0,372.0,1968.0,350.0,0.0,730.0,228.6,0.0,0.0,989.0,-43.0,1618.0,-730.0,228.6,-989.0,84.59999999999991,None,GB,2026-04-23
2026-01-01 08:00:00+00:00,220.0,434.0,801.0,583.0,0.0,730.0,141.2,0.0,0.0,1000.0,-214.0,218.0,-730.0,141.2,-1000.0,-1584.8,None,GB,2026-04-23
2026-01-01 09:00:00+00:00,172.0,668.0,141.0,1272.0,0.0,731.0,0.0,0.0,0.0,1000.0,-496.0,-1131.0,-731.0,0.0,-1000.0,-3358.0,None,GB,2026-04-23
2026-01-01 10:00:00+00:00,172.0,817.0,0.0,1943.0,0.0,730.0,0.0,0.0,0.0,1000.0,-645.0,-1943.0,-730.0,0.0,-1000.0,-4318.0,None,GB,2026-04-23
2026-01-01 11:00:00+00:00,0.0,1032.0,0.0,1800.0,45.0,1047.0,117.2,0.0,0.0,1000.0,-1032.0,-1800.0,-1002.0,117.2,-1000.0,-4716.8,None,GB,2026-04-23
2026-01-01 12:00:00+00:00,0.0,1032.0,0.0,2821.0,0.0,1060.0,0.0,91.8,0.0,1000.0,-1032.0,-2821.0,-1060.0,-91.8,-1000.0,-6004.8,None,GB,2026-04-23
2026-01-01 13:00:00+00:00,0.0,1017.0,0.0,3140.0,0.0,1060.0,0.0,54.0,0.0,1000.0,-1017.0,-3140.0,-1060.0,-54.0,-1000.0,-6271.0,None,GB,2026-04-23
2026-01-01 14:00:00+00:00,0.0,995.0,0.0,3048.0,0.0,1059.0,0.0,519.0,0.0,1000.0,-995.0,-3048.0,-1059.0,-519.0,-1000.0,-6621.0,None,GB,2026-04-23
2026-01-01 15:00:00+00:00,0.0,918.0,0.0,3527.0,0.0,1060.0,0.0,984.0,0.0,1000.0,-918.0,-3527.0,-1060.0,-984.0,-1000.0,-7489.0,None,GB,2026-04-23
2026-01-01 16:00:00+00:00,0.0,1012.0,0.0,3528.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-1012.0,-3528.0,-1060.0,-1449.0,-1000.0,-8049.0,None,GB,2026-04-23
2026-01-01 17:00:00+00:00,0.0,1012.0,0.0,3528.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-1012.0,-3528.0,-1060.0,-1449.0,-1000.0,-8049.0,None,GB,2026-04-23
2026-01-01 18:00:00+00:00,0.0,1012.0,0.0,3528.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-1012.0,-3528.0,-1060.0,-1449.0,-1000.0,-8049.0,None,GB,2026-04-23
2026-01-01 19:00:00+00:00,0.0,843.0,0.0,3363.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-843.0,-3363.0,-1060.0,-1449.0,-1000.0,-7715.0,None,GB,2026-04-23
2026-01-01 20:00:00+00:00,0.0,782.0,0.0,2779.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-782.0,-2779.0,-1060.0,-1449.0,-1000.0,-7070.0,None,GB,2026-04-23
2026-01-01 21:00:00+00:00,119.0,522.0,165.0,1674.0,0.0,917.0,0.0,1154.4,0.0,1000.0,-403.0,-1509.0,-917.0,-1154.4,-1000.0,-4983.4,None,GB,2026-04-23
2026-01-01 22:00:00+00:00,367.0,136.0,425.0,1322.0,0.0,783.0,0.0,689.4,0.0,1000.0,231.0,-897.0,-783.0,-689.4,-1000.0,-3138.4,None,GB,2026-04-23
2026-01-01 23:00:00+00:00,59.0,55.0,263.0,1419.0,0.0,914.0,0.0,224.4,0.0,1000.0,4.0,-1156.0,-914.0,-224.4,-1000.0,-3290.4,None,GB,2026-04-23
2026-01-02 00:00:00+00:00,50.0,409.0,107.0,1936.0,0.0,1058.0,240.6,0.0,0.0,1000.0,-359.0,-1829.0,-1058.0,240.6,-1000.0,-4005.4,None,GB,2026-04-23
2026-01-02 01:00:00+00:00,50.0,342.0,121.0,1902.0,0.0,1059.0,705.6,0.0,0.0,1000.0,-292.0,-1781.0,-1059.0,705.6,-1000.0,-3426.4,None,GB,2026-04-23
2026-01-02 02:00:00+00:00,50.0,276.0,226.0,1370.0,0.0,1059.0,1035.0,0.0,0.0,1000.0,-226.0,-1144.0,-1059.0,1035.0,-1000.0,-2394.0,None,GB,2026-04-23
2026-01-02 03:00:00+00:00,50.0,255.0,525.0,1075.0,0.0,1059.0,1035.0,0.0,0.0,1000.0,-205.0,-550.0,-1059.0,1035.0,-1000.0,-1779.0,None,GB,2026-04-23
2026-01-02 04:00:00+00:00,50.0,299.0,884.0,848.0,0.0,821.0,876.0,0.0,0.0,806.0,-249.0,36.0,-821.0,876.0,-806.0,-964.0,None,GB,2026-04-23
2026-01-02 05:00:00+00:00,172.0,328.0,1279.0,675.0,106.0,705.0,411.0,0.0,0.0,687.0,-156.0,604.0,-599.0,411.0,-687.0,-427.0,None,GB,2026-04-23
2026-01-02 06:00:00+00:00,308.0,213.0,624.0,786.0,0.0,605.0,0.0,54.0,0.0,975.0,95.0,-162.0,-605.0,-54.0,-975.0,-1701.0,None,GB,2026-04-23
2026-01-02 07:00:00+00:00,225.0,188.0,55.0,1957.0,0.0,705.0,0.0,519.0,0.0,1000.0,37.0,-1902.0,-705.0,-519.0,-1000.0,-4089.0,None,GB,2026-04-23
2026-01-02 08:00:00+00:00,80.0,368.0,36.0,3368.0,0.0,1030.0,0.0,984.0,0.0,1000.0,-288.0,-3332.0,-1030.0,-984.0,-1000.0,-6634.0,None,GB,2026-04-23
2026-01-02 09:00:00+00:00,229.0,544.0,0.0,3528.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-315.0,-3528.0,-1060.0,-1449.0,-1000.0,-7352.0,None,GB,2026-04-23
2026-01-02 10:00:00+00:00,199.0,833.0,0.0,3528.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-634.0,-3528.0,-1060.0,-1449.0,-1000.0,-7671.0,None,GB,2026-04-23
2026-01-02 11:00:00+00:00,119.0,769.0,0.0,3310.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-650.0,-3310.0,-1060.0,-1449.0,-1000.0,-7469.0,None,GB,2026-04-23
2026-01-02 12:00:00+00:00,0.0,1032.0,0.0,3377.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-1032.0,-3377.0,-1060.0,-1449.0,-1000.0,-7918.0,None,GB,2026-04-23
2026-01-02 13:00:00+00:00,0.0,820.0,0.0,3480.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-820.0,-3480.0,-1060.0,-1449.0,-1000.0,-7809.0,None,GB,2026-04-23
2026-01-02 14:00:00+00:00,0.0,800.0,0.0,3527.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-800.0,-3527.0,-1060.0,-1449.0,-1000.0,-7836.0,None,GB,2026-04-23
2026-01-02 15:00:00+00:00,0.0,800.0,0.0,3084.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-800.0,-3084.0,-1060.0,-1449.0,-1000.0,-7393.0,None,GB,2026-04-23
2026-01-02 16:00:00+00:00,0.0,800.0,0.0,3084.0,0.0,1030.0,0.0,1449.0,0.0,1000.0,-800.0,-3084.0,-1030.0,-1449.0,-1000.0,-7363.0,None,GB,2026-04-23
2026-01-02 17:00:00+00:00,0.0,800.0,0.0,3083.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-800.0,-3083.0,-1060.0,-1449.0,-1000.0,-7392.0,None,GB,2026-04-23
2026-01-02 18:00:00+00:00,0.0,611.0,0.0,3052.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-611.0,-3052.0,-1060.0,-1449.0,-1000.0,-7172.0,None,GB,2026-04-23
2026-01-02 19:00:00+00:00,0.0,702.0,0.0,2254.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-702.0,-2254.0,-1060.0,-1449.0,-1000.0,-6465.0,None,GB,2026-04-23
2026-01-02 20:00:00+00:00,0.0,605.0,7.0,2286.0,0.0,1060.0,0.0,1449.0,0.0,1000.0,-605.0,-2279.0,-1060.0,-1449.0,-1000.0,-6393.0,None,GB,2026-04-23
2026-01-02 21:00:00+00:00,0.0,549.0,56.0,1557.0,0.0,1015.0,0.0,1449.0,0.0,950.0,-549.0,-1501.0,-1015.0,-1449.0,-950.0,-5464.0,None,GB,2026-04-23
2026-01-02 22:00:00+00:00,0.0,381.0,58.0,1206.0,0.0,725.0,0.0,1449.0,0.0,946.0,-381.0,-1148.0,-725.0,-1449.0,-946.0,-4649.0,None,GB,2026-04-23
