,GR_BG,BG_GR,GR_MK,MK_GR,GR_IT_SUD,IT_SUD_GR,GR_BG_net_export,GR_MK_net_export,GR_IT_SUD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,277.925,0.0,464.0,0.0,500.0,0.0,277.925,464.0,500.0,1241.925,None,GR,2026-04-23
2026-01-01 01:00:00+00:00,63.425,115.55000000000001,457.0,0.0,500.0,0.0,-52.125000000000014,457.0,500.0,904.875,None,GR,2026-04-23
2026-01-01 02:00:00+00:00,2.75,249.675,463.0,0.0,500.0,0.0,-246.925,463.0,500.0,716.075,None,GR,2026-04-23
2026-01-01 03:00:00+00:00,2.75,512.6,429.0,0.0,500.0,0.0,-509.85,429.0,500.0,419.15,None,GR,2026-04-23
2026-01-01 04:00:00+00:00,2.75,519.475,393.0,0.0,500.0,0.0,-516.725,393.0,500.0,376.275,None,GR,2026-04-23
2026-01-01 05:00:00+00:00,2.75,830.625,352.0,0.0,500.0,0.0,-827.875,352.0,500.0,24.125,None,GR,2026-04-23
2026-01-01 06:00:00+00:00,2.75,661.1,321.0,0.0,500.0,0.0,-658.35,321.0,500.0,162.64999999999998,None,GR,2026-04-23
2026-01-01 07:00:00+00:00,317.725,84.175,326.0,0.0,500.0,0.0,233.55,326.0,500.0,1059.55,None,GR,2026-04-23
2026-01-01 08:00:00+00:00,656.525,0.0,316.0,5.0,500.0,0.0,656.525,311.0,500.0,1467.525,None,GR,2026-04-23
2026-01-01 09:00:00+00:00,808.0,0.0,324.0,5.0,500.0,0.0,808.0,319.0,500.0,1627.0,None,GR,2026-04-23
2026-01-01 10:00:00+00:00,706.1,0.0,301.0,5.0,500.0,0.0,706.1,296.0,500.0,1502.1,None,GR,2026-04-23
2026-01-01 11:00:00+00:00,440.425,0.0,313.0,5.0,500.0,0.0,440.425,308.0,500.0,1248.425,None,GR,2026-04-23
2026-01-01 12:00:00+00:00,66.89999999999999,61.65,382.0,5.0,500.0,0.0,5.249999999999993,377.0,500.0,882.25,None,GR,2026-04-23
2026-01-01 13:00:00+00:00,2.75,614.95,445.0,0.0,500.0,0.0,-612.2,445.0,500.0,332.79999999999995,None,GR,2026-04-23
2026-01-01 14:00:00+00:00,2.75,1340.175,443.0,0.0,500.0,0.0,-1337.425,443.0,500.0,-394.42499999999995,None,GR,2026-04-23
2026-01-01 15:00:00+00:00,2.75,1328.075,402.0,0.0,0.0,249.0,-1325.325,402.0,-249.0,-1172.325,None,GR,2026-04-23
2026-01-01 16:00:00+00:00,2.75,1408.8,405.0,0.0,0.0,273.0,-1406.05,405.0,-273.0,-1274.05,None,GR,2026-04-23
2026-01-01 17:00:00+00:00,2.75,1404.925,394.0,0.0,0.0,169.0,-1402.175,394.0,-169.0,-1177.175,None,GR,2026-04-23
2026-01-01 18:00:00+00:00,2.75,1406.725,384.0,0.0,0.0,321.0,-1403.975,384.0,-321.0,-1340.975,None,GR,2026-04-23
2026-01-01 19:00:00+00:00,2.75,1407.575,411.0,0.0,0.0,500.0,-1404.825,411.0,-500.0,-1493.825,None,GR,2026-04-23
