,HR_BA,BA_HR,HR_HU,HU_HR,HR_RS,RS_HR,HR_SI,SI_HR,HR_BA_net_export,HR_HU_net_export,HR_RS_net_export,HR_SI_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,500.0,0.0,823.9,1017.575,461.0,0.0,47.0,1529.3,500.0,-193.67500000000007,461.0,-1482.3,-714.975,None,HR,2026-04-23
2026-01-01 01:00:00+00:00,500.0,0.0,1801.725,668.2750000000001,461.0,0.0,47.0,2800.525,500.0,1133.4499999999998,461.0,-2753.525,-659.0750000000003,None,HR,2026-04-23
2026-01-01 02:00:00+00:00,500.0,0.0,0.0,1252.825,461.0,0.0,46.0,351.0,500.0,-1252.825,461.0,-305.0,-596.825,None,HR,2026-04-23
2026-01-01 03:00:00+00:00,500.0,0.0,1369.5749999999998,525.9,300.0,0.0,47.0,2245.625,500.0,843.6749999999998,300.0,-2198.625,-554.9500000000003,None,HR,2026-04-23
2026-01-01 04:00:00+00:00,500.0,0.0,851.5,712.5,321.0,0.0,49.0,1449.05,500.0,139.0,321.0,-1400.05,-440.04999999999995,None,HR,2026-04-23
2026-01-01 05:00:00+00:00,409.0,0.0,831.4,660.9,316.0,0.0,53.0,1409.8,409.0,170.5,316.0,-1356.8,-461.29999999999995,None,HR,2026-04-23
2026-01-01 06:00:00+00:00,411.0,0.0,122.375,725.625,361.0,0.0,52.0,708.575,411.0,-603.25,361.0,-656.575,-487.82500000000005,None,HR,2026-04-23
2026-01-01 07:00:00+00:00,413.0,0.0,284.35,509.525,271.0,0.0,50.0,1059.65,413.0,-225.17499999999995,271.0,-1009.6500000000001,-550.825,None,HR,2026-04-23
2026-01-01 08:00:00+00:00,500.0,0.0,0.0,1094.65,296.0,0.0,69.3,428.625,500.0,-1094.65,296.0,-359.325,-657.9750000000001,None,HR,2026-04-23
2026-01-01 09:00:00+00:00,500.0,0.0,0.0,1170.0,329.0,0.0,126.275,351.0,500.0,-1170.0,329.0,-224.725,-565.725,None,HR,2026-04-23
2026-01-01 10:00:00+00:00,500.0,0.0,0.0,1139.35,357.0,0.0,43.0,351.0,500.0,-1139.35,357.0,-308.0,-590.3499999999999,None,HR,2026-04-23
2026-01-01 11:00:00+00:00,470.0,0.0,0.0,1049.225,361.0,0.0,42.0,351.0,470.0,-1049.225,361.0,-309.0,-527.2249999999999,None,HR,2026-04-23
2026-01-01 12:00:00+00:00,500.0,0.0,0.0,838.925,306.0,0.0,41.0,449.25,500.0,-838.925,306.0,-408.25,-441.17499999999995,None,HR,2026-04-23
2026-01-01 13:00:00+00:00,500.0,0.0,688.65,611.0,256.0,0.0,43.0,1253.7,500.0,77.64999999999998,256.0,-1210.7,-377.05000000000007,None,HR,2026-04-23
2026-01-01 14:00:00+00:00,439.0,0.0,976.9,139.125,166.0,0.0,45.0,1366.275,439.0,837.775,166.0,-1321.275,121.5,None,HR,2026-04-23
2026-01-01 15:00:00+00:00,350.0,0.0,0.0,231.15,315.0,0.0,48.0,351.0,350.0,-231.15,315.0,-303.0,130.85000000000002,None,HR,2026-04-23
