,HU_AT,AT_HU,HU_HR,HR_HU,HU_RO,RO_HU,HU_RS,RS_HU,HU_SI,SI_HU,HU_SK,SK_HU,HU_AT_net_export,HU_HR_net_export,HU_RO_net_export,HU_RS_net_export,HU_SI_net_export,HU_SK_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,1305.075,1017.575,823.9,1836.75,0.0,706.0,45.0,0.0,1211.85,0.0,1964.475,-1305.075,193.67500000000007,1836.75,661.0,-1211.85,-1964.475,-1789.975,None,HU,2026-04-23
2026-01-01 01:00:00+00:00,0.0,1041.175,668.2750000000001,1801.725,1988.425,0.0,604.0,45.0,0.0,0.0,0.0,2034.6499999999999,-1041.175,-1133.4499999999998,1988.425,559.0,0.0,-2034.6499999999999,-1661.85,None,HU,2026-04-23
2026-01-01 02:00:00+00:00,0.0,1164.075,1252.825,0.0,1906.3,0.0,563.0,45.0,0.0,2194.525,0.0,2064.2,-1164.075,1252.825,1906.3,518.0,-2194.525,-2064.2,-1745.6749999999997,None,HU,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.0,525.9,1369.5749999999998,1988.05,0.0,543.0,45.0,0.0,1176.025,0.0,2195.625,0.0,-843.6749999999998,1988.05,498.0,-1176.025,-2195.625,-1729.275,None,HU,2026-04-23
2026-01-01 04:00:00+00:00,0.0,0.0,712.5,851.5,1862.625,0.0,428.0,45.0,0.0,2162.275,0.0,1611.9499999999998,0.0,-139.0,1862.625,383.0,-2162.275,-1611.9499999999998,-1667.6,None,HU,2026-04-23
2026-01-01 05:00:00+00:00,0.0,0.0,660.9,831.4,1782.25,0.0,490.0,45.0,0.0,2136.2,0.0,1498.925,0.0,-170.5,1782.25,445.0,-2136.2,-1498.925,-1578.3749999999998,None,HU,2026-04-23
2026-01-01 06:00:00+00:00,0.0,0.0,725.625,122.375,928.825,0.0,447.0,45.0,0.0,0.0,0.0,3798.975,0.0,603.25,928.825,402.0,0.0,-3798.975,-1864.8999999999999,None,HU,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.0,509.525,284.35,0.0,1659.6750000000002,375.0,45.0,0.0,390.925,0.0,497.525,0.0,225.17499999999995,-1659.6750000000002,330.0,-390.925,-497.525,-1992.9500000000003,None,HU,2026-04-23
2026-01-01 08:00:00+00:00,0.0,0.0,1094.65,0.0,0.0,2784.1,414.0,80.0,0.0,159.85,50.974999999999994,353.2,0.0,1094.65,-2784.1,334.0,-159.85,-302.225,-1817.5249999999996,None,HU,2026-04-23
2026-01-01 09:00:00+00:00,0.0,0.0,1170.0,0.0,0.0,3054.4,475.0,80.0,7.55,49.625,67.85,114.975,0.0,1170.0,-3054.4,395.0,-42.075,-47.125,-1578.6000000000001,None,HU,2026-04-23
2026-01-01 10:00:00+00:00,0.0,0.0,1139.35,0.0,0.0,2365.7,497.0,80.0,316.35,0.0,0.0,780.475,0.0,1139.35,-2365.7,417.0,316.35,-780.475,-1273.475,None,HU,2026-04-23
2026-01-01 11:00:00+00:00,0.0,173.375,1049.225,0.0,0.0,2161.225,511.0,80.0,0.0,196.975,92.75,264.6,-173.375,1049.225,-2161.225,431.0,-196.975,-171.85000000000002,-1223.1999999999998,None,HU,2026-04-23
2026-01-01 12:00:00+00:00,0.0,409.0,838.925,0.0,0.0,1373.875,418.0,80.0,0.0,457.65000000000003,136.2,152.25,-409.0,838.925,-1373.875,338.0,-457.65000000000003,-16.05000000000001,-1079.65,None,HU,2026-04-23
