,IT_CALA_IT_SICI,IT_SICI_IT_CALA,IT_CALA_IT_SUD,IT_SUD_IT_CALA,IT_CALA_IT_SICI_net_export,IT_CALA_IT_SUD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,513.25,0.0,998.25,0.0,513.25,998.25,1511.5,None,IT_CALA,2026-04-23
2026-01-01 01:00:00+00:00,775.25,0.0,785.75,0.0,775.25,785.75,1561.0,None,IT_CALA,2026-04-23
2026-01-01 02:00:00+00:00,747.5,0.0,785.25,0.0,747.5,785.25,1532.75,None,IT_CALA,2026-04-23
2026-01-01 03:00:00+00:00,728.75,0.0,797.0,0.0,728.75,797.0,1525.75,None,IT_CALA,2026-04-23
2026-01-01 04:00:00+00:00,726.5,0.0,791.0,0.0,726.5,791.0,1517.5,None,IT_CALA,2026-04-23
2026-01-01 05:00:00+00:00,748.75,0.0,723.0,0.0,748.75,723.0,1471.75,None,IT_CALA,2026-04-23
2026-01-01 06:00:00+00:00,557.75,0.0,926.0,0.0,557.75,926.0,1483.75,None,IT_CALA,2026-04-23
2026-01-01 07:00:00+00:00,604.75,0.0,988.75,0.0,604.75,988.75,1593.5,None,IT_CALA,2026-04-23
2026-01-01 08:00:00+00:00,514.75,0.0,296.25,0.0,514.75,296.25,811.0,None,IT_CALA,2026-04-23
2026-01-01 09:00:00+00:00,456.25,0.0,141.75,0.0,456.25,141.75,598.0,None,IT_CALA,2026-04-23
2026-01-01 10:00:00+00:00,392.0,0.0,187.5,0.0,392.0,187.5,579.5,None,IT_CALA,2026-04-23
2026-01-01 11:00:00+00:00,363.5,0.0,216.75,0.0,363.5,216.75,580.25,None,IT_CALA,2026-04-23
2026-01-01 12:00:00+00:00,290.75,0.0,277.75,0.0,290.75,277.75,568.5,None,IT_CALA,2026-04-23
2026-01-01 13:00:00+00:00,230.5,0.0,324.25,0.0,230.5,324.25,554.75,None,IT_CALA,2026-04-23
2026-01-01 14:00:00+00:00,391.25,0.0,564.75,0.0,391.25,564.75,956.0,None,IT_CALA,2026-04-23
2026-01-01 15:00:00+00:00,324.25,0.0,1166.0,0.0,324.25,1166.0,1490.25,None,IT_CALA,2026-04-23
2026-01-01 16:00:00+00:00,177.75,0.0,1240.5,0.0,177.75,1240.5,1418.25,None,IT_CALA,2026-04-23
2026-01-01 17:00:00+00:00,189.25,0.0,1288.25,0.0,189.25,1288.25,1477.5,None,IT_CALA,2026-04-23
2026-01-01 18:00:00+00:00,191.0,0.0,1486.5,0.0,191.0,1486.5,1677.5,None,IT_CALA,2026-04-23
2026-01-01 19:00:00+00:00,149.75,0.0,1362.25,0.0,149.75,1362.25,1512.0,None,IT_CALA,2026-04-23
2026-01-01 20:00:00+00:00,18.25,31.25,1326.25,0.0,-13.0,1326.25,1313.25,None,IT_CALA,2026-04-23
2026-01-01 21:00:00+00:00,296.75,35.5,945.0,0.0,261.25,945.0,1206.25,None,IT_CALA,2026-04-23
2026-01-01 22:00:00+00:00,533.75,0.0,181.75,0.0,533.75,181.75,715.5,None,IT_CALA,2026-04-23
2026-01-01 23:00:00+00:00,458.25,0.0,161.75,0.0,458.25,161.75,620.0,None,IT_CALA,2026-04-23
2026-01-02 00:00:00+00:00,326.75,0.0,349.25,0.0,326.75,349.25,676.0,None,IT_CALA,2026-04-23
2026-01-02 01:00:00+00:00,266.25,0.0,446.25,0.0,266.25,446.25,712.5,None,IT_CALA,2026-04-23
2026-01-02 02:00:00+00:00,259.5,0.0,473.75,0.0,259.5,473.75,733.25,None,IT_CALA,2026-04-23
2026-01-02 03:00:00+00:00,212.25,0.0,576.0,0.0,212.25,576.0,788.25,None,IT_CALA,2026-04-23
2026-01-02 04:00:00+00:00,186.5,0.0,625.75,0.0,186.5,625.75,812.25,None,IT_CALA,2026-04-23
2026-01-02 05:00:00+00:00,120.25,132.5,819.5,0.0,-12.25,819.5,807.25,None,IT_CALA,2026-04-23
2026-01-02 06:00:00+00:00,89.75,297.75,1010.75,0.0,-208.0,1010.75,802.75,None,IT_CALA,2026-04-23
2026-01-02 07:00:00+00:00,0.0,374.25,1322.5,0.0,-374.25,1322.5,948.25,None,IT_CALA,2026-04-23
2026-01-02 08:00:00+00:00,0.0,826.75,791.25,0.0,-826.75,791.25,-35.5,None,IT_CALA,2026-04-23
2026-01-02 09:00:00+00:00,0.0,658.0,643.25,0.0,-658.0,643.25,-14.75,None,IT_CALA,2026-04-23
2026-01-02 10:00:00+00:00,0.0,716.25,733.5,0.0,-716.25,733.5,17.25,None,IT_CALA,2026-04-23
2026-01-02 11:00:00+00:00,0.0,881.75,936.5,0.0,-881.75,936.5,54.75,None,IT_CALA,2026-04-23
2026-01-02 12:00:00+00:00,0.0,964.25,1108.75,0.0,-964.25,1108.75,144.5,None,IT_CALA,2026-04-23
2026-01-02 13:00:00+00:00,0.0,852.0,1009.5,0.0,-852.0,1009.5,157.5,None,IT_CALA,2026-04-23
2026-01-02 14:00:00+00:00,0.0,644.0,1177.25,0.0,-644.0,1177.25,533.25,None,IT_CALA,2026-04-23
