,IT_CNOR_IT_NORD,IT_NORD_IT_CNOR,IT_CNOR_IT_CSUD,IT_CSUD_IT_CNOR,IT_CNOR_IT_NORD_net_export,IT_CNOR_IT_CSUD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,2185.75,1640.5,0.0,-2185.75,1640.5,-545.25,None,IT_CNOR,2026-04-23
2026-01-01 01:00:00+00:00,0.0,2381.75,1870.5,0.0,-2381.75,1870.5,-511.25,None,IT_CNOR,2026-04-23
2026-01-01 02:00:00+00:00,0.0,2188.75,1727.0,0.0,-2188.75,1727.0,-461.75,None,IT_CNOR,2026-04-23
2026-01-01 03:00:00+00:00,0.0,1793.25,1250.5,0.0,-1793.25,1250.5,-542.75,None,IT_CNOR,2026-04-23
2026-01-01 04:00:00+00:00,0.0,1627.5,1105.5,0.0,-1627.5,1105.5,-522.0,None,IT_CNOR,2026-04-23
2026-01-01 05:00:00+00:00,0.0,1769.5,1248.25,0.0,-1769.5,1248.25,-521.25,None,IT_CNOR,2026-04-23
2026-01-01 06:00:00+00:00,0.0,1849.25,1288.0,0.0,-1849.25,1288.0,-561.25,None,IT_CNOR,2026-04-23
2026-01-01 07:00:00+00:00,0.0,1257.25,656.75,0.0,-1257.25,656.75,-600.5,None,IT_CNOR,2026-04-23
2026-01-01 08:00:00+00:00,0.0,795.0,342.25,0.0,-795.0,342.25,-452.75,None,IT_CNOR,2026-04-23
2026-01-01 09:00:00+00:00,0.0,519.5,0.0,86.5,-519.5,-86.5,-606.0,None,IT_CNOR,2026-04-23
2026-01-01 10:00:00+00:00,0.0,545.5,94.25,177.5,-545.5,-83.25,-628.75,None,IT_CNOR,2026-04-23
2026-01-01 11:00:00+00:00,0.0,837.25,253.0,0.0,-837.25,253.0,-584.25,None,IT_CNOR,2026-04-23
2026-01-01 12:00:00+00:00,60.25,79.25,0.0,573.5,-19.0,-573.5,-592.5,None,IT_CNOR,2026-04-23
2026-01-01 13:00:00+00:00,20.25,257.5,0.0,405.5,-237.25,-405.5,-642.75,None,IT_CNOR,2026-04-23
