,IT_CSUD_IT_CNOR,IT_CNOR_IT_CSUD,IT_CSUD_IT_SARD,IT_SARD_IT_CSUD,IT_CSUD_IT_SUD,IT_SUD_IT_CSUD,IT_CSUD_ME,ME_IT_CSUD,IT_CSUD_IT_CNOR_net_export,IT_CSUD_IT_SARD_net_export,IT_CSUD_IT_SUD_net_export,IT_CSUD_ME_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,1640.5,518.75,0.0,0.0,1777.25,67.0,110.0,-1640.5,518.75,-1777.25,-43.0,-2942.0,None,IT_CSUD,2026-04-23
2026-01-01 01:00:00+00:00,0.0,1870.5,719.25,0.0,0.0,1555.75,32.0,109.0,-1870.5,719.25,-1555.75,-77.0,-2784.0,None,IT_CSUD,2026-04-23
2026-01-01 02:00:00+00:00,0.0,1727.0,720.0,0.0,0.0,1468.25,20.0,140.0,-1727.0,720.0,-1468.25,-120.0,-2595.25,None,IT_CSUD,2026-04-23
2026-01-01 03:00:00+00:00,0.0,1250.5,306.75,0.0,0.0,1341.0,0.0,180.0,-1250.5,306.75,-1341.0,-180.0,-2464.75,None,IT_CSUD,2026-04-23
2026-01-01 04:00:00+00:00,0.0,1105.5,215.25,0.0,0.0,1366.5,0.0,180.0,-1105.5,215.25,-1366.5,-180.0,-2436.75,None,IT_CSUD,2026-04-23
2026-01-01 05:00:00+00:00,0.0,1248.25,238.75,0.0,0.0,1478.5,0.0,165.0,-1248.25,238.75,-1478.5,-165.0,-2653.0,None,IT_CSUD,2026-04-23
2026-01-01 06:00:00+00:00,0.0,1288.0,305.0,0.0,0.0,1786.0,40.0,180.0,-1288.0,305.0,-1786.0,-140.0,-2909.0,None,IT_CSUD,2026-04-23
2026-01-01 07:00:00+00:00,0.0,656.75,267.25,0.0,0.0,2139.5,10.0,169.0,-656.75,267.25,-2139.5,-159.0,-2688.0,None,IT_CSUD,2026-04-23
2026-01-01 08:00:00+00:00,0.0,342.25,80.0,0.0,0.0,1963.0,7.0,162.0,-342.25,80.0,-1963.0,-155.0,-2380.25,None,IT_CSUD,2026-04-23
2026-01-01 09:00:00+00:00,86.5,0.0,0.0,85.0,0.0,2173.25,0.0,162.0,86.5,-85.0,-2173.25,-162.0,-2333.75,None,IT_CSUD,2026-04-23
2026-01-01 10:00:00+00:00,177.5,94.25,122.0,74.25,0.0,2349.0,0.0,164.0,83.25,47.75,-2349.0,-164.0,-2382.0,None,IT_CSUD,2026-04-23
2026-01-01 11:00:00+00:00,0.0,253.0,418.0,0.0,0.0,2440.75,1.0,162.0,-253.0,418.0,-2440.75,-161.0,-2436.75,None,IT_CSUD,2026-04-23
2026-01-01 12:00:00+00:00,573.5,0.0,0.0,193.75,0.0,2515.0,0.0,162.0,573.5,-193.75,-2515.0,-162.0,-2297.25,None,IT_CSUD,2026-04-23
2026-01-01 13:00:00+00:00,405.5,0.0,0.0,147.5,0.0,2333.75,0.0,162.0,405.5,-147.5,-2333.75,-162.0,-2237.75,None,IT_CSUD,2026-04-23
2026-01-01 14:00:00+00:00,0.0,387.5,39.75,5.0,0.0,1835.5,67.0,134.0,-387.5,34.75,-1835.5,-67.0,-2255.25,None,IT_CSUD,2026-04-23
2026-01-01 15:00:00+00:00,0.0,1020.25,272.25,0.0,0.0,1530.0,36.0,142.0,-1020.25,272.25,-1530.0,-106.0,-2384.0,None,IT_CSUD,2026-04-23
2026-01-01 16:00:00+00:00,0.0,1338.5,430.5,0.0,0.0,1675.75,37.0,106.0,-1338.5,430.5,-1675.75,-69.0,-2652.75,None,IT_CSUD,2026-04-23
2026-01-01 17:00:00+00:00,0.0,1116.5,476.5,0.0,0.0,2011.5,33.0,106.0,-1116.5,476.5,-2011.5,-73.0,-2724.5,None,IT_CSUD,2026-04-23
2026-01-01 18:00:00+00:00,0.0,897.5,501.5,0.0,0.0,2222.25,45.0,102.0,-897.5,501.5,-2222.25,-57.0,-2675.25,None,IT_CSUD,2026-04-23
2026-01-01 19:00:00+00:00,0.0,1014.75,471.0,0.0,0.0,2020.0,58.0,132.0,-1014.75,471.0,-2020.0,-74.0,-2637.75,None,IT_CSUD,2026-04-23
2026-01-01 20:00:00+00:00,0.0,855.0,352.5,0.0,0.0,2385.25,88.0,109.0,-855.0,352.5,-2385.25,-21.0,-2908.75,None,IT_CSUD,2026-04-23
2026-01-01 21:00:00+00:00,0.0,416.0,241.5,0.0,0.0,2408.0,90.0,110.0,-416.0,241.5,-2408.0,-20.0,-2602.5,None,IT_CSUD,2026-04-23
2026-01-01 22:00:00+00:00,10.5,68.75,134.75,0.0,0.0,2132.75,80.0,128.0,-58.25,134.75,-2132.75,-48.0,-2104.25,None,IT_CSUD,2026-04-23
2026-01-01 23:00:00+00:00,399.0,0.0,0.0,77.5,0.0,2013.25,10.0,80.0,399.0,-77.5,-2013.25,-70.0,-1761.75,None,IT_CSUD,2026-04-23
2026-01-02 00:00:00+00:00,1243.25,0.0,0.0,189.25,0.0,2297.75,10.0,80.0,1243.25,-189.25,-2297.75,-70.0,-1313.75,None,IT_CSUD,2026-04-23
2026-01-02 01:00:00+00:00,1731.5,0.0,0.0,263.0,0.0,2492.5,10.0,80.0,1731.5,-263.0,-2492.5,-70.0,-1094.0,None,IT_CSUD,2026-04-23
2026-01-02 02:00:00+00:00,1971.0,0.0,0.0,266.25,0.0,2637.75,10.0,80.0,1971.0,-266.25,-2637.75,-70.0,-1003.0,None,IT_CSUD,2026-04-23
2026-01-02 03:00:00+00:00,2303.75,0.0,0.0,276.5,0.0,2848.5,10.0,80.0,2303.75,-276.5,-2848.5,-70.0,-891.25,None,IT_CSUD,2026-04-23
2026-01-02 04:00:00+00:00,2276.75,0.0,0.0,221.25,0.0,2981.0,10.0,80.0,2276.75,-221.25,-2981.0,-70.0,-995.5,None,IT_CSUD,2026-04-23
2026-01-02 05:00:00+00:00,1727.5,0.0,0.0,145.5,0.0,3049.5,10.0,80.0,1727.5,-145.5,-3049.5,-70.0,-1537.5,None,IT_CSUD,2026-04-23
2026-01-02 06:00:00+00:00,1105.25,0.0,4.25,18.0,0.0,3252.0,10.0,80.0,1105.25,-13.75,-3252.0,-70.0,-2230.5,None,IT_CSUD,2026-04-23
2026-01-02 07:00:00+00:00,1239.5,0.0,8.75,9.5,0.0,3700.0,10.0,80.0,1239.5,-0.75,-3700.0,-70.0,-2531.25,None,IT_CSUD,2026-04-23
2026-01-02 08:00:00+00:00,1293.0,0.0,0.0,148.25,0.0,3574.25,10.0,80.0,1293.0,-148.25,-3574.25,-70.0,-2499.5,None,IT_CSUD,2026-04-23
2026-01-02 09:00:00+00:00,1865.5,0.0,0.0,336.75,0.0,3699.0,10.0,80.0,1865.5,-336.75,-3699.0,-70.0,-2240.25,None,IT_CSUD,2026-04-23
2026-01-02 10:00:00+00:00,2157.75,0.0,0.0,447.75,0.0,3700.0,10.0,80.0,2157.75,-447.75,-3700.0,-70.0,-2060.0,None,IT_CSUD,2026-04-23
2026-01-02 11:00:00+00:00,2233.0,0.0,0.0,500.0,0.0,3699.75,10.0,80.0,2233.0,-500.0,-3699.75,-70.0,-2036.75,None,IT_CSUD,2026-04-23
2026-01-02 12:00:00+00:00,2261.25,0.0,0.0,500.0,0.0,3700.0,10.0,30.0,2261.25,-500.0,-3700.0,-20.0,-1958.75,None,IT_CSUD,2026-04-23
2026-01-02 13:00:00+00:00,1844.0,0.0,0.0,500.0,0.0,3554.5,10.0,30.0,1844.0,-500.0,-3554.5,-20.0,-2230.5,None,IT_CSUD,2026-04-23
2026-01-02 14:00:00+00:00,1711.75,0.0,0.0,460.0,0.0,3698.25,10.0,30.0,1711.75,-460.0,-3698.25,-20.0,-2466.5,None,IT_CSUD,2026-04-23
2026-01-02 15:00:00+00:00,1068.5,0.0,0.0,248.75,0.0,3384.0,10.0,30.0,1068.5,-248.75,-3384.0,-20.0,-2584.25,None,IT_CSUD,2026-04-23
2026-01-02 16:00:00+00:00,830.75,0.0,0.0,160.0,0.0,3570.75,10.0,80.0,830.75,-160.0,-3570.75,-70.0,-2970.0,None,IT_CSUD,2026-04-23
2026-01-02 17:00:00+00:00,826.5,0.0,0.0,500.0,0.0,3193.25,10.0,80.0,826.5,-500.0,-3193.25,-70.0,-2936.75,None,IT_CSUD,2026-04-23
2026-01-02 18:00:00+00:00,813.0,0.0,0.0,404.25,0.0,3388.75,10.0,80.0,813.0,-404.25,-3388.75,-70.0,-3050.0,None,IT_CSUD,2026-04-23
2026-01-02 19:00:00+00:00,813.0,0.0,0.0,478.75,0.0,2903.75,10.0,80.0,813.0,-478.75,-2903.75,-70.0,-2639.5,None,IT_CSUD,2026-04-23
2026-01-02 20:00:00+00:00,1184.75,0.0,0.0,145.5,0.0,3302.25,10.0,80.0,1184.75,-145.5,-3302.25,-70.0,-2333.0,None,IT_CSUD,2026-04-23
2026-01-02 21:00:00+00:00,1178.75,0.0,0.0,242.75,0.0,3017.5,10.0,80.0,1178.75,-242.75,-3017.5,-70.0,-2151.5,None,IT_CSUD,2026-04-23
2026-01-02 22:00:00+00:00,1583.5,0.0,0.0,339.75,0.0,3033.25,10.0,80.0,1583.5,-339.75,-3033.25,-70.0,-1859.5,None,IT_CSUD,2026-04-23
