,IT_NORD_CH,CH_IT_NORD,IT_NORD_FR,FR_IT_NORD,IT_NORD_SI,SI_IT_NORD,IT_NORD_AT,AT_IT_NORD,IT_NORD_IT_CNOR,IT_CNOR_IT_NORD,IT_NORD_CH_net_export,IT_NORD_FR_net_export,IT_NORD_SI_net_export,IT_NORD_AT_net_export,IT_NORD_IT_CNOR_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,146.0,967.0,0.0,2829.0,680.0,0.0,165.0,0.0,2185.75,0.0,-821.0,-2829.0,680.0,165.0,2185.75,-619.25,None,IT_NORD,2026-04-23
2026-01-01 01:00:00+00:00,125.0,927.0,0.0,2829.0,680.0,0.0,165.0,0.0,2381.75,0.0,-802.0,-2829.0,680.0,165.0,2381.75,-404.25,None,IT_NORD,2026-04-23
2026-01-01 02:00:00+00:00,95.0,1089.0,0.0,2829.0,680.0,0.0,165.0,0.0,2188.75,0.0,-994.0,-2829.0,680.0,165.0,2188.75,-789.25,None,IT_NORD,2026-04-23
2026-01-01 03:00:00+00:00,118.75,1005.0,0.0,2829.0,680.0,0.0,165.0,0.0,1793.25,0.0,-886.25,-2829.0,680.0,165.0,1793.25,-1077.0,None,IT_NORD,2026-04-23
2026-01-01 04:00:00+00:00,234.5,1213.0,0.0,2829.0,680.0,0.0,165.0,0.0,1627.5,0.0,-978.5,-2829.0,680.0,165.0,1627.5,-1335.0,None,IT_NORD,2026-04-23
2026-01-01 05:00:00+00:00,112.75,1204.0,0.0,2829.0,680.0,0.0,165.0,0.0,1769.5,0.0,-1091.25,-2829.0,680.0,165.0,1769.5,-1305.75,None,IT_NORD,2026-04-23
2026-01-01 06:00:00+00:00,44.0,1396.0,0.0,2829.0,680.0,0.0,165.0,0.0,1849.25,0.0,-1352.0,-2829.0,680.0,165.0,1849.25,-1486.75,None,IT_NORD,2026-04-23
2026-01-01 07:00:00+00:00,279.25,1391.0,0.0,2829.0,680.0,0.0,165.0,0.0,1257.25,0.0,-1111.75,-2829.0,680.0,165.0,1257.25,-1838.5,None,IT_NORD,2026-04-23
2026-01-01 08:00:00+00:00,90.0,1354.0,0.0,2831.5,680.0,0.0,112.5,0.0,795.0,0.0,-1264.0,-2831.5,680.0,112.5,795.0,-2508.0,None,IT_NORD,2026-04-23
2026-01-01 09:00:00+00:00,230.5,1156.0,0.0,2174.25,499.25,0.0,0.0,364.0,519.5,0.0,-925.5,-2174.25,499.25,-364.0,519.5,-2445.0,None,IT_NORD,2026-04-23
