,IT_SARD_IT_CSUD,IT_CSUD_IT_SARD,IT_SARD_IT_CSUD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,518.75,-518.75,-518.75,None,IT_SARD,2026-04-23
2026-01-01 01:00:00+00:00,0.0,719.25,-719.25,-719.25,None,IT_SARD,2026-04-23
2026-01-01 02:00:00+00:00,0.0,720.0,-720.0,-720.0,None,IT_SARD,2026-04-23
2026-01-01 03:00:00+00:00,0.0,306.75,-306.75,-306.75,None,IT_SARD,2026-04-23
2026-01-01 04:00:00+00:00,0.0,215.25,-215.25,-215.25,None,IT_SARD,2026-04-23
2026-01-01 05:00:00+00:00,0.0,238.75,-238.75,-238.75,None,IT_SARD,2026-04-23
2026-01-01 06:00:00+00:00,0.0,305.0,-305.0,-305.0,None,IT_SARD,2026-04-23
2026-01-01 07:00:00+00:00,0.0,267.25,-267.25,-267.25,None,IT_SARD,2026-04-23
2026-01-01 08:00:00+00:00,0.0,80.0,-80.0,-80.0,None,IT_SARD,2026-04-23
2026-01-01 09:00:00+00:00,85.0,0.0,85.0,85.0,None,IT_SARD,2026-04-23
2026-01-01 10:00:00+00:00,74.25,122.0,-47.75,-47.75,None,IT_SARD,2026-04-23
2026-01-01 11:00:00+00:00,0.0,418.0,-418.0,-418.0,None,IT_SARD,2026-04-23
2026-01-01 12:00:00+00:00,193.75,0.0,193.75,193.75,None,IT_SARD,2026-04-23
2026-01-01 13:00:00+00:00,147.5,0.0,147.5,147.5,None,IT_SARD,2026-04-23
2026-01-01 14:00:00+00:00,5.0,39.75,-34.75,-34.75,None,IT_SARD,2026-04-23
2026-01-01 15:00:00+00:00,0.0,272.25,-272.25,-272.25,None,IT_SARD,2026-04-23
2026-01-01 16:00:00+00:00,0.0,430.5,-430.5,-430.5,None,IT_SARD,2026-04-23
2026-01-01 17:00:00+00:00,0.0,476.5,-476.5,-476.5,None,IT_SARD,2026-04-23
2026-01-01 18:00:00+00:00,0.0,501.5,-501.5,-501.5,None,IT_SARD,2026-04-23
2026-01-01 19:00:00+00:00,0.0,471.0,-471.0,-471.0,None,IT_SARD,2026-04-23
2026-01-01 20:00:00+00:00,0.0,352.5,-352.5,-352.5,None,IT_SARD,2026-04-23
2026-01-01 21:00:00+00:00,0.0,241.5,-241.5,-241.5,None,IT_SARD,2026-04-23
2026-01-01 22:00:00+00:00,0.0,134.75,-134.75,-134.75,None,IT_SARD,2026-04-23
2026-01-01 23:00:00+00:00,77.5,0.0,77.5,77.5,None,IT_SARD,2026-04-23
2026-01-02 00:00:00+00:00,189.25,0.0,189.25,189.25,None,IT_SARD,2026-04-23
2026-01-02 01:00:00+00:00,263.0,0.0,263.0,263.0,None,IT_SARD,2026-04-23
2026-01-02 02:00:00+00:00,266.25,0.0,266.25,266.25,None,IT_SARD,2026-04-23
