,NO_3_NO_1,NO_1_NO_3,NO_3_NO_4,NO_4_NO_3,NO_3_NO_5,NO_5_NO_3,NO_3_SE_2,SE_2_NO_3,NO_3_NO_1_net_export,NO_3_NO_4_net_export,NO_3_NO_5_net_export,NO_3_SE_2_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,3257.525,0.0,159.8,1723.65,0.0,154.9,0.0,1389.0,3257.525,-1563.8500000000001,-154.9,-1389.0,149.77499999999986,None,NO_3,2026-04-23
2026-01-01 01:00:00+00:00,1055.075,134.875,497.375,469.525,0.0,211.65,0.0,776.25,920.2,27.850000000000023,-211.65,-776.25,-39.84999999999991,None,NO_3,2026-04-23
2026-01-01 02:00:00+00:00,3884.75,0.0,272.3,3457.85,0.0,228.9,0.0,852.5,3884.75,-3185.5499999999997,-228.9,-852.5,-382.1999999999997,None,NO_3,2026-04-23
2026-01-01 03:00:00+00:00,1313.95,438.15,1166.575,0.0,0.0,0.0,0.0,2628.25,875.8000000000001,1166.575,0.0,-2628.25,-585.875,None,NO_3,2026-04-23
2026-01-01 04:00:00+00:00,3341.625,124.35,1230.35,0.0,0.0,1114.65,0.0,4044.75,3217.275,1230.35,-1114.65,-4044.75,-711.7750000000001,None,NO_3,2026-04-23
2026-01-01 05:00:00+00:00,1403.875,208.875,280.475,541.35,334.5,0.0,0.0,2101.25,1195.0,-260.875,334.5,-2101.25,-832.625,None,NO_3,2026-04-23
2026-01-01 06:00:00+00:00,1426.475,57.775,460.5,543.075,0.0,488.175,0.0,1545.0,1368.6999999999998,-82.57500000000005,-488.175,-1545.0,-747.0500000000002,None,NO_3,2026-04-23
2026-01-01 07:00:00+00:00,2765.5,0.0,0.0,1717.625,0.0,312.55,0.0,1418.25,2765.5,-1717.625,-312.55,-1418.25,-682.925,None,NO_3,2026-04-23
2026-01-01 08:00:00+00:00,1507.15,325.275,0.0,0.0,0.0,460.2,0.0,1500.25,1181.875,0.0,-460.2,-1500.25,-778.575,None,NO_3,2026-04-23
2026-01-01 09:00:00+00:00,3210.975,0.0,87.375,1280.975,0.0,437.925,0.0,2297.5,3210.975,-1193.6,-437.925,-2297.5,-718.05,None,NO_3,2026-04-23
2026-01-01 10:00:00+00:00,3421.95,0.0,0.0,1359.775,0.0,1044.5,0.0,1665.75,3421.95,-1359.775,-1044.5,-1665.75,-648.0750000000003,None,NO_3,2026-04-23
2026-01-01 11:00:00+00:00,1072.65,247.3,0.0,1312.55,0.0,163.5,0.0,0.0,825.3500000000001,-1312.55,-163.5,0.0,-650.6999999999998,None,NO_3,2026-04-23
2026-01-01 12:00:00+00:00,1297.55,180.625,0.0,1350.725,0.0,359.025,0.0,0.0,1116.925,-1350.725,-359.025,0.0,-592.8249999999999,None,NO_3,2026-04-23
2026-01-01 13:00:00+00:00,1092.675,132.225,0.0,663.5,0.0,186.95,0.0,638.5,960.4499999999999,-663.5,-186.95,-638.5,-528.5,None,NO_3,2026-04-23
2026-01-01 14:00:00+00:00,1724.325,107.825,0.0,1912.15,0.0,113.8,0.0,0.0,1616.5,-1912.15,-113.8,0.0,-409.4500000000001,None,NO_3,2026-04-23
2026-01-01 15:00:00+00:00,2576.7,200.275,0.0,637.55,0.0,55.7,0.0,2091.0,2376.4249999999997,-637.55,-55.7,-2091.0,-407.8250000000003,None,NO_3,2026-04-23
2026-01-01 16:00:00+00:00,532.8,273.525,0.0,0.0,0.0,0.0,0.0,627.5,259.275,0.0,0.0,-627.5,-368.225,None,NO_3,2026-04-23
2026-01-01 17:00:00+00:00,1494.925,99.375,0.0,1261.2,0.0,99.975,0.0,416.75,1395.55,-1261.2,-99.975,-416.75,-382.3750000000001,None,NO_3,2026-04-23
2026-01-01 18:00:00+00:00,926.275,230.0,0.0,579.525,0.0,0.0,0.0,580.5,696.275,-579.525,0.0,-580.5,-463.75,None,NO_3,2026-04-23
2026-01-01 19:00:00+00:00,2827.75,124.4,0.0,363.65,10.875,0.0,0.0,2861.0,2703.35,-363.65,10.875,-2861.0,-510.4250000000002,None,NO_3,2026-04-23
2026-01-01 20:00:00+00:00,1313.675,119.8,0.0,1690.95,36.225,0.0,0.0,0.0,1193.875,-1690.95,36.225,0.0,-460.85,None,NO_3,2026-04-23
2026-01-01 21:00:00+00:00,1613.2,0.0,0.0,1238.9,0.0,373.65,0.0,429.25,1613.2,-1238.9,-373.65,-429.25,-428.6,None,NO_3,2026-04-23
