,NO_4_SE_2,SE_2_NO_4,NO_4_FI,FI_NO_4,NO_4_NO_3,NO_3_NO_4,NO_4_SE_1,SE_1_NO_4,NO_4_SE_2_net_export,NO_4_FI_net_export,NO_4_NO_3_net_export,NO_4_SE_1_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,0.0,144.25,1748.5,1723.65,159.8,79.5,0.0,0.0,-1604.25,1563.8500000000001,79.5,39.100000000000136,None,NO_4,2026-04-23
2026-01-01 01:00:00+00:00,0.0,0.0,420.75,470.0,469.525,497.375,0.0,0.0,0.0,-49.25,-27.850000000000023,0.0,-77.10000000000002,None,NO_4,2026-04-23
2026-01-01 02:00:00+00:00,0.0,2527.0,646.25,1480.0,3457.85,272.3,0.0,0.0,-2527.0,-833.75,3185.5499999999997,0.0,-175.20000000000027,None,NO_4,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.0,991.5,0.0,0.0,1166.575,0.0,0.0,0.0,991.5,-1166.575,0.0,-175.07500000000005,None,NO_4,2026-04-23
2026-01-01 04:00:00+00:00,0.0,0.0,963.5,0.0,0.0,1230.35,0.0,0.0,0.0,963.5,-1230.35,0.0,-266.8499999999999,None,NO_4,2026-04-23
2026-01-01 05:00:00+00:00,0.0,271.75,437.75,658.25,541.35,280.475,0.0,0.0,-271.75,-220.5,260.875,0.0,-231.375,None,NO_4,2026-04-23
2026-01-01 06:00:00+00:00,0.0,229.0,345.75,603.0,543.075,460.5,174.75,0.0,-229.0,-257.25,82.57500000000005,174.75,-228.92499999999995,None,NO_4,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,1802.75,1717.625,0.0,0.0,0.0,0.0,-1802.75,1717.625,0.0,-85.125,None,NO_4,2026-04-23
2026-01-01 08:00:00+00:00,0.0,152.25,198.25,0.0,0.0,0.0,0.0,0.0,-152.25,198.25,0.0,0.0,46.0,None,NO_4,2026-04-23
2026-01-01 09:00:00+00:00,0.0,74.0,168.5,1122.75,1280.975,87.375,176.0,0.0,-74.0,-954.25,1193.6,176.0,341.3499999999999,None,NO_4,2026-04-23
2026-01-01 10:00:00+00:00,0.0,6.25,146.25,1072.5,1359.775,0.0,151.5,0.0,-6.25,-926.25,1359.775,151.5,578.7750000000001,None,NO_4,2026-04-23
2026-01-01 11:00:00+00:00,18.0,0.0,158.0,1005.25,1312.55,0.0,140.25,0.0,18.0,-847.25,1312.55,140.25,623.55,None,NO_4,2026-04-23
2026-01-01 12:00:00+00:00,0.0,0.0,281.25,1057.0,1350.725,0.0,0.0,0.0,0.0,-775.75,1350.725,0.0,574.9749999999999,None,NO_4,2026-04-23
2026-01-01 13:00:00+00:00,3.0,0.0,151.75,588.5,663.5,0.0,78.75,0.0,3.0,-436.75,663.5,78.75,308.5,None,NO_4,2026-04-23
2026-01-01 14:00:00+00:00,0.0,0.0,68.25,1736.0,1912.15,0.0,0.0,0.0,0.0,-1667.75,1912.15,0.0,244.4000000000001,None,NO_4,2026-04-23
2026-01-01 15:00:00+00:00,0.0,0.0,59.5,597.0,637.55,0.0,0.0,0.0,0.0,-537.5,637.55,0.0,100.04999999999995,None,NO_4,2026-04-23
2026-01-01 16:00:00+00:00,0.0,0.0,0.0,130.75,0.0,0.0,0.0,0.0,0.0,-130.75,0.0,0.0,-130.75,None,NO_4,2026-04-23
2026-01-01 17:00:00+00:00,0.0,0.0,80.75,1009.25,1261.2,0.0,0.0,0.0,0.0,-928.5,1261.2,0.0,332.70000000000005,None,NO_4,2026-04-23
2026-01-01 18:00:00+00:00,185.5,0.0,244.5,513.25,579.525,0.0,0.0,0.0,185.5,-268.75,579.525,0.0,496.275,None,NO_4,2026-04-23
2026-01-01 19:00:00+00:00,191.25,0.0,137.5,0.0,363.65,0.0,0.0,196.75,191.25,137.5,363.65,-196.75,495.65,None,NO_4,2026-04-23
2026-01-01 20:00:00+00:00,199.75,731.5,0.0,0.0,1690.95,0.0,0.0,686.75,-531.75,0.0,1690.95,-686.75,472.45000000000005,None,NO_4,2026-04-23
2026-01-01 21:00:00+00:00,129.5,865.25,0.0,56.25,1238.9,0.0,0.0,180.75,-735.75,-56.25,1238.9,-180.75,266.1500000000001,None,NO_4,2026-04-23
2026-01-01 22:00:00+00:00,0.0,0.0,486.0,1182.25,1314.8,0.0,0.0,564.5,0.0,-696.25,1314.8,-564.5,54.049999999999955,None,NO_4,2026-04-23
2026-01-01 23:00:00+00:00,0.0,39.0,0.0,0.0,38.075,0.0,0.0,211.5,-39.0,0.0,38.075,-211.5,-212.425,None,NO_4,2026-04-23
2026-01-02 00:00:00+00:00,0.0,54.5,0.0,0.0,80.1,0.0,0.0,343.5,-54.5,0.0,80.1,-343.5,-317.9,None,NO_4,2026-04-23
2026-01-02 01:00:00+00:00,0.0,234.75,0.0,0.0,0.0,0.0,0.0,146.0,-234.75,0.0,0.0,-146.0,-380.75,None,NO_4,2026-04-23
2026-01-02 02:00:00+00:00,0.0,248.5,0.0,0.0,0.0,0.0,0.0,148.0,-248.5,0.0,0.0,-148.0,-396.5,None,NO_4,2026-04-23
2026-01-02 03:00:00+00:00,0.0,4.25,0.0,0.0,91.025,0.0,0.0,466.0,-4.25,0.0,91.025,-466.0,-379.225,None,NO_4,2026-04-23
2026-01-02 04:00:00+00:00,0.0,0.0,0.0,0.0,156.075,0.0,0.0,324.75,0.0,0.0,156.075,-324.75,-168.675,None,NO_4,2026-04-23
2026-01-02 05:00:00+00:00,0.0,0.0,0.0,0.0,534.575,0.0,0.0,692.75,0.0,0.0,534.575,-692.75,-158.17499999999995,None,NO_4,2026-04-23
2026-01-02 06:00:00+00:00,0.0,0.0,0.0,0.0,459.175,0.0,0.0,672.0,0.0,0.0,459.175,-672.0,-212.825,None,NO_4,2026-04-23
2026-01-02 07:00:00+00:00,0.0,0.0,0.0,0.0,563.35,0.0,0.0,523.25,0.0,0.0,563.35,-523.25,40.10000000000002,None,NO_4,2026-04-23
2026-01-02 08:00:00+00:00,0.0,0.0,0.0,0.0,722.7,0.0,0.0,384.5,0.0,0.0,722.7,-384.5,338.20000000000005,None,NO_4,2026-04-23
2026-01-02 09:00:00+00:00,0.0,0.0,0.0,0.0,939.075,0.0,0.0,429.75,0.0,0.0,939.075,-429.75,509.32500000000005,None,NO_4,2026-04-23
2026-01-02 10:00:00+00:00,0.0,0.0,0.0,0.0,936.2,0.0,0.0,443.75,0.0,0.0,936.2,-443.75,492.45000000000005,None,NO_4,2026-04-23
2026-01-02 11:00:00+00:00,0.0,0.0,0.0,0.0,920.625,0.0,0.0,460.5,0.0,0.0,920.625,-460.5,460.125,None,NO_4,2026-04-23
2026-01-02 12:00:00+00:00,0.0,0.0,0.0,0.0,933.75,0.0,0.0,472.75,0.0,0.0,933.75,-472.75,461.0,None,NO_4,2026-04-23
2026-01-02 13:00:00+00:00,0.0,0.0,0.0,0.0,832.525,0.0,0.0,431.75,0.0,0.0,832.525,-431.75,400.775,None,NO_4,2026-04-23
2026-01-02 14:00:00+00:00,0.0,0.0,0.0,0.0,1039.525,0.0,0.0,535.25,0.0,0.0,1039.525,-535.25,504.2750000000001,None,NO_4,2026-04-23
2026-01-02 15:00:00+00:00,0.0,0.0,0.0,0.0,1108.05,0.0,0.0,562.0,0.0,0.0,1108.05,-562.0,546.05,None,NO_4,2026-04-23
2026-01-02 16:00:00+00:00,0.0,0.0,0.0,0.0,1073.9,0.0,0.0,533.75,0.0,0.0,1073.9,-533.75,540.1500000000001,None,NO_4,2026-04-23
2026-01-02 17:00:00+00:00,0.0,0.0,0.0,0.0,1072.225,0.0,0.0,532.25,0.0,0.0,1072.225,-532.25,539.9749999999999,None,NO_4,2026-04-23
2026-01-02 18:00:00+00:00,0.0,0.0,0.0,0.0,1009.725,0.0,0.0,496.75,0.0,0.0,1009.725,-496.75,512.975,None,NO_4,2026-04-23
2026-01-02 19:00:00+00:00,0.0,0.0,0.0,0.0,1007.325,0.0,0.0,522.0,0.0,0.0,1007.325,-522.0,485.32500000000005,None,NO_4,2026-04-23
2026-01-02 20:00:00+00:00,0.0,0.0,0.0,0.0,983.75,0.0,0.0,509.5,0.0,0.0,983.75,-509.5,474.25,None,NO_4,2026-04-23
2026-01-02 21:00:00+00:00,0.0,0.0,0.0,0.0,584.125,0.0,0.0,550.5,0.0,0.0,584.125,-550.5,33.625,None,NO_4,2026-04-23
2026-01-02 22:00:00+00:00,0.0,0.0,0.0,0.0,276.7,0.0,0.0,616.5,0.0,0.0,276.7,-616.5,-339.8,None,NO_4,2026-04-23
2026-01-02 23:00:00+00:00,0.0,0.0,0.0,0.0,1228.175,0.0,0.0,637.0,0.0,0.0,1228.175,-637.0,591.175,None,NO_4,2026-04-23
2026-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,1213.2,0.0,0.0,563.5,0.0,0.0,1213.2,-563.5,649.7,None,NO_4,2026-04-23
2026-01-03 01:00:00+00:00,0.0,0.0,0.0,0.0,1146.9,0.0,0.0,582.0,0.0,0.0,1146.9,-582.0,564.9000000000001,None,NO_4,2026-04-23
2026-01-03 02:00:00+00:00,0.0,0.0,0.0,0.0,1115.4,0.0,0.0,557.75,0.0,0.0,1115.4,-557.75,557.6500000000001,None,NO_4,2026-04-23
2026-01-03 03:00:00+00:00,0.0,0.0,0.0,0.0,1138.05,0.0,0.0,536.25,0.0,0.0,1138.05,-536.25,601.8,None,NO_4,2026-04-23
2026-01-03 04:00:00+00:00,0.0,0.0,0.0,0.0,1292.35,0.0,0.0,562.25,0.0,0.0,1292.35,-562.25,730.0999999999999,None,NO_4,2026-04-23
2026-01-03 05:00:00+00:00,0.0,0.0,0.0,0.0,1342.275,0.0,0.0,557.25,0.0,0.0,1342.275,-557.25,785.0250000000001,None,NO_4,2026-04-23
2026-01-03 06:00:00+00:00,0.0,0.0,0.0,0.0,1389.4,0.0,0.0,479.0,0.0,0.0,1389.4,-479.0,910.4000000000001,None,NO_4,2026-04-23
2026-01-03 07:00:00+00:00,0.0,0.0,0.0,0.0,1376.5,0.0,0.0,481.0,0.0,0.0,1376.5,-481.0,895.5,None,NO_4,2026-04-23
2026-01-03 08:00:00+00:00,0.0,0.0,0.0,0.0,1344.375,0.0,0.0,503.5,0.0,0.0,1344.375,-503.5,840.875,None,NO_4,2026-04-23
2026-01-03 09:00:00+00:00,0.0,0.0,0.0,0.0,1326.3,0.0,0.0,497.75,0.0,0.0,1326.3,-497.75,828.55,None,NO_4,2026-04-23
2026-01-03 10:00:00+00:00,0.0,0.0,0.0,0.0,1291.275,0.0,0.0,444.0,0.0,0.0,1291.275,-444.0,847.2750000000001,None,NO_4,2026-04-23
2026-01-03 11:00:00+00:00,0.0,0.0,0.0,0.0,1315.75,0.0,0.0,472.0,0.0,0.0,1315.75,-472.0,843.75,None,NO_4,2026-04-23
2026-01-03 12:00:00+00:00,0.0,0.0,0.0,0.0,1320.4,0.0,0.0,461.0,0.0,0.0,1320.4,-461.0,859.4000000000001,None,NO_4,2026-04-23
2026-01-03 13:00:00+00:00,0.0,0.0,0.0,0.0,1315.425,0.0,0.0,446.25,0.0,0.0,1315.425,-446.25,869.175,None,NO_4,2026-04-23
2026-01-03 14:00:00+00:00,0.0,0.0,0.0,0.0,1298.725,0.0,0.0,429.0,0.0,0.0,1298.725,-429.0,869.7249999999999,None,NO_4,2026-04-23
2026-01-03 15:00:00+00:00,0.0,0.0,0.0,0.0,1311.85,0.0,0.0,445.5,0.0,0.0,1311.85,-445.5,866.3499999999999,None,NO_4,2026-04-23
2026-01-03 16:00:00+00:00,0.0,0.0,0.0,0.0,1306.75,0.0,0.0,487.0,0.0,0.0,1306.75,-487.0,819.75,None,NO_4,2026-04-23
2026-01-03 17:00:00+00:00,0.0,0.0,0.0,0.0,1300.45,0.0,0.0,429.75,0.0,0.0,1300.45,-429.75,870.7,None,NO_4,2026-04-23
2026-01-03 18:00:00+00:00,0.0,0.0,0.0,0.0,1334.15,0.0,0.0,450.75,0.0,0.0,1334.15,-450.75,883.4000000000001,None,NO_4,2026-04-23
2026-01-03 19:00:00+00:00,0.0,0.0,0.0,0.0,1369.25,0.0,0.0,493.5,0.0,0.0,1369.25,-493.5,875.75,None,NO_4,2026-04-23
2026-01-03 20:00:00+00:00,0.0,0.0,0.0,0.0,1318.85,0.0,0.0,425.5,0.0,0.0,1318.85,-425.5,893.3499999999999,None,NO_4,2026-04-23
2026-01-03 21:00:00+00:00,0.0,0.0,0.0,0.0,1319.825,0.0,0.0,413.75,0.0,0.0,1319.825,-413.75,906.075,None,NO_4,2026-04-23
2026-01-03 22:00:00+00:00,0.0,0.0,0.0,0.0,1307.675,0.0,0.0,397.5,0.0,0.0,1307.675,-397.5,910.175,None,NO_4,2026-04-23
2026-01-03 23:00:00+00:00,0.0,0.0,0.0,0.0,1103.075,0.0,0.0,300.25,0.0,0.0,1103.075,-300.25,802.825,None,NO_4,2026-04-23
2026-01-04 00:00:00+00:00,0.0,0.0,0.0,0.0,1102.725,0.0,0.0,278.75,0.0,0.0,1102.725,-278.75,823.9749999999999,None,NO_4,2026-04-23
2026-01-04 01:00:00+00:00,0.0,0.0,0.0,0.0,1071.225,0.0,0.0,228.5,0.0,0.0,1071.225,-228.5,842.7249999999999,None,NO_4,2026-04-23
