,NO_5_NO_1,NO_1_NO_5,NO_5_NO_2,NO_2_NO_5,NO_5_NO_3,NO_3_NO_5,NO_5_NO_1_net_export,NO_5_NO_2_net_export,NO_5_NO_3_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,631.275,0.0,0.0,945.6,154.9,0.0,631.275,-945.6,154.9,-159.42500000000004,None,NO_5,2026-04-23
2026-01-01 01:00:00+00:00,121.65,62.775,0.0,511.375,211.65,0.0,58.87500000000001,-511.375,211.65,-240.85,None,NO_5,2026-04-23
2026-01-01 02:00:00+00:00,446.5,0.0,0.0,759.725,228.9,0.0,446.5,-759.725,228.9,-84.32500000000002,None,NO_5,2026-04-23
2026-01-01 03:00:00+00:00,900.375,0.0,0.0,735.875,0.0,0.0,900.375,-735.875,0.0,164.5,None,NO_5,2026-04-23
2026-01-01 04:00:00+00:00,89.025,0.0,0.0,879.65,1114.65,0.0,89.025,-879.65,1114.65,324.0250000000001,None,NO_5,2026-04-23
2026-01-01 05:00:00+00:00,1412.25,0.0,0.0,704.35,0.0,334.5,1412.25,-704.35,-334.5,373.4,None,NO_5,2026-04-23
2026-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,488.175,0.0,0.0,0.0,488.175,488.175,None,NO_5,2026-04-23
2026-01-01 07:00:00+00:00,340.275,0.0,0.0,0.0,312.55,0.0,340.275,0.0,312.55,652.825,None,NO_5,2026-04-23
2026-01-01 08:00:00+00:00,230.275,0.0,0.0,0.0,460.2,0.0,230.275,0.0,460.2,690.475,None,NO_5,2026-04-23
2026-01-01 09:00:00+00:00,510.7,0.0,0.0,0.0,437.925,0.0,510.7,0.0,437.925,948.625,None,NO_5,2026-04-23
2026-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,1044.5,0.0,0.0,0.0,1044.5,1044.5,None,NO_5,2026-04-23
2026-01-01 11:00:00+00:00,168.4,0.0,0.0,0.0,163.5,0.0,168.4,0.0,163.5,331.9,None,NO_5,2026-04-23
2026-01-01 12:00:00+00:00,375.85,0.0,0.0,253.1,359.025,0.0,375.85,-253.1,359.025,481.775,None,NO_5,2026-04-23
2026-01-01 13:00:00+00:00,608.1,0.0,0.0,255.575,186.95,0.0,608.1,-255.575,186.95,539.475,None,NO_5,2026-04-23
2026-01-01 14:00:00+00:00,435.125,0.0,0.0,314.025,113.8,0.0,435.125,-314.025,113.8,234.90000000000003,None,NO_5,2026-04-23
2026-01-01 15:00:00+00:00,452.3,0.0,0.0,313.825,55.7,0.0,452.3,-313.825,55.7,194.175,None,NO_5,2026-04-23
2026-01-01 16:00:00+00:00,1202.875,0.0,0.0,771.025,0.0,0.0,1202.875,-771.025,0.0,431.85,None,NO_5,2026-04-23
2026-01-01 17:00:00+00:00,213.65,0.0,0.0,0.0,99.975,0.0,213.65,0.0,99.975,313.625,None,NO_5,2026-04-23
2026-01-01 18:00:00+00:00,476.975,0.0,0.0,314.025,0.0,0.0,476.975,-314.025,0.0,162.95000000000005,None,NO_5,2026-04-23
2026-01-01 19:00:00+00:00,14.85,72.85,0.0,0.0,0.0,10.875,-57.99999999999999,0.0,-10.875,-68.875,None,NO_5,2026-04-23
2026-01-01 20:00:00+00:00,379.1,100.825,0.0,424.25,0.0,36.225,278.27500000000003,-424.25,-36.225,-182.19999999999996,None,NO_5,2026-04-23
2026-01-01 21:00:00+00:00,0.0,153.9,0.0,410.925,373.65,0.0,-153.9,-410.925,373.65,-191.17500000000007,None,NO_5,2026-04-23
2026-01-01 22:00:00+00:00,84.2,0.0,0.0,0.0,0.0,0.0,84.2,0.0,0.0,84.2,None,NO_5,2026-04-23
2026-01-01 23:00:00+00:00,495.275,0.0,0.0,0.0,0.0,0.0,495.275,0.0,0.0,495.275,None,NO_5,2026-04-23
2026-01-02 00:00:00+00:00,254.6,0.0,0.0,0.0,0.0,0.0,254.6,0.0,0.0,254.6,None,NO_5,2026-04-23
2026-01-02 01:00:00+00:00,147.675,0.0,0.0,0.0,0.0,0.0,147.675,0.0,0.0,147.675,None,NO_5,2026-04-23
2026-01-02 02:00:00+00:00,270.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,270.0,None,NO_5,2026-04-23
2026-01-02 03:00:00+00:00,267.65,0.0,0.0,0.0,0.0,0.0,267.65,0.0,0.0,267.65,None,NO_5,2026-04-23
2026-01-02 04:00:00+00:00,295.25,0.0,0.0,0.0,0.0,0.0,295.25,0.0,0.0,295.25,None,NO_5,2026-04-23
2026-01-02 05:00:00+00:00,464.275,0.0,0.0,0.0,0.0,0.0,464.275,0.0,0.0,464.275,None,NO_5,2026-04-23
2026-01-02 06:00:00+00:00,893.5,0.0,0.0,0.0,0.0,0.0,893.5,0.0,0.0,893.5,None,NO_5,2026-04-23
2026-01-02 07:00:00+00:00,884.375,0.0,0.0,0.0,0.0,0.0,884.375,0.0,0.0,884.375,None,NO_5,2026-04-23
2026-01-02 08:00:00+00:00,836.7,0.0,0.0,0.0,0.0,0.0,836.7,0.0,0.0,836.7,None,NO_5,2026-04-23
2026-01-02 09:00:00+00:00,478.9,0.0,0.0,0.0,0.0,0.0,478.9,0.0,0.0,478.9,None,NO_5,2026-04-23
2026-01-02 10:00:00+00:00,486.9,0.0,0.0,0.0,0.0,0.0,486.9,0.0,0.0,486.9,None,NO_5,2026-04-23
2026-01-02 11:00:00+00:00,578.975,0.0,0.0,0.0,0.0,0.0,578.975,0.0,0.0,578.975,None,NO_5,2026-04-23
