,PT_ES,ES_PT,PT_ES_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,769.475,0.0,769.475,769.475,None,PT,2026-04-23
2026-01-01 01:00:00+00:00,540.375,0.0,540.375,540.375,None,PT,2026-04-23
2026-01-01 02:00:00+00:00,181.75,43.9,137.85,137.85,None,PT,2026-04-23
2026-01-01 03:00:00+00:00,0.0,240.975,-240.975,-240.975,None,PT,2026-04-23
2026-01-01 04:00:00+00:00,0.0,152.8,-152.8,-152.8,None,PT,2026-04-23
2026-01-01 05:00:00+00:00,63.25,3.575,59.675,59.675,None,PT,2026-04-23
2026-01-01 06:00:00+00:00,222.475,0.0,222.475,222.475,None,PT,2026-04-23
2026-01-01 07:00:00+00:00,268.525,0.0,268.525,268.525,None,PT,2026-04-23
2026-01-01 08:00:00+00:00,0.0,481.9,-481.9,-481.9,None,PT,2026-04-23
2026-01-01 09:00:00+00:00,0.0,1154.625,-1154.625,-1154.625,None,PT,2026-04-23
2026-01-01 10:00:00+00:00,0.0,1705.675,-1705.675,-1705.675,None,PT,2026-04-23
2026-01-01 11:00:00+00:00,0.0,1902.1,-1902.1,-1902.1,None,PT,2026-04-23
2026-01-01 12:00:00+00:00,0.0,1831.05,-1831.05,-1831.05,None,PT,2026-04-23
2026-01-01 13:00:00+00:00,0.0,1486.625,-1486.625,-1486.625,None,PT,2026-04-23
2026-01-01 14:00:00+00:00,0.0,1321.175,-1321.175,-1321.175,None,PT,2026-04-23
2026-01-01 15:00:00+00:00,240.75,309.875,-69.125,-69.125,None,PT,2026-04-23
2026-01-01 16:00:00+00:00,1364.225,0.0,1364.225,1364.225,None,PT,2026-04-23
2026-01-01 17:00:00+00:00,1632.175,0.0,1632.175,1632.175,None,PT,2026-04-23
2026-01-01 18:00:00+00:00,1847.95,0.0,1847.95,1847.95,None,PT,2026-04-23
2026-01-01 19:00:00+00:00,1960.8249999999998,0.0,1960.8249999999998,1960.8249999999998,None,PT,2026-04-23
2026-01-01 20:00:00+00:00,1972.2250000000001,0.0,1972.2250000000001,1972.2250000000001,None,PT,2026-04-23
2026-01-01 21:00:00+00:00,2014.775,0.0,2014.775,2014.775,None,PT,2026-04-23
2026-01-01 22:00:00+00:00,1338.0,0.0,1338.0,1338.0,None,PT,2026-04-23
2026-01-01 23:00:00+00:00,628.225,0.0,628.225,628.225,None,PT,2026-04-23
2026-01-02 00:00:00+00:00,0.0,427.0,-427.0,-427.0,None,PT,2026-04-23
2026-01-02 01:00:00+00:00,11.775,112.45,-100.675,-100.675,None,PT,2026-04-23
2026-01-02 02:00:00+00:00,209.225,0.0,209.225,209.225,None,PT,2026-04-23
2026-01-02 03:00:00+00:00,168.125,0.0,168.125,168.125,None,PT,2026-04-23
2026-01-02 04:00:00+00:00,385.475,0.0,385.475,385.475,None,PT,2026-04-23
2026-01-02 05:00:00+00:00,424.6,0.0,424.6,424.6,None,PT,2026-04-23
2026-01-02 06:00:00+00:00,1595.025,0.0,1595.025,1595.025,None,PT,2026-04-23
2026-01-02 07:00:00+00:00,2160.625,0.0,2160.625,2160.625,None,PT,2026-04-23
2026-01-02 08:00:00+00:00,1762.725,0.0,1762.725,1762.725,None,PT,2026-04-23
2026-01-02 09:00:00+00:00,908.875,11.325,897.55,897.55,None,PT,2026-04-23
2026-01-02 10:00:00+00:00,298.125,60.35,237.775,237.775,None,PT,2026-04-23
2026-01-02 11:00:00+00:00,0.0,399.925,-399.925,-399.925,None,PT,2026-04-23
2026-01-02 12:00:00+00:00,0.0,729.4,-729.4,-729.4,None,PT,2026-04-23
