,AT_CH,CH_AT,AT_CZ,CZ_AT,AT_DE_LU,DE_LU_AT,AT_HU,HU_AT,AT_IT_NORD,IT_NORD_AT,AT_SI,SI_AT,AT_CH_net_export,AT_CZ_net_export,AT_DE_LU_net_export,AT_HU_net_export,AT_IT_NORD_net_export,AT_SI_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,900.0,0.0,0.35,1894.1000000000001,0.0,2924.1000000000004,1363.05,11.375,0.0,165.0,2273.525,201.725,900.0,-1893.7500000000002,-2924.1000000000004,1351.675,-165.0,2071.8,-659.375,None,AT,2026-04-23
2026-01-01 01:00:00+00:00,900.0,0.0,0.125,457.125,0.0,4886.55,1102.95,12.35,0.0,165.0,2325.1,220.625,900.0,-457.0,-4886.55,1090.6000000000001,-165.0,2104.475,-1413.475,None,AT,2026-04-23
2026-01-01 02:00:00+00:00,900.0,0.0,0.325,4402.825,0.0,1463.9,1164.25,0.25,0.0,165.0,2147.8,125.45,900.0,-4402.5,-1463.9,1164.0,-165.0,2022.3500000000001,-1945.0499999999995,None,AT,2026-04-23
2026-01-01 03:00:00+00:00,900.0,0.0,0.32499999999999996,2929.8250000000003,0.0,2853.325,0.0,0.0,0.0,165.0,3035.125,108.10000000000001,900.0,-2929.5000000000005,-2853.325,0.0,-165.0,2927.025,-2120.8000000000006,None,AT,2026-04-23
2026-01-01 04:00:00+00:00,900.0,0.0,0.325,4452.325,0.0,1734.625,0.0,0.0,0.0,165.0,3309.475,119.825,900.0,-4452.0,-1734.625,0.0,-165.0,3189.65,-2261.975,None,AT,2026-04-23
2026-01-01 05:00:00+00:00,900.0,0.0,0.325,5319.825,0.0,1291.775,100.7,15.875,0.0,165.0,3118.175,25.475,900.0,-5319.5,-1291.775,84.825,-165.0,3092.7000000000003,-2698.7499999999995,None,AT,2026-04-23
2026-01-01 06:00:00+00:00,900.0,0.0,3.2750000000000004,2832.4,0.0,1268.45,9.725000000000001,6.625,0.0,165.0,469.0,121.575,900.0,-2829.125,-1268.45,3.1000000000000014,-165.0,347.425,-3012.0499999999997,None,AT,2026-04-23
2026-01-01 07:00:00+00:00,900.0,0.0,4.2250000000000005,3336.45,0.0,2358.3999999999996,150.875,48.2,0.5,165.0,1075.025,13.025,900.0,-3332.225,-2358.3999999999996,102.675,-164.5,1062.0,-3790.45,None,AT,2026-04-23
2026-01-01 08:00:00+00:00,900.0,0.0,1.7,2630.95,0.0,2339.625,103.2,73.125,0.0,112.5,178.725,78.7,900.0,-2629.25,-2339.625,30.075000000000003,-112.5,100.02499999999999,-4051.275,None,AT,2026-04-23
2026-01-01 09:00:00+00:00,750.0,0.0,2.325,3970.075,0.0,1182.025,57.65,5.4,364.0,0.0,63.525000000000006,124.025,750.0,-3967.75,-1182.025,52.25,364.0,-60.5,-4044.0249999999996,None,AT,2026-04-23
2026-01-01 10:00:00+00:00,750.0,0.0,32.575,4068.8999999999996,0.0,0.0,90.525,8.475,39.5,84.0,1.05,573.775,750.0,-4036.325,0.0,82.05000000000001,-44.5,-572.725,-3821.4999999999995,None,AT,2026-04-23
2026-01-01 11:00:00+00:00,750.0,0.0,2.05,2755.55,0.0,2396.6000000000004,201.325,9.9,365.0,0.0,125.425,96.675,750.0,-2753.5,-2396.6000000000004,191.42499999999998,365.0,28.75,-3814.925,None,AT,2026-04-23
2026-01-01 12:00:00+00:00,750.0,0.0,5.325,2823.65,0.25,2231.4,448.675,7.775,63.0,123.75,306.0,116.0,750.0,-2818.3250000000003,-2231.15,440.90000000000003,-60.75,190.0,-3729.3250000000003,None,AT,2026-04-23
2026-01-01 13:00:00+00:00,750.0,0.0,40.2,1337.9,0.0,4638.45,1554.475,20.924999999999997,0.0,165.0,819.5,303.15,750.0,-1297.7,-4638.45,1533.55,-165.0,516.35,-3301.2499999999995,None,AT,2026-04-23
2026-01-01 14:00:00+00:00,850.0,0.0,20.625,707.475,0.0,6492.775,2628.25,6.0249999999999995,9.25,165.0,876.75,406.25,850.0,-686.85,-6492.775,2622.225,-155.75,470.5,-3392.65,None,AT,2026-04-23
2026-01-01 15:00:00+00:00,873.0,23.0,0.5,3113.2,0.0,2551.1,1770.125,7.65,9.0,165.0,963.6750000000001,1085.35,850.0,-3112.7,-2551.1,1762.475,-156.0,-121.67499999999984,-3328.999999999999,None,AT,2026-04-23
