,CZ_AT,AT_CZ,CZ_DE_LU,DE_LU_CZ,CZ_PL,PL_CZ,CZ_SK,SK_CZ,CZ_AT_net_export,CZ_DE_LU_net_export,CZ_PL_net_export,CZ_SK_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,1894.1000000000001,0.35,0.0,2919.7250000000004,1555.275,27.325,36.575,14.075,1893.7500000000002,-2919.7250000000004,1527.95,22.500000000000004,524.4749999999999,None,CZ,2026-04-23
2026-01-01 01:00:00+00:00,457.125,0.125,492.55,1483.675,1519.175,442.825,17.05,12.45,457.0,-991.125,1076.35,4.600000000000001,546.8249999999999,None,CZ,2026-04-23
2026-01-01 02:00:00+00:00,4402.825,0.325,0.0,4442.025,1014.65,327.90000000000003,0.0,0.0,4402.5,-4442.025,686.75,0.0,647.2250000000004,None,CZ,2026-04-23
2026-01-01 03:00:00+00:00,2929.8250000000003,0.32499999999999996,0.0,3152.625,1119.9,256.40000000000003,0.0,0.0,2929.5000000000005,-3152.625,863.5,0.0,640.3750000000005,None,CZ,2026-04-23
2026-01-01 04:00:00+00:00,4452.325,0.325,0.0,4704.075,753.3,0.05,19.7,0.0,4452.0,-4704.075,753.25,19.7,520.8750000000002,None,CZ,2026-04-23
2026-01-01 05:00:00+00:00,5319.825,0.325,7.65,3973.75,627.4,1446.125,55.2,0.0,5319.5,-3966.1,-818.725,55.2,589.8750000000001,None,CZ,2026-04-23
2026-01-01 06:00:00+00:00,2832.4,3.2750000000000004,0.0,3798.4750000000004,1407.475,169.475,26.775,0.0,2829.125,-3798.4750000000004,1238.0,26.775,295.4249999999996,None,CZ,2026-04-23
2026-01-01 07:00:00+00:00,3336.45,4.2250000000000005,0.0,2398.5,0.0,1680.5,201.4,0.0,3332.225,-2398.5,-1680.5,201.4,-545.3750000000001,None,CZ,2026-04-23
2026-01-01 08:00:00+00:00,2630.95,1.7,0.0,2891.575,0.0,1131.5,248.05,0.0,2629.25,-2891.575,-1131.5,248.05,-1145.7749999999999,None,CZ,2026-04-23
2026-01-01 09:00:00+00:00,3970.075,2.325,0.0,3411.825,0.0,2123.25,208.875,0.0,3967.75,-3411.825,-2123.25,208.875,-1358.4499999999998,None,CZ,2026-04-23
2026-01-01 10:00:00+00:00,4068.8999999999996,32.575,0.0,4659.724999999999,0.0,1040.5,161.5,0.0,4036.325,-4659.724999999999,-1040.5,161.5,-1502.3999999999996,None,CZ,2026-04-23
2026-01-01 11:00:00+00:00,2755.55,2.05,253.5,2486.55,0.0,1935.75,13.825,208.175,2753.5,-2233.05,-1935.75,-194.35000000000002,-1609.65,None,CZ,2026-04-23
2026-01-01 12:00:00+00:00,2823.65,5.325,51.575,2304.575,0.0,2092.05,89.5,14.575,2818.3250000000003,-2253.0,-2092.05,74.925,-1451.8,None,CZ,2026-04-23
2026-01-01 13:00:00+00:00,1337.9,40.2,5.2,400.8,146.075,1716.825,77.225,28.549999999999997,1297.7,-395.6,-1570.75,48.675,-619.975,None,CZ,2026-04-23
2026-01-01 14:00:00+00:00,707.475,20.625,67.4,125.525,0.0,668.75,6.0,74.325,686.85,-58.125,-668.75,-68.325,-108.34999999999998,None,CZ,2026-04-23
2026-01-01 15:00:00+00:00,3113.2,0.5,0.0,2623.625,1326.375,1749.875,0.0,60.5,3112.7,-2623.625,-423.5,-60.5,5.074999999999818,None,CZ,2026-04-23
2026-01-01 16:00:00+00:00,1209.675,0.175,0.0,1390.7,167.325,5.575,66.025,3.9499999999999997,1209.5,-1390.7,161.75,62.075,42.62499999999996,None,CZ,2026-04-23
2026-01-01 17:00:00+00:00,4088.2,11.125,0.0,2281.25,9.774999999999999,1888.125,6.4,56.8,4077.075,-2281.25,-1878.35,-50.4,-132.9250000000001,None,CZ,2026-04-23
2026-01-01 18:00:00+00:00,3039.5,37.75,0.0,1204.925,0.0,1835.75,0.0,37.825,3001.75,-1204.925,-1835.75,-37.825,-76.74999999999996,None,CZ,2026-04-23
2026-01-01 19:00:00+00:00,3993.7,26.45,0.0,3863.375,1382.175,1182.925,19.225,5.375,3967.25,-3863.375,199.25,13.850000000000001,316.975,None,CZ,2026-04-23
2026-01-01 20:00:00+00:00,0.0,68.025,1.375,5269.5,5610.675,44.425,90.675,1.475,-68.025,-5268.125,5566.25,89.2,319.30000000000035,None,CZ,2026-04-23
2026-01-01 21:00:00+00:00,6075.0,15.100000000000001,0.0,4008.525,0.0,1900.5,53.025000000000006,0.45,6059.9,-4008.525,-1900.5,52.575,203.44999999999953,None,CZ,2026-04-23
2026-01-01 22:00:00+00:00,4776.575,8.799999999999999,0.0,2634.375,0.0,1966.25,62.75,0.0,4767.775,-2634.375,-1966.25,62.75,229.89999999999964,None,CZ,2026-04-23
2026-01-01 23:00:00+00:00,2136.925,107.125,4.575,1248.35,0.0,977.5,659.425,40.974999999999994,2029.8000000000002,-1243.7749999999999,-977.5,618.4499999999999,426.97500000000025,None,CZ,2026-04-23
2026-01-02 00:00:00+00:00,2127.1,135.25,6.975,1253.8,0.0,982.75,607.4,22.475,1991.85,-1246.825,-982.75,584.925,347.1999999999998,None,CZ,2026-04-23
2026-01-02 01:00:00+00:00,2107.375,119.275,14.975000000000001,1247.2,0.225,946.225,638.7,10.1,1988.1,-1232.2250000000001,-946.0,628.6,438.4749999999998,None,CZ,2026-04-23
2026-01-02 02:00:00+00:00,1997.575,100.1,26.625,1225.725,1.075,992.075,570.575,0.275,1897.4750000000001,-1199.1,-991.0,570.3000000000001,277.6750000000003,None,CZ,2026-04-23
2026-01-02 03:00:00+00:00,2010.225,108.775,9.225,1213.4,0.0,990.5,543.425,10.299999999999999,1901.4499999999998,-1204.1750000000002,-990.5,533.125,239.89999999999964,None,CZ,2026-04-23
2026-01-02 04:00:00+00:00,1983.875,59.25,8.45,1240.15,0.0,988.0,617.2,92.55,1924.625,-1231.7,-988.0,524.6500000000001,229.57500000000005,None,CZ,2026-04-23
2026-01-02 05:00:00+00:00,1985.875,9.8,2.25,1168.675,6.675,1045.925,592.05,5.475,1976.075,-1166.425,-1039.25,586.5749999999999,356.975,None,CZ,2026-04-23
2026-01-02 06:00:00+00:00,1910.725,75.65,73.375,1194.975,0.0,783.025,654.475,63.725,1835.0749999999998,-1121.6,-783.025,590.75,521.1999999999999,None,CZ,2026-04-23
2026-01-02 07:00:00+00:00,1711.6,75.625,172.425,1250.475,43.925,760.525,540.2249999999999,41.675,1635.975,-1078.05,-716.6,498.5499999999999,339.87499999999983,None,CZ,2026-04-23
2026-01-02 08:00:00+00:00,1506.875,122.025,132.5,1375.45,0.0,712.0,486.25,35.45,1384.85,-1242.95,-712.0,450.8,-119.30000000000013,None,CZ,2026-04-23
2026-01-02 09:00:00+00:00,1735.5,128.75,19.974999999999998,1575.75,48.550000000000004,907.125,474.3,128.4,1606.75,-1555.775,-858.575,345.9,-461.70000000000016,None,CZ,2026-04-23
2026-01-02 10:00:00+00:00,1609.25,111.975,0.025,1605.95,5.275,860.2,471.5,92.325,1497.275,-1605.925,-854.9250000000001,379.175,-584.3999999999999,None,CZ,2026-04-23
2026-01-02 11:00:00+00:00,1565.125,96.475,9.9,1612.675,4.3,805.525,488.45,56.2,1468.65,-1602.7749999999999,-801.225,432.25,-503.0999999999998,None,CZ,2026-04-23
2026-01-02 12:00:00+00:00,1263.175,118.85,0.0,1468.725,0.7,578.8,454.85,72.65,1144.325,-1468.725,-578.0999999999999,382.20000000000005,-520.2999999999997,None,CZ,2026-04-23
2026-01-02 13:00:00+00:00,1452.025,57.275,18.049999999999997,1503.475,7.425000000000001,540.15,635.925,65.675,1394.75,-1485.425,-532.725,570.25,-53.14999999999998,None,CZ,2026-04-23
2026-01-02 14:00:00+00:00,1424.05,62.65,61.975,1401.95,0.025,498.275,669.1,2.325,1361.3999999999999,-1339.9750000000001,-498.25,666.775,189.9499999999997,None,CZ,2026-04-23
2026-01-02 15:00:00+00:00,1540.725,191.225,2.125,1365.875,359.4,571.4,778.325,1.525,1349.5,-1363.75,-212.0,776.8000000000001,550.5500000000001,None,CZ,2026-04-23
2026-01-02 16:00:00+00:00,1529.0,174.67499999999998,5.65,1430.375,325.075,564.225,706.775,17.4,1354.325,-1424.725,-239.15000000000003,689.375,379.8250000000001,None,CZ,2026-04-23
2026-01-02 17:00:00+00:00,1640.05,259.07500000000005,0.0,1299.75,451.675,659.4,854.8,17.1,1380.975,-1299.75,-207.72499999999997,837.6999999999999,711.1999999999998,None,CZ,2026-04-23
2026-01-02 18:00:00+00:00,1722.4,109.65,4.5,1248.675,364.075,620.4,662.2,34.325,1612.75,-1244.175,-256.325,627.875,740.125,None,CZ,2026-04-23
2026-01-02 19:00:00+00:00,1707.525,74.725,62.599999999999994,1289.825,94.35000000000001,582.475,846.275,28.3,1632.8000000000002,-1227.2250000000001,-488.125,817.975,735.4250000000001,None,CZ,2026-04-23
2026-01-02 20:00:00+00:00,1808.325,59.45,2.475,1348.55,18.325,539.575,672.375,80.45,1748.875,-1346.075,-521.25,591.925,473.4749999999999,None,CZ,2026-04-23
2026-01-02 21:00:00+00:00,1855.575,30.875,0.0,1301.85,0.075,842.325,632.375,2.925,1824.7,-1301.85,-842.25,629.45,310.0500000000002,None,CZ,2026-04-23
2026-01-02 22:00:00+00:00,2123.25,13.45,0.0,1336.725,34.849999999999994,931.825,693.4749999999999,7.4,2109.8,-1336.725,-896.975,686.0749999999999,562.1750000000002,None,CZ,2026-04-23
2026-01-02 23:00:00+00:00,2130.75,0.3,0.55,987.825,0.65,1148.9,346.325,0.225,2130.45,-987.2750000000001,-1148.25,346.09999999999997,341.0249999999997,None,CZ,2026-04-23
2026-01-03 00:00:00+00:00,1953.275,2.6750000000000003,0.0,1013.1,0.07500000000000001,1204.1999999999998,132.15,27.725,1950.6000000000001,-1013.1,-1204.1249999999998,104.42500000000001,-162.19999999999965,None,CZ,2026-04-23
2026-01-03 01:00:00+00:00,1873.6,57.1,78.225,858.525,0.55,1207.55,143.1,48.975,1816.5,-780.3,-1207.0,94.125,-76.67499999999995,None,CZ,2026-04-23
2026-01-03 02:00:00+00:00,1838.9,67.475,152.575,831.375,1.0,1237.325,154.3,69.65,1771.4250000000002,-678.8,-1236.325,84.65,-59.04999999999981,None,CZ,2026-04-23
2026-01-03 03:00:00+00:00,1717.0,82.0,167.77499999999998,1065.55,0.0,1274.75,123.0,70.0,1635.0,-897.775,-1274.75,53.0,-484.525,None,CZ,2026-04-23
2026-01-03 04:00:00+00:00,1763.625,79.925,188.75,1373.3,0.0,1263.75,228.0,71.25,1683.7,-1184.55,-1263.75,156.75,-607.8499999999999,None,CZ,2026-04-23
2026-01-03 05:00:00+00:00,1893.375,83.075,207.45,1457.225,2.475,1248.625,284.25,125.6,1810.3,-1249.7749999999999,-1246.15,158.65,-526.975,None,CZ,2026-04-23
2026-01-03 06:00:00+00:00,2011.9,83.375,207.225,1632.725,9.325,1016.45,559.55,121.625,1928.525,-1425.5,-1007.125,437.92499999999995,-66.17499999999995,None,CZ,2026-04-23
2026-01-03 07:00:00+00:00,1801.25,8.6,46.224999999999994,1167.325,0.0,818.25,438.95,19.924999999999997,1792.65,-1121.1000000000001,-818.25,419.025,272.32499999999993,None,CZ,2026-04-23
2026-01-03 08:00:00+00:00,1444.1999999999998,74.975,231.225,783.525,0.25,775.25,201.775,69.02499999999999,1369.225,-552.3,-775.0,132.75,174.67499999999995,None,CZ,2026-04-23
2026-01-03 09:00:00+00:00,1279.875,55.375,287.475,544.45,0.125,888.875,35.175,54.6,1224.5,-256.975,-888.75,-19.425000000000004,59.34999999999997,None,CZ,2026-04-23
2026-01-03 10:00:00+00:00,1417.125,75.0,326.625,745.9,5.55,955.8,117.175,30.775,1342.125,-419.275,-950.25,86.4,59.00000000000003,None,CZ,2026-04-23
2026-01-03 11:00:00+00:00,1441.025,2.225,167.92499999999998,998.975,7.725,811.85,301.55,17.475,1438.8000000000002,-831.0500000000001,-804.125,284.075,87.7000000000001,None,CZ,2026-04-23
2026-01-03 12:00:00+00:00,1613.5,9.85,251.54999999999998,1607.05,3.85,716.6,483.825,62.375,1603.65,-1355.5,-712.75,421.45,-43.14999999999992,None,CZ,2026-04-23
2026-01-03 13:00:00+00:00,1972.85,0.0,9.45,1951.5500000000002,31.200000000000003,655.9,580.2249999999999,6.7250000000000005,1972.85,-1942.1000000000001,-624.6999999999999,573.4999999999999,-20.450000000000273,None,CZ,2026-04-23
