,DE_LU_AT,AT_DE_LU,DE_LU_BE,BE_DE_LU,DE_LU_CH,CH_DE_LU,DE_LU_CZ,CZ_DE_LU,DE_LU_DK_1,DK_1_DE_LU,DE_LU_DK_2,DK_2_DE_LU,DE_LU_FR,FR_DE_LU,DE_LU_NO_2,NO_2_DE_LU,DE_LU_NL,NL_DE_LU,DE_LU_PL,PL_DE_LU,DE_LU_SE_4,SE_4_DE_LU,DE_LU_AT_net_export,DE_LU_BE_net_export,DE_LU_CH_net_export,DE_LU_CZ_net_export,DE_LU_DK_1_net_export,DE_LU_DK_2_net_export,DE_LU_FR_net_export,DE_LU_NO_2_net_export,DE_LU_NL_net_export,DE_LU_PL_net_export,DE_LU_SE_4_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,2924.1000000000004,0.0,300.25,0.0,799.0,0.0,2919.7250000000004,0.0,1143.0,587.25,139.375,813.55,5743.25,0.0,1353.25,3.75,1576.575,232.25,0.0,0.0,0.0,158.75,2924.1000000000004,300.25,799.0,2919.7250000000004,555.75,-674.175,5743.25,1349.5,1344.325,0.0,-158.75,15102.975000000002,None,DE_LU,2026-04-23
2026-01-01 01:00:00+00:00,4886.55,0.0,0.55,130.05,799.5,0.0,1483.675,492.55,1355.25,362.25,263.2,590.05,3744.75,0.0,1290.25,0.0,3738.3,0.0,0.0,0.0,0.0,151.25,4886.55,-129.5,799.5,991.125,993.0,-326.84999999999997,3744.75,1290.25,3738.3,0.0,-151.25,15835.875,None,DE_LU,2026-04-23
2026-01-01 02:00:00+00:00,1463.9,0.0,0.475,167.475,800.0,0.0,4442.025,0.0,1939.25,372.75,404.4,231.275,1853.0,0.0,1115.75,0.0,5547.425,0.0,0.0,37.85,51.0,0.0,1463.9,-167.0,800.0,4442.025,1566.5,173.12499999999997,1853.0,1115.75,5547.425,-37.85,51.0,16807.875,None,DE_LU,2026-04-23
2026-01-01 03:00:00+00:00,2853.325,0.0,427.625,48.375,800.0,0.0,3152.625,0.0,2380.0,613.75,867.525,324.75,1884.25,0.0,1045.75,0.0,4999.525,0.0,0.15,284.15,102.0,0.0,2853.325,379.25,800.0,3152.625,1766.25,542.775,1884.25,1045.75,4999.525,-284.0,102.0,17241.75,None,DE_LU,2026-04-23
2026-01-01 04:00:00+00:00,1734.625,0.0,1000.0,0.0,800.0,0.0,4704.075,0.0,2470.0,773.5,1084.7,515.975,1641.25,0.0,1181.75,0.0,4913.075,0.0,0.75,1037.0,204.0,0.0,1734.625,1000.0,800.0,4704.075,1696.5,568.725,1641.25,1181.75,4913.075,-1036.25,204.0,17407.75,None,DE_LU,2026-04-23
2026-01-01 05:00:00+00:00,1291.775,0.0,1000.0,0.0,799.25,0.0,3973.75,7.65,2500.0,633.25,1100.95,391.05,5772.75,0.0,1400.0,0.0,1924.875,0.0,26.299999999999997,154.8,204.0,0.0,1291.775,1000.0,799.25,3966.1,1866.75,709.9000000000001,5772.75,1400.0,1924.875,-128.5,204.0,18806.9,None,DE_LU,2026-04-23
2026-01-01 06:00:00+00:00,1268.45,0.0,921.0,0.0,800.0,0.0,3798.4750000000004,0.0,2500.0,248.75,953.45,215.625,3875.75,0.0,1400.0,0.0,3993.15,0.0,0.0,321.275,204.0,0.0,1268.45,921.0,800.0,3798.4750000000004,2251.25,737.825,3875.75,1400.0,3993.15,-321.275,204.0,18928.625,None,DE_LU,2026-04-23
2026-01-01 07:00:00+00:00,2358.3999999999996,0.0,250.45,73.95,800.0,0.0,2398.5,0.0,2500.0,423.0,1010.625,274.025,6651.25,0.0,1400.0,0.0,1959.2,0.0,0.0,371.775,204.0,0.0,2358.3999999999996,176.5,800.0,2398.5,2077.0,736.6,6651.25,1400.0,1959.2,-371.775,204.0,18389.675,None,DE_LU,2026-04-23
2026-01-01 08:00:00+00:00,2339.625,0.0,7.275,122.525,800.0,0.0,2891.575,0.0,2500.0,278.75,875.05,182.775,6317.25,0.0,1131.75,0.0,2155.225,0.0,0.0,788.75,204.0,0.0,2339.625,-115.25,800.0,2891.575,2221.25,692.275,6317.25,1131.75,2155.225,-788.75,204.0,17848.95,None,DE_LU,2026-04-23
2026-01-01 09:00:00+00:00,1182.025,0.0,49.575,303.075,797.5,0.0,3411.825,0.0,2500.0,157.75,812.2,51.775,4303.0,0.0,982.5,0.0,4143.125,0.75,1207.275,1416.775,204.0,0.0,1182.025,-253.5,797.5,3411.825,2342.25,760.4250000000001,4303.0,982.5,4142.375,-209.5,204.0,17662.9,None,DE_LU,2026-04-23
