,DK_1_DE_LU,DE_LU_DK_1,DK_1_DK_2,DK_2_DK_1,DK_1_NO_2,NO_2_DK_1,DK_1_SE_3,SE_3_DK_1,DK_1_NL,NL_DK_1,DK_1_GB,GB_DK_1,DK_1_DE_LU_net_export,DK_1_DK_2_net_export,DK_1_NO_2_net_export,DK_1_SE_3_net_export,DK_1_NL_net_export,DK_1_GB_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,587.25,1143.0,0.0,531.95,1623.825,0.0,0.0,527.175,700.025,0.025,1000.0,0.0,-555.75,-531.95,1623.825,-527.175,700.0,1000.0,1708.95,None,DK_1,2026-04-23
2026-01-01 01:00:00+00:00,362.25,1355.25,0.0,504.075,1680.0,0.0,0.0,438.325,700.0,0.0,1000.0,0.0,-993.0,-504.075,1680.0,-438.325,700.0,1000.0,1444.6,None,DK_1,2026-04-23
2026-01-01 02:00:00+00:00,372.75,1939.25,0.0,379.85,1680.0,0.0,0.0,473.8,700.0,0.0,1000.0,0.0,-1566.5,-379.85,1680.0,-473.8,700.0,1000.0,959.8500000000001,None,DK_1,2026-04-23
2026-01-01 03:00:00+00:00,613.75,2380.0,11.15,110.44999999999999,1680.0,0.0,0.0,733.275,700.0,0.0,1000.0,0.0,-1766.25,-99.29999999999998,1680.0,-733.275,700.0,1000.0,781.1750000000001,None,DK_1,2026-04-23
2026-01-01 04:00:00+00:00,773.5,2470.0,0.0,563.925,1680.0,0.0,0.0,733.15,701.6,3.0250000000000004,975.0,0.0,-1696.5,-563.925,1680.0,-733.15,698.575,975.0,359.9999999999998,None,DK_1,2026-04-23
2026-01-01 05:00:00+00:00,633.25,2500.0,0.0,584.775,1679.825,0.0,0.0,729.55,698.35,16.125,1000.0,0.0,-1866.75,-584.775,1679.825,-729.55,682.225,1000.0,180.97500000000002,None,DK_1,2026-04-23
2026-01-01 06:00:00+00:00,248.75,2500.0,0.0,338.5,1680.0,0.0,0.0,716.925,700.0,0.0,982.0,0.0,-2251.25,-338.5,1680.0,-716.925,700.0,982.0,55.325000000000045,None,DK_1,2026-04-23
2026-01-01 07:00:00+00:00,423.0,2500.0,0.0,523.075,1680.0,0.0,0.0,692.175,700.0,0.0,1000.0,0.0,-2077.0,-523.075,1680.0,-692.175,700.0,1000.0,87.75000000000023,None,DK_1,2026-04-23
2026-01-01 08:00:00+00:00,278.75,2500.0,0.0,317.15,1680.0,0.0,0.0,732.95,700.225,1.85,1000.0,0.0,-2221.25,-317.15,1680.0,-732.95,698.375,1000.0,107.02499999999986,None,DK_1,2026-04-23
2026-01-01 09:00:00+00:00,157.75,2500.0,4.025,82.9,1680.0,0.0,0.0,733.25,700.0,4.15,1000.0,0.0,-2342.25,-78.875,1680.0,-733.25,695.85,1000.0,221.47500000000002,None,DK_1,2026-04-23
2026-01-01 10:00:00+00:00,171.25,2500.0,0.0,92.10000000000001,1680.0,0.0,0.0,732.85,700.0,0.0,1000.0,0.0,-2328.75,-92.10000000000001,1680.0,-732.85,700.0,1000.0,226.30000000000018,None,DK_1,2026-04-23
2026-01-01 11:00:00+00:00,297.25,2500.0,0.0,265.35,1680.0,0.0,0.0,732.875,700.0,0.0,1000.0,0.0,-2202.75,-265.35,1680.0,-732.875,700.0,1000.0,179.0250000000001,None,DK_1,2026-04-23
2026-01-01 12:00:00+00:00,262.0,2500.0,34.875,10.025,1680.0,0.0,0.0,732.925,700.0,0.0,1000.0,0.0,-2238.0,24.85,1680.0,-732.925,700.0,1000.0,433.92499999999995,None,DK_1,2026-04-23
2026-01-01 13:00:00+00:00,268.5,2500.0,160.85,45.9,1680.0,0.0,0.0,638.625,700.0,0.0,1000.0,0.0,-2231.5,114.94999999999999,1680.0,-638.625,700.0,1000.0,624.8249999999998,None,DK_1,2026-04-23
2026-01-01 14:00:00+00:00,129.75,2500.0,0.0,456.225,1680.0,0.0,0.0,103.65,700.0,0.0,1000.0,0.0,-2370.25,-456.225,1680.0,-103.65,700.0,1000.0,449.875,None,DK_1,2026-04-23
2026-01-01 15:00:00+00:00,649.5,2500.0,0.0,442.2,1680.0,0.0,72.975,23.375,700.625,0.625,1000.0,0.0,-1850.5,-442.2,1680.0,49.599999999999994,700.0,1000.0,1136.9,None,DK_1,2026-04-23
2026-01-01 16:00:00+00:00,570.25,2500.0,0.0,595.875,1680.0,0.0,0.0,58.275,700.0,0.0,1000.0,0.0,-1929.75,-595.875,1680.0,-58.275,700.0,1000.0,796.1,None,DK_1,2026-04-23
2026-01-01 17:00:00+00:00,1054.5,2500.0,0.0,599.075,1680.1,0.0,0.0,167.8,700.0,0.0,1000.0,0.0,-1445.5,-599.075,1680.1,-167.8,700.0,1000.0,1167.725,None,DK_1,2026-04-23
2026-01-01 18:00:00+00:00,1186.5,2500.0,0.0,586.75,1680.0,0.0,0.0,315.775,700.0,0.0,1000.0,0.0,-1313.5,-586.75,1680.0,-315.775,700.0,1000.0,1163.975,None,DK_1,2026-04-23
2026-01-01 19:00:00+00:00,1768.0,2500.0,0.0,538.15,1680.0,0.0,0.0,566.475,700.55,0.55,1000.0,0.0,-732.0,-538.15,1680.0,-566.475,700.0,1000.0,1543.375,None,DK_1,2026-04-23
2026-01-01 20:00:00+00:00,1377.75,2500.0,0.0,545.25,1680.0,0.0,0.0,720.025,700.0,0.0,1000.0,0.0,-1122.25,-545.25,1680.0,-720.025,700.0,1000.0,992.475,None,DK_1,2026-04-23
2026-01-01 21:00:00+00:00,1333.5,2500.0,0.0,599.4,1680.025,0.0,0.0,732.9749999999999,700.0,0.0,1000.0,0.0,-1166.5,-599.4,1680.025,-732.9749999999999,700.0,1000.0,881.1500000000001,None,DK_1,2026-04-23
2026-01-01 22:00:00+00:00,1276.5,2500.0,0.0,600.0,1680.0,0.0,0.0,733.2249999999999,700.0,0.0,1000.0,0.0,-1223.5,-600.0,1680.0,-733.2249999999999,700.0,1000.0,823.2750000000001,None,DK_1,2026-04-23
2026-01-01 23:00:00+00:00,877.25,2500.0,0.0,526.25,1680.0,0.0,0.0,712.0,710.375,11.375,1000.0,0.0,-1622.75,-526.25,1680.0,-712.0,699.0,1000.0,518.0,None,DK_1,2026-04-23
2026-01-02 00:00:00+00:00,1038.75,2500.0,0.0,479.625,1680.0,0.0,0.0,732.425,709.875,9.875,1000.0,195.0,-1461.25,-479.625,1680.0,-732.425,700.0,805.0,511.70000000000005,None,DK_1,2026-04-23
