,DK_2_DE_LU,DE_LU_DK_2,DK_2_DK_1,DK_1_DK_2,DK_2_SE_4,SE_4_DK_2,DK_2_DE_LU_net_export,DK_2_DK_1_net_export,DK_2_SE_4_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,813.55,139.375,531.95,0.0,0.0,1275.3,674.175,531.95,-1275.3,-69.17499999999995,None,DK_2,2026-04-23
2026-01-01 01:00:00+00:00,590.05,263.2,504.075,0.0,0.0,903.2,326.84999999999997,504.075,-903.2,-72.27500000000009,None,DK_2,2026-04-23
2026-01-01 02:00:00+00:00,231.275,404.4,379.85,0.0,0.0,489.625,-173.12499999999997,379.85,-489.625,-282.9,None,DK_2,2026-04-23
2026-01-01 03:00:00+00:00,324.75,867.525,110.44999999999999,11.15,0.0,112.0,-542.775,99.29999999999998,-112.0,-555.475,None,DK_2,2026-04-23
2026-01-01 04:00:00+00:00,515.975,1084.7,563.925,0.0,0.0,554.125,-568.725,563.925,-554.125,-558.9250000000001,None,DK_2,2026-04-23
2026-01-01 05:00:00+00:00,391.05,1100.95,584.775,0.0,0.0,496.475,-709.9000000000001,584.775,-496.475,-621.6000000000001,None,DK_2,2026-04-23
2026-01-01 06:00:00+00:00,215.625,953.45,338.5,0.0,0.0,263.225,-737.825,338.5,-263.225,-662.5500000000001,None,DK_2,2026-04-23
2026-01-01 07:00:00+00:00,274.025,1010.625,523.075,0.0,0.0,554.15,-736.6,523.075,-554.15,-767.675,None,DK_2,2026-04-23
2026-01-01 08:00:00+00:00,182.775,875.05,317.15,0.0,0.0,466.95,-692.275,317.15,-466.95,-842.075,None,DK_2,2026-04-23
2026-01-01 09:00:00+00:00,51.775,812.2,82.9,4.025,0.0,163.225,-760.4250000000001,78.875,-163.225,-844.7750000000001,None,DK_2,2026-04-23
2026-01-01 10:00:00+00:00,68.0,829.575,92.10000000000001,0.0,201.475,0.0,-761.575,92.10000000000001,201.475,-468.0,None,DK_2,2026-04-23
2026-01-01 11:00:00+00:00,170.7,916.375,265.35,0.0,20.3,18.4,-745.675,265.35,1.9000000000000021,-478.42499999999995,None,DK_2,2026-04-23
2026-01-01 12:00:00+00:00,60.35,782.575,10.025,34.875,308.85,0.0,-722.225,-24.85,308.85,-438.225,None,DK_2,2026-04-23
2026-01-01 13:00:00+00:00,43.224999999999994,785.225,45.9,160.85,471.8,0.0,-742.0,-114.94999999999999,471.8,-385.15000000000003,None,DK_2,2026-04-23
2026-01-01 14:00:00+00:00,56.575,781.5999999999999,456.225,0.0,31.8,93.475,-725.0249999999999,456.225,-61.675,-330.47499999999985,None,DK_2,2026-04-23
2026-01-01 15:00:00+00:00,164.05,762.275,442.2,0.0,39.2,82.6,-598.2249999999999,442.2,-43.39999999999999,-199.4249999999999,None,DK_2,2026-04-23
2026-01-01 16:00:00+00:00,295.625,902.575,595.875,0.0,0.0,237.875,-606.95,595.875,-237.875,-248.95000000000005,None,DK_2,2026-04-23
2026-01-01 17:00:00+00:00,537.95,731.05,599.075,0.0,0.0,289.9,-193.0999999999999,599.075,-289.9,116.07500000000016,None,DK_2,2026-04-23
2026-01-01 18:00:00+00:00,926.925,729.025,586.75,0.0,0.0,254.65,197.89999999999998,586.75,-254.65,530.0,None,DK_2,2026-04-23
2026-01-01 19:00:00+00:00,1060.5,741.0,538.15,0.0,0.0,163.1,319.5,538.15,-163.1,694.55,None,DK_2,2026-04-23
2026-01-01 20:00:00+00:00,1051.4,742.35,545.25,0.0,0.0,126.125,309.05000000000007,545.25,-126.125,728.1750000000001,None,DK_2,2026-04-23
2026-01-01 21:00:00+00:00,1044.025,750.075,599.4,0.0,0.0,358.3,293.95000000000005,599.4,-358.3,535.05,None,DK_2,2026-04-23
2026-01-01 22:00:00+00:00,910.6,748.2,600.0,0.0,0.0,216.025,162.39999999999998,600.0,-216.025,546.375,None,DK_2,2026-04-23
2026-01-01 23:00:00+00:00,809.0,870.25,526.25,0.0,0.0,521.0,-61.25,526.25,-521.0,-56.0,None,DK_2,2026-04-23
2026-01-02 00:00:00+00:00,1230.1750000000002,764.675,479.625,0.0,0.0,844.225,465.5000000000002,479.625,-844.225,100.9000000000002,None,DK_2,2026-04-23
2026-01-02 01:00:00+00:00,1034.0,826.1,464.275,0.0,0.0,591.2,207.89999999999998,464.275,-591.2,80.97499999999991,None,DK_2,2026-04-23
2026-01-02 02:00:00+00:00,1072.25,795.0,599.325,0.0,0.0,801.35,277.25,599.325,-801.35,75.22500000000002,None,DK_2,2026-04-23
2026-01-02 03:00:00+00:00,1455.475,820.4,600.0,0.0,0.0,1093.475,635.0749999999999,600.0,-1093.475,141.5999999999999,None,DK_2,2026-04-23
2026-01-02 04:00:00+00:00,1306.075,733.825,600.0,0.0,0.0,926.975,572.25,600.0,-926.975,245.27499999999998,None,DK_2,2026-04-23
2026-01-02 05:00:00+00:00,932.675,417.675,491.975,0.0,0.0,731.0,515.0,491.975,-731.0,275.975,None,DK_2,2026-04-23
2026-01-02 06:00:00+00:00,644.625,10.0,584.975,0.0,0.0,1139.0,634.625,584.975,-1139.0,80.59999999999991,None,DK_2,2026-04-23
2026-01-02 07:00:00+00:00,546.75,10.225,411.225,0.0,0.0,1152.0,536.525,411.225,-1152.0,-204.25,None,DK_2,2026-04-23
2026-01-02 08:00:00+00:00,427.075,36.5,524.95,0.0,0.0,1152.0,390.575,524.95,-1152.0,-236.4749999999999,None,DK_2,2026-04-23
2026-01-02 09:00:00+00:00,641.0,196.0,472.475,0.0,0.0,1151.9250000000002,445.0,472.475,-1151.9250000000002,-234.45000000000016,None,DK_2,2026-04-23
2026-01-02 10:00:00+00:00,458.55,78.175,431.375,0.0,0.0,1151.4,380.375,431.375,-1151.4,-339.6500000000001,None,DK_2,2026-04-23
2026-01-02 11:00:00+00:00,469.5,149.825,322.325,0.0,0.0,1152.0,319.675,322.325,-1152.0,-510.0,None,DK_2,2026-04-23
2026-01-02 12:00:00+00:00,508.1,282.925,261.6,0.0,0.0,1152.0,225.175,261.6,-1152.0,-665.2249999999999,None,DK_2,2026-04-23
2026-01-02 13:00:00+00:00,413.725,234.72500000000002,285.15,0.0,0.0,1152.0,179.0,285.15,-1152.0,-687.85,None,DK_2,2026-04-23
2026-01-02 14:00:00+00:00,739.85,53.375,444.75,0.0,0.0,1281.875,686.475,444.75,-1281.875,-150.6500000000001,None,DK_2,2026-04-23
2026-01-02 15:00:00+00:00,783.325,46.85,318.3,0.0,0.0,1281.825,736.475,318.3,-1281.825,-227.04999999999995,None,DK_2,2026-04-23
2026-01-02 16:00:00+00:00,894.825,191.575,364.775,0.0,0.0,1282.0,703.25,364.775,-1282.0,-213.9749999999999,None,DK_2,2026-04-23
2026-01-02 17:00:00+00:00,796.875,37.2,242.25,0.0,0.0,1278.9,759.675,242.25,-1278.9,-276.97500000000014,None,DK_2,2026-04-23
2026-01-02 18:00:00+00:00,802.1,47.0,274.05,0.0,0.0,1176.625,755.1,274.05,-1176.625,-147.4749999999999,None,DK_2,2026-04-23
2026-01-02 19:00:00+00:00,748.125,20.375,512.6500000000001,0.0,0.0,1250.7,727.75,512.6500000000001,-1250.7,-10.299999999999955,None,DK_2,2026-04-23
2026-01-02 20:00:00+00:00,852.45,151.95,541.925,0.0,0.0,1225.125,700.5,541.925,-1225.125,17.299999999999955,None,DK_2,2026-04-23
2026-01-02 21:00:00+00:00,687.75,1.0,544.35,0.0,0.0,1140.25,686.75,544.35,-1140.25,90.84999999999991,None,DK_2,2026-04-23
2026-01-02 22:00:00+00:00,688.75,0.375,600.0,0.0,0.0,1151.9,688.375,600.0,-1151.9,136.4749999999999,None,DK_2,2026-04-23
2026-01-02 23:00:00+00:00,664.25,0.0,600.0,0.0,0.0,1172.7,664.25,600.0,-1172.7,91.54999999999995,None,DK_2,2026-04-23
2026-01-03 00:00:00+00:00,695.9000000000001,40.325,495.7,0.0,0.0,1150.0,655.575,495.7,-1150.0,1.275000000000091,None,DK_2,2026-04-23
