,EE_FI,FI_EE,EE_LV,LV_EE,EE_FI_net_export,EE_LV_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,648.45,0.0,140.975,-648.45,-140.975,-789.4250000000001,None,EE,2026-04-23
2026-01-01 01:00:00+00:00,0.0,540.325,0.0,233.35,-540.325,-233.35,-773.6750000000001,None,EE,2026-04-23
2026-01-01 02:00:00+00:00,0.0,438.05,0.0,308.65,-438.05,-308.65,-746.7,None,EE,2026-04-23
2026-01-01 03:00:00+00:00,0.0,265.25,0.0,431.4,-265.25,-431.4,-696.65,None,EE,2026-04-23
2026-01-01 04:00:00+00:00,0.0,184.15,0.0,507.725,-184.15,-507.725,-691.875,None,EE,2026-04-23
2026-01-01 05:00:00+00:00,0.0,159.025,0.0,533.975,-159.025,-533.975,-693.0,None,EE,2026-04-23
2026-01-01 06:00:00+00:00,0.0,193.0,0.0,516.225,-193.0,-516.225,-709.225,None,EE,2026-04-23
2026-01-01 07:00:00+00:00,0.0,332.175,0.0,397.575,-332.175,-397.575,-729.75,None,EE,2026-04-23
2026-01-01 08:00:00+00:00,0.0,338.775,0.0,381.75,-338.775,-381.75,-720.525,None,EE,2026-04-23
2026-01-01 09:00:00+00:00,0.0,238.425,0.0,443.925,-238.425,-443.925,-682.35,None,EE,2026-04-23
2026-01-01 10:00:00+00:00,0.0,246.4,0.0,470.175,-246.4,-470.175,-716.575,None,EE,2026-04-23
2026-01-01 11:00:00+00:00,0.0,318.225,0.0,419.075,-318.225,-419.075,-737.3,None,EE,2026-04-23
2026-01-01 12:00:00+00:00,0.0,421.3,0.0,287.25,-421.3,-287.25,-708.55,None,EE,2026-04-23
2026-01-01 13:00:00+00:00,0.0,360.3,0.0,360.4,-360.3,-360.4,-720.7,None,EE,2026-04-23
2026-01-01 14:00:00+00:00,0.0,349.075,0.0,310.85,-349.075,-310.85,-659.925,None,EE,2026-04-23
2026-01-01 15:00:00+00:00,0.0,340.525,0.0,286.675,-340.525,-286.675,-627.2,None,EE,2026-04-23
2026-01-01 16:00:00+00:00,0.0,335.975,0.0,290.6,-335.975,-290.6,-626.575,None,EE,2026-04-23
2026-01-01 17:00:00+00:00,0.0,405.475,0.0,223.425,-405.475,-223.425,-628.9000000000001,None,EE,2026-04-23
2026-01-01 18:00:00+00:00,0.0,482.625,0.0,133.65,-482.625,-133.65,-616.275,None,EE,2026-04-23
2026-01-01 19:00:00+00:00,0.0,438.25,0.0,164.07500000000002,-438.25,-164.07500000000002,-602.325,None,EE,2026-04-23
2026-01-01 20:00:00+00:00,0.0,311.325,0.0,239.675,-311.325,-239.675,-551.0,None,EE,2026-04-23
2026-01-01 21:00:00+00:00,0.0,304.675,0.0,240.4,-304.675,-240.4,-545.075,None,EE,2026-04-23
2026-01-01 22:00:00+00:00,0.0,289.75,0.0,230.025,-289.75,-230.025,-519.775,None,EE,2026-04-23
2026-01-01 23:00:00+00:00,0.0,411.45,0.0,120.025,-411.45,-120.025,-531.475,None,EE,2026-04-23
2026-01-02 00:00:00+00:00,0.0,203.875,0.0,333.45,-203.875,-333.45,-537.325,None,EE,2026-04-23
2026-01-02 01:00:00+00:00,0.0,288.45,0.0,245.225,-288.45,-245.225,-533.675,None,EE,2026-04-23
