,IT_CALA_IT_SICI,IT_SICI_IT_CALA,IT_CALA_IT_SUD,IT_SUD_IT_CALA,IT_CALA_IT_SICI_net_export,IT_CALA_IT_SUD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,1009.25,0.0,466.5,0.0,1009.25,466.5,1475.75,None,IT_CALA,2026-04-23
2026-01-01 01:00:00+00:00,1009.0,0.0,523.0,0.0,1009.0,523.0,1532.0,None,IT_CALA,2026-04-23
2026-01-01 02:00:00+00:00,893.0,0.0,618.5,0.0,893.0,618.5,1511.5,None,IT_CALA,2026-04-23
2026-01-01 03:00:00+00:00,711.5,0.0,801.5,0.0,711.5,801.5,1513.0,None,IT_CALA,2026-04-23
2026-01-01 04:00:00+00:00,828.5,0.0,660.75,0.0,828.5,660.75,1489.25,None,IT_CALA,2026-04-23
2026-01-01 05:00:00+00:00,980.5,0.0,460.0,0.0,980.5,460.0,1440.5,None,IT_CALA,2026-04-23
2026-01-01 06:00:00+00:00,893.75,0.0,560.25,0.0,893.75,560.25,1454.0,None,IT_CALA,2026-04-23
2026-01-01 07:00:00+00:00,906.5,0.0,665.0,0.0,906.5,665.0,1571.5,None,IT_CALA,2026-04-23
2026-01-01 08:00:00+00:00,840.0,0.0,71.5,123.75,840.0,-52.25,787.75,None,IT_CALA,2026-04-23
2026-01-01 09:00:00+00:00,588.0,0.0,55.75,74.25,588.0,-18.5,569.5,None,IT_CALA,2026-04-23
2026-01-01 10:00:00+00:00,499.25,0.0,67.75,40.75,499.25,27.0,526.25,None,IT_CALA,2026-04-23
2026-01-01 11:00:00+00:00,735.5,0.0,0.0,168.0,735.5,-168.0,567.5,None,IT_CALA,2026-04-23
2026-01-01 12:00:00+00:00,458.25,0.0,113.25,0.0,458.25,113.25,571.5,None,IT_CALA,2026-04-23
2026-01-01 13:00:00+00:00,421.25,0.0,114.75,0.0,421.25,114.75,536.0,None,IT_CALA,2026-04-23
2026-01-01 14:00:00+00:00,465.75,0.0,465.25,0.0,465.75,465.25,931.0,None,IT_CALA,2026-04-23
2026-01-01 15:00:00+00:00,381.0,0.0,1089.0,0.0,381.0,1089.0,1470.0,None,IT_CALA,2026-04-23
2026-01-01 16:00:00+00:00,386.75,0.0,1029.75,0.0,386.75,1029.75,1416.5,None,IT_CALA,2026-04-23
2026-01-01 17:00:00+00:00,459.75,0.0,992.25,0.0,459.75,992.25,1452.0,None,IT_CALA,2026-04-23
2026-01-01 18:00:00+00:00,440.75,0.0,1196.75,0.0,440.75,1196.75,1637.5,None,IT_CALA,2026-04-23
2026-01-01 19:00:00+00:00,389.75,0.0,1097.25,0.0,389.75,1097.25,1487.0,None,IT_CALA,2026-04-23
2026-01-01 20:00:00+00:00,317.0,0.0,940.75,0.0,317.0,940.75,1257.75,None,IT_CALA,2026-04-23
