,IT_CNOR_IT_NORD,IT_NORD_IT_CNOR,IT_CNOR_IT_CSUD,IT_CSUD_IT_CNOR,IT_CNOR_IT_NORD_net_export,IT_CNOR_IT_CSUD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,2465.5,1842.5,0.0,-2465.5,1842.5,-623.0,None,IT_CNOR,2026-04-23
2026-01-01 01:00:00+00:00,0.0,2377.5,1779.75,0.0,-2377.5,1779.75,-597.75,None,IT_CNOR,2026-04-23
2026-01-01 02:00:00+00:00,0.0,2042.25,1463.0,0.0,-2042.25,1463.0,-579.25,None,IT_CNOR,2026-04-23
2026-01-01 03:00:00+00:00,0.0,1600.5,992.0,0.0,-1600.5,992.0,-608.5,None,IT_CNOR,2026-04-23
2026-01-01 04:00:00+00:00,0.0,1511.0,936.75,0.0,-1511.0,936.75,-574.25,None,IT_CNOR,2026-04-23
2026-01-01 05:00:00+00:00,0.0,1809.75,1194.75,0.0,-1809.75,1194.75,-615.0,None,IT_CNOR,2026-04-23
2026-01-01 06:00:00+00:00,0.0,2203.5,1498.75,0.0,-2203.5,1498.75,-704.75,None,IT_CNOR,2026-04-23
2026-01-01 07:00:00+00:00,0.0,1264.5,657.25,0.0,-1264.5,657.25,-607.25,None,IT_CNOR,2026-04-23
2026-01-01 08:00:00+00:00,0.0,836.75,308.25,0.0,-836.75,308.25,-528.5,None,IT_CNOR,2026-04-23
2026-01-01 09:00:00+00:00,0.0,265.25,0.0,339.0,-265.25,-339.0,-604.25,None,IT_CNOR,2026-04-23
2026-01-01 10:00:00+00:00,0.0,545.75,38.0,201.0,-545.75,-163.0,-708.75,None,IT_CNOR,2026-04-23
2026-01-01 11:00:00+00:00,0.0,287.75,0.0,247.5,-287.75,-247.5,-535.25,None,IT_CNOR,2026-04-23
2026-01-01 12:00:00+00:00,423.5,0.0,0.0,917.75,423.5,-917.75,-494.25,None,IT_CNOR,2026-04-23
2026-01-01 13:00:00+00:00,265.75,0.0,0.0,835.75,265.75,-835.75,-570.0,None,IT_CNOR,2026-04-23
2026-01-01 14:00:00+00:00,8.0,164.5,0.0,474.25,-156.5,-474.25,-630.75,None,IT_CNOR,2026-04-23
2026-01-01 15:00:00+00:00,0.0,1245.5,595.0,0.0,-1245.5,595.0,-650.5,None,IT_CNOR,2026-04-23
2026-01-01 16:00:00+00:00,0.0,1792.75,1058.5,0.0,-1792.75,1058.5,-734.25,None,IT_CNOR,2026-04-23
2026-01-01 17:00:00+00:00,0.0,2058.75,1219.25,0.0,-2058.75,1219.25,-839.5,None,IT_CNOR,2026-04-23
2026-01-01 18:00:00+00:00,0.0,1864.0,967.25,0.0,-1864.0,967.25,-896.75,None,IT_CNOR,2026-04-23
2026-01-01 19:00:00+00:00,0.0,1765.75,816.5,0.0,-1765.75,816.5,-949.25,None,IT_CNOR,2026-04-23
2026-01-01 20:00:00+00:00,0.0,1734.5,848.5,0.0,-1734.5,848.5,-886.0,None,IT_CNOR,2026-04-23
2026-01-01 21:00:00+00:00,0.0,1098.5,252.75,0.0,-1098.5,252.75,-845.75,None,IT_CNOR,2026-04-23
2026-01-01 22:00:00+00:00,0.0,214.5,0.0,447.5,-214.5,-447.5,-662.0,None,IT_CNOR,2026-04-23
2026-01-01 23:00:00+00:00,0.0,734.5,111.25,153.75,-734.5,-42.5,-777.0,None,IT_CNOR,2026-04-23
2026-01-02 00:00:00+00:00,256.0,63.25,0.0,794.0,192.75,-794.0,-601.25,None,IT_CNOR,2026-04-23
2026-01-02 01:00:00+00:00,560.25,0.0,0.0,1109.5,560.25,-1109.5,-549.25,None,IT_CNOR,2026-04-23
2026-01-02 02:00:00+00:00,786.5,0.0,0.0,1327.5,786.5,-1327.5,-541.0,None,IT_CNOR,2026-04-23
2026-01-02 03:00:00+00:00,923.5,0.0,0.0,1486.25,923.5,-1486.25,-562.75,None,IT_CNOR,2026-04-23
2026-01-02 04:00:00+00:00,992.25,0.0,0.0,1631.25,992.25,-1631.25,-639.0,None,IT_CNOR,2026-04-23
2026-01-02 05:00:00+00:00,184.25,36.75,0.0,996.0,147.5,-996.0,-848.5,None,IT_CNOR,2026-04-23
2026-01-02 06:00:00+00:00,1.75,244.5,0.0,854.25,-242.75,-854.25,-1097.0,None,IT_CNOR,2026-04-23
2026-01-02 07:00:00+00:00,0.0,412.5,0.0,922.5,-412.5,-922.5,-1335.0,None,IT_CNOR,2026-04-23
2026-01-02 08:00:00+00:00,0.0,506.25,0.0,764.75,-506.25,-764.75,-1271.0,None,IT_CNOR,2026-04-23
2026-01-02 09:00:00+00:00,440.25,0.0,0.0,1594.75,440.25,-1594.75,-1154.5,None,IT_CNOR,2026-04-23
2026-01-02 10:00:00+00:00,1311.25,0.0,0.0,2330.75,1311.25,-2330.75,-1019.5,None,IT_CNOR,2026-04-23
2026-01-02 11:00:00+00:00,934.25,0.0,0.0,1999.5,934.25,-1999.5,-1065.25,None,IT_CNOR,2026-04-23
2026-01-02 12:00:00+00:00,1375.25,0.0,0.0,2311.25,1375.25,-2311.25,-936.0,None,IT_CNOR,2026-04-23
2026-01-02 13:00:00+00:00,583.75,0.0,0.0,1600.75,583.75,-1600.75,-1017.0,None,IT_CNOR,2026-04-23
2026-01-02 14:00:00+00:00,90.0,26.5,0.0,1301.5,63.5,-1301.5,-1238.0,None,IT_CNOR,2026-04-23
2026-01-02 15:00:00+00:00,0.0,745.25,0.0,652.5,-745.25,-652.5,-1397.75,None,IT_CNOR,2026-04-23
2026-01-02 16:00:00+00:00,0.0,1164.25,0.0,533.25,-1164.25,-533.25,-1697.5,None,IT_CNOR,2026-04-23
2026-01-02 17:00:00+00:00,0.0,857.25,0.0,987.5,-857.25,-987.5,-1844.75,None,IT_CNOR,2026-04-23
2026-01-02 18:00:00+00:00,0.0,1348.0,0.0,523.25,-1348.0,-523.25,-1871.25,None,IT_CNOR,2026-04-23
2026-01-02 19:00:00+00:00,0.0,865.75,0.0,844.0,-865.75,-844.0,-1709.75,None,IT_CNOR,2026-04-23
2026-01-02 20:00:00+00:00,0.0,482.5,0.0,917.25,-482.5,-917.25,-1399.75,None,IT_CNOR,2026-04-23
2026-01-02 21:00:00+00:00,75.75,90.5,0.0,1135.75,-14.75,-1135.75,-1150.5,None,IT_CNOR,2026-04-23
2026-01-02 22:00:00+00:00,874.25,0.0,0.0,1678.25,874.25,-1678.25,-804.0,None,IT_CNOR,2026-04-23
2026-01-02 23:00:00+00:00,1014.75,0.0,0.0,1819.0,1014.75,-1819.0,-804.25,None,IT_CNOR,2026-04-23
2026-01-03 00:00:00+00:00,1365.0,0.0,0.0,2050.5,1365.0,-2050.5,-685.5,None,IT_CNOR,2026-04-23
2026-01-03 01:00:00+00:00,1590.0,0.0,0.0,2222.0,1590.0,-2222.0,-632.0,None,IT_CNOR,2026-04-23
2026-01-03 02:00:00+00:00,2142.75,0.0,0.0,2692.5,2142.75,-2692.5,-549.75,None,IT_CNOR,2026-04-23
2026-01-03 03:00:00+00:00,1857.25,0.0,0.0,2414.0,1857.25,-2414.0,-556.75,None,IT_CNOR,2026-04-23
