,IT_CSUD_IT_CNOR,IT_CNOR_IT_CSUD,IT_CSUD_IT_SARD,IT_SARD_IT_CSUD,IT_CSUD_IT_SUD,IT_SUD_IT_CSUD,IT_CSUD_ME,ME_IT_CSUD,IT_CSUD_IT_CNOR_net_export,IT_CSUD_IT_SARD_net_export,IT_CSUD_IT_SUD_net_export,IT_CSUD_ME_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,1842.5,372.5,0.0,0.0,1473.5,67.0,110.0,-1842.5,372.5,-1473.5,-43.0,-2986.5,None,IT_CSUD,2026-04-23
2026-01-01 01:00:00+00:00,0.0,1779.75,464.0,0.0,0.0,1566.75,32.0,109.0,-1779.75,464.0,-1566.75,-77.0,-2959.5,None,IT_CSUD,2026-04-23
2026-01-01 02:00:00+00:00,0.0,1463.0,518.5,0.0,0.0,1730.75,20.0,140.0,-1463.0,518.5,-1730.75,-120.0,-2795.25,None,IT_CSUD,2026-04-23
2026-01-01 03:00:00+00:00,0.0,992.0,305.25,0.0,0.0,1716.25,0.0,180.0,-992.0,305.25,-1716.25,-180.0,-2583.0,None,IT_CSUD,2026-04-23
2026-01-01 04:00:00+00:00,0.0,936.75,111.25,0.0,0.0,1507.25,0.0,180.0,-936.75,111.25,-1507.25,-180.0,-2512.75,None,IT_CSUD,2026-04-23
2026-01-01 05:00:00+00:00,0.0,1194.75,29.75,242.0,0.0,1318.75,0.0,165.0,-1194.75,-212.25,-1318.75,-165.0,-2890.75,None,IT_CSUD,2026-04-23
2026-01-01 06:00:00+00:00,0.0,1498.75,193.5,0.0,0.0,1651.0,40.0,180.0,-1498.75,193.5,-1651.0,-140.0,-3096.25,None,IT_CSUD,2026-04-23
2026-01-01 07:00:00+00:00,0.0,657.25,50.75,77.75,0.0,1985.0,10.0,169.0,-657.25,-27.0,-1985.0,-159.0,-2828.25,None,IT_CSUD,2026-04-23
2026-01-01 08:00:00+00:00,0.0,308.25,0.0,261.5,0.0,1741.5,7.0,162.0,-308.25,-261.5,-1741.5,-155.0,-2466.25,None,IT_CSUD,2026-04-23
2026-01-01 09:00:00+00:00,339.0,0.0,0.0,204.5,0.0,2336.25,0.0,162.0,339.0,-204.5,-2336.25,-162.0,-2363.75,None,IT_CSUD,2026-04-23
2026-01-01 10:00:00+00:00,201.0,38.0,189.5,34.0,0.0,2685.5,0.0,164.0,163.0,155.5,-2685.5,-164.0,-2531.0,None,IT_CSUD,2026-04-23
2026-01-01 11:00:00+00:00,247.5,0.0,332.0,0.0,0.0,2856.5,1.0,162.0,247.5,332.0,-2856.5,-161.0,-2438.0,None,IT_CSUD,2026-04-23
2026-01-01 12:00:00+00:00,917.75,0.0,0.0,139.25,0.0,2867.25,0.0,162.0,917.75,-139.25,-2867.25,-162.0,-2250.75,None,IT_CSUD,2026-04-23
2026-01-01 13:00:00+00:00,835.75,0.0,0.0,156.0,0.0,2814.25,0.0,162.0,835.75,-156.0,-2814.25,-162.0,-2296.5,None,IT_CSUD,2026-04-23
2026-01-01 14:00:00+00:00,474.25,0.0,5.5,45.25,0.0,2759.5,67.0,134.0,474.25,-39.75,-2759.5,-67.0,-2392.0,None,IT_CSUD,2026-04-23
2026-01-01 15:00:00+00:00,0.0,595.0,189.25,0.0,0.0,2023.0,36.0,142.0,-595.0,189.25,-2023.0,-106.0,-2534.75,None,IT_CSUD,2026-04-23
2026-01-01 16:00:00+00:00,0.0,1058.5,151.5,0.0,0.0,1875.75,37.0,106.0,-1058.5,151.5,-1875.75,-69.0,-2851.75,None,IT_CSUD,2026-04-23
2026-01-01 17:00:00+00:00,0.0,1219.25,400.75,0.0,0.0,2156.75,33.0,106.0,-1219.25,400.75,-2156.75,-73.0,-3048.25,None,IT_CSUD,2026-04-23
2026-01-01 18:00:00+00:00,0.0,967.25,417.25,0.0,0.0,2443.25,45.0,102.0,-967.25,417.25,-2443.25,-57.0,-3050.25,None,IT_CSUD,2026-04-23
2026-01-01 19:00:00+00:00,0.0,816.5,338.75,0.0,0.0,2349.75,58.0,132.0,-816.5,338.75,-2349.75,-74.0,-2901.5,None,IT_CSUD,2026-04-23
