,IT_SARD_IT_CSUD,IT_CSUD_IT_SARD,IT_SARD_IT_CSUD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,372.5,-372.5,-372.5,None,IT_SARD,2026-04-23
2026-01-01 01:00:00+00:00,0.0,464.0,-464.0,-464.0,None,IT_SARD,2026-04-23
2026-01-01 02:00:00+00:00,0.0,518.5,-518.5,-518.5,None,IT_SARD,2026-04-23
2026-01-01 03:00:00+00:00,0.0,305.25,-305.25,-305.25,None,IT_SARD,2026-04-23
2026-01-01 04:00:00+00:00,0.0,111.25,-111.25,-111.25,None,IT_SARD,2026-04-23
2026-01-01 05:00:00+00:00,242.0,29.75,212.25,212.25,None,IT_SARD,2026-04-23
2026-01-01 06:00:00+00:00,0.0,193.5,-193.5,-193.5,None,IT_SARD,2026-04-23
2026-01-01 07:00:00+00:00,77.75,50.75,27.0,27.0,None,IT_SARD,2026-04-23
2026-01-01 08:00:00+00:00,261.5,0.0,261.5,261.5,None,IT_SARD,2026-04-23
2026-01-01 09:00:00+00:00,204.5,0.0,204.5,204.5,None,IT_SARD,2026-04-23
2026-01-01 10:00:00+00:00,34.0,189.5,-155.5,-155.5,None,IT_SARD,2026-04-23
2026-01-01 11:00:00+00:00,0.0,332.0,-332.0,-332.0,None,IT_SARD,2026-04-23
2026-01-01 12:00:00+00:00,139.25,0.0,139.25,139.25,None,IT_SARD,2026-04-23
2026-01-01 13:00:00+00:00,156.0,0.0,156.0,156.0,None,IT_SARD,2026-04-23
2026-01-01 14:00:00+00:00,45.25,5.5,39.75,39.75,None,IT_SARD,2026-04-23
2026-01-01 15:00:00+00:00,0.0,189.25,-189.25,-189.25,None,IT_SARD,2026-04-23
2026-01-01 16:00:00+00:00,0.0,151.5,-151.5,-151.5,None,IT_SARD,2026-04-23
2026-01-01 17:00:00+00:00,0.0,400.75,-400.75,-400.75,None,IT_SARD,2026-04-23
2026-01-01 18:00:00+00:00,0.0,417.25,-417.25,-417.25,None,IT_SARD,2026-04-23
2026-01-01 19:00:00+00:00,0.0,338.75,-338.75,-338.75,None,IT_SARD,2026-04-23
2026-01-01 20:00:00+00:00,0.0,235.75,-235.75,-235.75,None,IT_SARD,2026-04-23
2026-01-01 21:00:00+00:00,0.0,166.75,-166.75,-166.75,None,IT_SARD,2026-04-23
2026-01-01 22:00:00+00:00,0.0,52.25,-52.25,-52.25,None,IT_SARD,2026-04-23
2026-01-01 23:00:00+00:00,124.75,0.0,124.75,124.75,None,IT_SARD,2026-04-23
2026-01-02 00:00:00+00:00,195.5,0.0,195.5,195.5,None,IT_SARD,2026-04-23
2026-01-02 01:00:00+00:00,250.5,0.0,250.5,250.5,None,IT_SARD,2026-04-23
2026-01-02 02:00:00+00:00,36.25,99.25,-63.0,-63.0,None,IT_SARD,2026-04-23
2026-01-02 03:00:00+00:00,0.0,297.75,-297.75,-297.75,None,IT_SARD,2026-04-23
2026-01-02 04:00:00+00:00,104.25,101.5,2.75,2.75,None,IT_SARD,2026-04-23
2026-01-02 05:00:00+00:00,60.0,37.0,23.0,23.0,None,IT_SARD,2026-04-23
2026-01-02 06:00:00+00:00,296.25,31.75,264.5,264.5,None,IT_SARD,2026-04-23
2026-01-02 07:00:00+00:00,491.75,0.0,491.75,491.75,None,IT_SARD,2026-04-23
2026-01-02 08:00:00+00:00,403.0,0.0,403.0,403.0,None,IT_SARD,2026-04-23
2026-01-02 09:00:00+00:00,222.0,0.0,222.0,222.0,None,IT_SARD,2026-04-23
2026-01-02 10:00:00+00:00,342.75,0.0,342.75,342.75,None,IT_SARD,2026-04-23
2026-01-02 11:00:00+00:00,103.5,11.75,91.75,91.75,None,IT_SARD,2026-04-23
2026-01-02 12:00:00+00:00,411.5,0.0,411.5,411.5,None,IT_SARD,2026-04-23
2026-01-02 13:00:00+00:00,215.5,0.0,215.5,215.5,None,IT_SARD,2026-04-23
2026-01-02 14:00:00+00:00,148.5,0.0,148.5,148.5,None,IT_SARD,2026-04-23
2026-01-02 15:00:00+00:00,117.75,8.25,109.5,109.5,None,IT_SARD,2026-04-23
2026-01-02 16:00:00+00:00,87.75,0.0,87.75,87.75,None,IT_SARD,2026-04-23
2026-01-02 17:00:00+00:00,602.5,0.0,602.5,602.5,None,IT_SARD,2026-04-23
