,IT_SICI_IT_CALA,IT_CALA_IT_SICI,IT_SICI_IT_CALA_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,1009.25,-1009.25,-1009.25,None,IT_SICI,2026-04-23
2026-01-01 01:00:00+00:00,0.0,1009.0,-1009.0,-1009.0,None,IT_SICI,2026-04-23
2026-01-01 02:00:00+00:00,0.0,893.0,-893.0,-893.0,None,IT_SICI,2026-04-23
2026-01-01 03:00:00+00:00,0.0,711.5,-711.5,-711.5,None,IT_SICI,2026-04-23
2026-01-01 04:00:00+00:00,0.0,828.5,-828.5,-828.5,None,IT_SICI,2026-04-23
2026-01-01 05:00:00+00:00,0.0,980.5,-980.5,-980.5,None,IT_SICI,2026-04-23
2026-01-01 06:00:00+00:00,0.0,893.75,-893.75,-893.75,None,IT_SICI,2026-04-23
2026-01-01 07:00:00+00:00,0.0,906.5,-906.5,-906.5,None,IT_SICI,2026-04-23
2026-01-01 08:00:00+00:00,0.0,840.0,-840.0,-840.0,None,IT_SICI,2026-04-23
2026-01-01 09:00:00+00:00,0.0,588.0,-588.0,-588.0,None,IT_SICI,2026-04-23
2026-01-01 10:00:00+00:00,0.0,499.25,-499.25,-499.25,None,IT_SICI,2026-04-23
2026-01-01 11:00:00+00:00,0.0,735.5,-735.5,-735.5,None,IT_SICI,2026-04-23
2026-01-01 12:00:00+00:00,0.0,458.25,-458.25,-458.25,None,IT_SICI,2026-04-23
2026-01-01 13:00:00+00:00,0.0,421.25,-421.25,-421.25,None,IT_SICI,2026-04-23
2026-01-01 14:00:00+00:00,0.0,465.75,-465.75,-465.75,None,IT_SICI,2026-04-23
2026-01-01 15:00:00+00:00,0.0,381.0,-381.0,-381.0,None,IT_SICI,2026-04-23
2026-01-01 16:00:00+00:00,0.0,386.75,-386.75,-386.75,None,IT_SICI,2026-04-23
2026-01-01 17:00:00+00:00,0.0,459.75,-459.75,-459.75,None,IT_SICI,2026-04-23
2026-01-01 18:00:00+00:00,0.0,440.75,-440.75,-440.75,None,IT_SICI,2026-04-23
2026-01-01 19:00:00+00:00,0.0,389.75,-389.75,-389.75,None,IT_SICI,2026-04-23
2026-01-01 20:00:00+00:00,0.0,317.0,-317.0,-317.0,None,IT_SICI,2026-04-23
2026-01-01 21:00:00+00:00,0.0,424.0,-424.0,-424.0,None,IT_SICI,2026-04-23
2026-01-01 22:00:00+00:00,0.0,610.0,-610.0,-610.0,None,IT_SICI,2026-04-23
2026-01-01 23:00:00+00:00,0.0,736.25,-736.25,-736.25,None,IT_SICI,2026-04-23
2026-01-02 00:00:00+00:00,0.0,565.25,-565.25,-565.25,None,IT_SICI,2026-04-23
2026-01-02 01:00:00+00:00,0.0,530.75,-530.75,-530.75,None,IT_SICI,2026-04-23
2026-01-02 02:00:00+00:00,0.0,415.75,-415.75,-415.75,None,IT_SICI,2026-04-23
2026-01-02 03:00:00+00:00,0.0,212.0,-212.0,-212.0,None,IT_SICI,2026-04-23
2026-01-02 04:00:00+00:00,0.0,272.5,-272.5,-272.5,None,IT_SICI,2026-04-23
2026-01-02 05:00:00+00:00,0.0,274.75,-274.75,-274.75,None,IT_SICI,2026-04-23
