,LT_LV,LV_LT,LT_PL,PL_LT,LT_SE_4,SE_4_LT,LT_LV_net_export,LT_PL_net_export,LT_SE_4_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,646.8,0.0,63.875,180.75,0.0,700.0,646.8,-116.875,-700.0,-170.07500000000005,None,LT,2026-04-23
2026-01-01 01:00:00+00:00,727.275,0.0,72.975,91.0,0.0,700.0,727.275,-18.025000000000006,-700.0,9.25,None,LT,2026-04-23
2026-01-01 02:00:00+00:00,786.0,0.0,84.05,3.175,0.0,699.775,786.0,80.875,-699.775,167.10000000000002,None,LT,2026-04-23
2026-01-01 03:00:00+00:00,742.0,0.0,124.325,56.65,0.0,626.525,742.0,67.67500000000001,-626.525,183.14999999999998,None,LT,2026-04-23
2026-01-01 04:00:00+00:00,724.05,0.0,148.8,99.325,0.0,602.575,724.05,49.47500000000001,-602.575,170.94999999999993,None,LT,2026-04-23
2026-01-01 05:00:00+00:00,735.25,0.0,35.825,158.45,0.0,630.475,735.25,-122.62499999999999,-630.475,-17.850000000000023,None,LT,2026-04-23
2026-01-01 06:00:00+00:00,770.125,0.0,2.875,161.875,0.0,688.475,770.125,-159.0,-688.475,-77.35000000000002,None,LT,2026-04-23
2026-01-01 07:00:00+00:00,746.225,0.0,9.0,167.95,0.0,699.075,746.225,-158.95,-699.075,-111.79999999999995,None,LT,2026-04-23
2026-01-01 08:00:00+00:00,755.0500000000001,0.0,1.325,161.325,0.0,700.0,755.0500000000001,-160.0,-700.0,-104.94999999999993,None,LT,2026-04-23
2026-01-01 09:00:00+00:00,775.15,0.0,0.0,160.0,0.0,670.8,775.15,-160.0,-670.8,-55.64999999999998,None,LT,2026-04-23
2026-01-01 10:00:00+00:00,812.725,0.0,0.0,161.0,0.0,676.275,812.725,-161.0,-676.275,-24.549999999999955,None,LT,2026-04-23
2026-01-01 11:00:00+00:00,802.925,0.0,0.0,161.0,0.0,694.925,802.925,-161.0,-694.925,-53.0,None,LT,2026-04-23
2026-01-01 12:00:00+00:00,686.0,0.0,11.175,144.8,0.0,694.9,686.0,-133.625,-694.9,-142.52499999999998,None,LT,2026-04-23
2026-01-01 13:00:00+00:00,790.0,0.0,78.675,184.325,0.0,560.6,790.0,-105.64999999999999,-560.6,123.75,None,LT,2026-04-23
2026-01-01 14:00:00+00:00,807.0,0.0,154.2,80.275,0.0,676.5,807.0,73.92499999999998,-676.5,204.42499999999995,None,LT,2026-04-23
2026-01-01 15:00:00+00:00,801.0,0.0,229.1,57.05,0.0,698.35,801.0,172.05,-698.35,274.69999999999993,None,LT,2026-04-23
2026-01-01 16:00:00+00:00,800.0,0.0,219.175,116.025,0.0,662.05,800.0,103.15,-662.05,241.10000000000002,None,LT,2026-04-23
2026-01-01 17:00:00+00:00,816.6,0.0,206.0,63.05,0.0,700.0,816.6,142.95,-700.0,259.54999999999995,None,LT,2026-04-23
2026-01-01 18:00:00+00:00,821.0,0.0,234.3,92.525,0.0,699.675,821.0,141.775,-699.675,263.1,None,LT,2026-04-23
2026-01-01 19:00:00+00:00,835.125,0.0,152.175,95.6,0.0,628.55,835.125,56.57500000000002,-628.55,263.1500000000001,None,LT,2026-04-23
2026-01-01 20:00:00+00:00,855.0,0.0,84.4,148.675,0.0,628.45,855.0,-64.275,-628.45,162.27499999999998,None,LT,2026-04-23
2026-01-01 21:00:00+00:00,828.025,0.0,15.075,169.125,0.0,688.325,828.025,-154.05,-688.325,-14.350000000000136,None,LT,2026-04-23
2026-01-01 22:00:00+00:00,821.275,0.0,0.0,156.0,0.0,695.425,821.275,-156.0,-695.425,-30.149999999999977,None,LT,2026-04-23
2026-01-01 23:00:00+00:00,525.8,0.0,3.8,158.8,0.0,496.7,525.8,-155.0,-496.7,-125.90000000000003,None,LT,2026-04-23
2026-01-02 00:00:00+00:00,656.525,0.0,0.0,154.0,0.0,555.625,656.525,-154.0,-555.625,-53.10000000000002,None,LT,2026-04-23
2026-01-02 01:00:00+00:00,502.75,0.0,9.375,163.375,0.0,629.2,502.75,-154.0,-629.2,-280.45000000000005,None,LT,2026-04-23
2026-01-02 02:00:00+00:00,550.85,0.0,28.95,182.95,0.0,601.375,550.85,-154.0,-601.375,-204.52499999999998,None,LT,2026-04-23
2026-01-02 03:00:00+00:00,688.575,0.0,8.725,159.75,0.0,580.9,688.575,-151.025,-580.9,-43.34999999999991,None,LT,2026-04-23
2026-01-02 04:00:00+00:00,502.45,0.0,30.5,183.95,2.075,355.7,502.45,-153.45,-353.625,-4.625,None,LT,2026-04-23
2026-01-02 05:00:00+00:00,101.975,0.0,150.75,99.875,0.0,160.925,101.975,50.875,-160.925,-8.075000000000017,None,LT,2026-04-23
2026-01-02 06:00:00+00:00,167.025,0.0,199.825,4.825,0.0,437.4,167.025,195.0,-437.4,-75.375,None,LT,2026-04-23
2026-01-02 07:00:00+00:00,225.3,0.0,222.125,25.125,0.0,546.0,225.3,197.0,-546.0,-123.69999999999999,None,LT,2026-04-23
2026-01-02 08:00:00+00:00,245.225,0.0,216.475,17.475,0.0,391.575,245.225,199.0,-391.575,52.650000000000034,None,LT,2026-04-23
2026-01-02 09:00:00+00:00,248.85,0.0,207.1,7.1,0.0,530.775,248.85,200.0,-530.775,-81.92499999999995,None,LT,2026-04-23
2026-01-02 10:00:00+00:00,636.4,0.0,198.0,260.85,0.0,671.525,636.4,-62.85000000000002,-671.525,-97.97500000000002,None,LT,2026-04-23
2026-01-02 11:00:00+00:00,925.1,0.0,199.725,360.725,0.0,700.0,925.1,-161.00000000000003,-700.0,64.10000000000002,None,LT,2026-04-23
2026-01-02 12:00:00+00:00,969.175,0.0,196.0,345.95,0.0,678.325,969.175,-149.95,-678.325,140.89999999999986,None,LT,2026-04-23
2026-01-02 13:00:00+00:00,978.675,0.0,194.0,355.0,0.0,699.9,978.675,-161.0,-699.9,117.77499999999998,None,LT,2026-04-23
2026-01-02 14:00:00+00:00,764.3,0.0,194.0,355.0,0.0,700.0,764.3,-161.0,-700.0,-96.70000000000005,None,LT,2026-04-23
2026-01-02 15:00:00+00:00,804.45,0.0,194.0,318.425,0.0,699.9,804.45,-124.42500000000001,-699.9,-19.874999999999886,None,LT,2026-04-23
2026-01-02 16:00:00+00:00,1027.0,0.0,194.0,355.6,0.0,700.0,1027.0,-161.60000000000002,-700.0,165.39999999999998,None,LT,2026-04-23
2026-01-02 17:00:00+00:00,924.375,0.0,193.0,323.025,0.0,687.75,924.375,-130.02499999999998,-687.75,106.60000000000002,None,LT,2026-04-23
2026-01-02 18:00:00+00:00,617.45,0.0,206.2,264.175,0.0,700.0,617.45,-57.97500000000002,-700.0,-140.52499999999998,None,LT,2026-04-23
2026-01-02 19:00:00+00:00,197.125,0.0,212.55,20.55,0.0,504.975,197.125,192.0,-504.975,-115.85000000000002,None,LT,2026-04-23
2026-01-02 20:00:00+00:00,338.225,0.0,212.8,22.8,0.0,651.75,338.225,190.0,-651.75,-123.52499999999998,None,LT,2026-04-23
2026-01-02 21:00:00+00:00,207.10000000000002,0.0,207.475,29.075,0.0,453.875,207.10000000000002,178.4,-453.875,-68.375,None,LT,2026-04-23
2026-01-02 22:00:00+00:00,437.2,0.0,187.075,132.6,0.0,528.775,437.2,54.474999999999994,-528.775,-37.10000000000002,None,LT,2026-04-23
