,LV_EE,EE_LV,LV_LT,LT_LV,LV_EE_net_export,LV_LT_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,140.975,0.0,0.0,646.8,140.975,-646.8,-505.82499999999993,None,LV,2026-04-23
2026-01-01 01:00:00+00:00,233.35,0.0,0.0,727.275,233.35,-727.275,-493.92499999999995,None,LV,2026-04-23
2026-01-01 02:00:00+00:00,308.65,0.0,0.0,786.0,308.65,-786.0,-477.35,None,LV,2026-04-23
2026-01-01 03:00:00+00:00,431.4,0.0,0.0,742.0,431.4,-742.0,-310.6,None,LV,2026-04-23
2026-01-01 04:00:00+00:00,507.725,0.0,0.0,724.05,507.725,-724.05,-216.32499999999993,None,LV,2026-04-23
2026-01-01 05:00:00+00:00,533.975,0.0,0.0,735.25,533.975,-735.25,-201.27499999999998,None,LV,2026-04-23
2026-01-01 06:00:00+00:00,516.225,0.0,0.0,770.125,516.225,-770.125,-253.89999999999998,None,LV,2026-04-23
2026-01-01 07:00:00+00:00,397.575,0.0,0.0,746.225,397.575,-746.225,-348.65000000000003,None,LV,2026-04-23
2026-01-01 08:00:00+00:00,381.75,0.0,0.0,755.0500000000001,381.75,-755.0500000000001,-373.30000000000007,None,LV,2026-04-23
2026-01-01 09:00:00+00:00,443.925,0.0,0.0,775.15,443.925,-775.15,-331.22499999999997,None,LV,2026-04-23
2026-01-01 10:00:00+00:00,470.175,0.0,0.0,812.725,470.175,-812.725,-342.55,None,LV,2026-04-23
2026-01-01 11:00:00+00:00,419.075,0.0,0.0,802.925,419.075,-802.925,-383.84999999999997,None,LV,2026-04-23
2026-01-01 12:00:00+00:00,287.25,0.0,0.0,686.0,287.25,-686.0,-398.75,None,LV,2026-04-23
2026-01-01 13:00:00+00:00,360.4,0.0,0.0,790.0,360.4,-790.0,-429.6,None,LV,2026-04-23
2026-01-01 14:00:00+00:00,310.85,0.0,0.0,807.0,310.85,-807.0,-496.15,None,LV,2026-04-23
2026-01-01 15:00:00+00:00,286.675,0.0,0.0,801.0,286.675,-801.0,-514.325,None,LV,2026-04-23
2026-01-01 16:00:00+00:00,290.6,0.0,0.0,800.0,290.6,-800.0,-509.4,None,LV,2026-04-23
2026-01-01 17:00:00+00:00,223.425,0.0,0.0,816.6,223.425,-816.6,-593.175,None,LV,2026-04-23
2026-01-01 18:00:00+00:00,133.65,0.0,0.0,821.0,133.65,-821.0,-687.35,None,LV,2026-04-23
2026-01-01 19:00:00+00:00,164.07500000000002,0.0,0.0,835.125,164.07500000000002,-835.125,-671.05,None,LV,2026-04-23
2026-01-01 20:00:00+00:00,239.675,0.0,0.0,855.0,239.675,-855.0,-615.325,None,LV,2026-04-23
2026-01-01 21:00:00+00:00,240.4,0.0,0.0,828.025,240.4,-828.025,-587.625,None,LV,2026-04-23
2026-01-01 22:00:00+00:00,230.025,0.0,0.0,821.275,230.025,-821.275,-591.25,None,LV,2026-04-23
2026-01-01 23:00:00+00:00,120.025,0.0,0.0,525.8,120.025,-525.8,-405.775,None,LV,2026-04-23
2026-01-02 00:00:00+00:00,333.45,0.0,0.0,656.525,333.45,-656.525,-323.075,None,LV,2026-04-23
2026-01-02 01:00:00+00:00,245.225,0.0,0.0,502.75,245.225,-502.75,-257.525,None,LV,2026-04-23
2026-01-02 02:00:00+00:00,272.525,0.0,0.0,550.85,272.525,-550.85,-278.32500000000005,None,LV,2026-04-23
2026-01-02 03:00:00+00:00,387.275,0.0,0.0,688.575,387.275,-688.575,-301.30000000000007,None,LV,2026-04-23
2026-01-02 04:00:00+00:00,154.175,13.15,0.0,502.45,141.025,-502.45,-361.42499999999995,None,LV,2026-04-23
2026-01-02 05:00:00+00:00,0.0,338.275,0.0,101.975,-338.275,-101.975,-440.25,None,LV,2026-04-23
2026-01-02 06:00:00+00:00,0.0,331.1,0.0,167.025,-331.1,-167.025,-498.125,None,LV,2026-04-23
2026-01-02 07:00:00+00:00,0.0,283.65,0.0,225.3,-283.65,-225.3,-508.95,None,LV,2026-04-23
2026-01-02 08:00:00+00:00,0.0,291.875,0.0,245.225,-291.875,-245.225,-537.1,None,LV,2026-04-23
2026-01-02 09:00:00+00:00,0.0,237.55,0.0,248.85,-237.55,-248.85,-486.4,None,LV,2026-04-23
2026-01-02 10:00:00+00:00,208.625,31.475,0.0,636.4,177.15,-636.4,-459.25,None,LV,2026-04-23
2026-01-02 11:00:00+00:00,414.925,0.0,0.0,925.1,414.925,-925.1,-510.175,None,LV,2026-04-23
2026-01-02 12:00:00+00:00,436.775,0.0,0.0,969.175,436.775,-969.175,-532.4,None,LV,2026-04-23
2026-01-02 13:00:00+00:00,435.4,0.0,0.0,978.675,435.4,-978.675,-543.275,None,LV,2026-04-23
2026-01-02 14:00:00+00:00,348.6,0.0,0.0,764.3,348.6,-764.3,-415.69999999999993,None,LV,2026-04-23
2026-01-02 15:00:00+00:00,489.15,0.0,0.0,804.45,489.15,-804.45,-315.30000000000007,None,LV,2026-04-23
2026-01-02 16:00:00+00:00,708.425,0.0,0.0,1027.0,708.425,-1027.0,-318.57500000000005,None,LV,2026-04-23
2026-01-02 17:00:00+00:00,635.375,0.0,0.0,924.375,635.375,-924.375,-289.0,None,LV,2026-04-23
2026-01-02 18:00:00+00:00,381.425,0.0,0.0,617.45,381.425,-617.45,-236.02500000000003,None,LV,2026-04-23
2026-01-02 19:00:00+00:00,10.175,15.575,0.0,197.125,-5.399999999999999,-197.125,-202.525,None,LV,2026-04-23
2026-01-02 20:00:00+00:00,186.89999999999998,0.0,0.0,338.225,186.89999999999998,-338.225,-151.32500000000005,None,LV,2026-04-23
2026-01-02 21:00:00+00:00,23.15,62.6,0.0,207.10000000000002,-39.45,-207.10000000000002,-246.55,None,LV,2026-04-23
2026-01-02 22:00:00+00:00,111.95,5.225,0.0,437.2,106.72500000000001,-437.2,-330.47499999999997,None,LV,2026-04-23
2026-01-02 23:00:00+00:00,10.8,162.975,0.0,156.425,-152.17499999999998,-156.425,-308.6,None,LV,2026-04-23
2026-01-03 00:00:00+00:00,0.0,251.9,0.0,33.75,-251.9,-33.75,-285.65,None,LV,2026-04-23
2026-01-03 01:00:00+00:00,42.9,74.875,0.0,163.925,-31.975,-163.925,-195.9,None,LV,2026-04-23
2026-01-03 02:00:00+00:00,58.05,1.625,0.0,245.825,56.425,-245.825,-189.39999999999998,None,LV,2026-04-23
2026-01-03 03:00:00+00:00,40.324999999999996,6.7,0.0,218.0,33.62499999999999,-218.0,-184.375,None,LV,2026-04-23
2026-01-03 04:00:00+00:00,0.0,210.425,0.0,111.1,-210.425,-111.1,-321.525,None,LV,2026-04-23
2026-01-03 05:00:00+00:00,0.0,168.025,0.0,82.075,-168.025,-82.075,-250.10000000000002,None,LV,2026-04-23
2026-01-03 06:00:00+00:00,0.0,222.825,0.0,79.675,-222.825,-79.675,-302.5,None,LV,2026-04-23
2026-01-03 07:00:00+00:00,0.0,149.15,0.0,196.725,-149.15,-196.725,-345.875,None,LV,2026-04-23
2026-01-03 08:00:00+00:00,0.0,120.525,0.0,29.65,-120.525,-29.65,-150.175,None,LV,2026-04-23
2026-01-03 09:00:00+00:00,0.0,90.05,4.325,0.0,-90.05,4.325,-85.725,None,LV,2026-04-23
2026-01-03 10:00:00+00:00,45.95,0.0,0.0,125.07499999999999,45.95,-125.07499999999999,-79.12499999999999,None,LV,2026-04-23
2026-01-03 11:00:00+00:00,0.775,16.05,0.0,46.775,-15.275,-46.775,-62.05,None,LV,2026-04-23
2026-01-03 12:00:00+00:00,0.0,61.375,0.0,128.525,-61.375,-128.525,-189.9,None,LV,2026-04-23
2026-01-03 13:00:00+00:00,19.65,0.0,0.0,197.72500000000002,19.65,-197.72500000000002,-178.07500000000002,None,LV,2026-04-23
2026-01-03 14:00:00+00:00,133.82500000000002,0.0,0.0,267.075,133.82500000000002,-267.075,-133.24999999999997,None,LV,2026-04-23
2026-01-03 15:00:00+00:00,4.9,1.625,0.0,132.2,3.2750000000000004,-132.2,-128.92499999999998,None,LV,2026-04-23
2026-01-03 16:00:00+00:00,0.0,23.1,0.0,93.85,-23.1,-93.85,-116.94999999999999,None,LV,2026-04-23
2026-01-03 17:00:00+00:00,0.0,45.225,0.0,386.1,-45.225,-386.1,-431.32500000000005,None,LV,2026-04-23
2026-01-03 18:00:00+00:00,0.0,62.5,0.0,436.1,-62.5,-436.1,-498.6,None,LV,2026-04-23
2026-01-03 19:00:00+00:00,0.0,72.125,0.0,392.7,-72.125,-392.7,-464.825,None,LV,2026-04-23
2026-01-03 20:00:00+00:00,0.0,113.525,0.0,325.625,-113.525,-325.625,-439.15,None,LV,2026-04-23
2026-01-03 21:00:00+00:00,0.0,172.225,0.0,307.475,-172.225,-307.475,-479.70000000000005,None,LV,2026-04-23
2026-01-03 22:00:00+00:00,0.0,210.575,0.0,229.375,-210.575,-229.375,-439.95,None,LV,2026-04-23
2026-01-03 23:00:00+00:00,0.0,236.875,0.0,50.75,-236.875,-50.75,-287.625,None,LV,2026-04-23
2026-01-04 00:00:00+00:00,0.0,243.175,0.0,23.55,-243.175,-23.55,-266.725,None,LV,2026-04-23
2026-01-04 01:00:00+00:00,0.0,288.825,13.75,0.225,-288.825,13.525,-275.3,None,LV,2026-04-23
2026-01-04 02:00:00+00:00,0.0,280.65,4.775,0.0,-280.65,4.775,-275.875,None,LV,2026-04-23
2026-01-04 03:00:00+00:00,0.0,266.9,0.0,22.849999999999998,-266.9,-22.849999999999998,-289.75,None,LV,2026-04-23
2026-01-04 04:00:00+00:00,0.0,287.325,0.0,32.375,-287.325,-32.375,-319.7,None,LV,2026-04-23
2026-01-04 05:00:00+00:00,0.0,306.5,35.625,0.0,-306.5,35.625,-270.875,None,LV,2026-04-23
2026-01-04 06:00:00+00:00,0.0,293.7,3.45,29.45,-293.7,-26.0,-319.7,None,LV,2026-04-23
