,NL_BE,BE_NL,NL_DE_LU,DE_LU_NL,NL_GB,GB_NL,NL_NO_2,NO_2_NL,NL_DK_1,DK_1_NL,NL_BE_net_export,NL_DE_LU_net_export,NL_GB_net_export,NL_NO_2_net_export,NL_DK_1_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,1277.675,116.05,232.25,1576.575,1120.0,102.0,0.0,577.95,0.025,700.025,1161.625,-1344.325,1018.0,-577.95,-700.0,-442.6500000000001,None,NL,2026-04-23
2026-01-01 01:00:00+00:00,2053.725,1.175,0.0,3738.3,1048.0,197.0,0.0,347.025,0.0,700.0,2052.5499999999997,-3738.3,851.0,-347.025,-700.0,-1881.7750000000005,None,NL,2026-04-23
2026-01-01 02:00:00+00:00,1760.75,31.15,0.0,5547.425,1013.0,45.0,88.0,83.35,0.0,700.0,1729.6,-5547.425,968.0,4.650000000000006,-700.0,-3545.175,None,NL,2026-04-23
2026-01-01 03:00:00+00:00,1025.925,0.7,0.0,4999.525,962.0,238.0,112.625,0.0,0.0,700.0,1025.225,-4999.525,724.0,112.625,-700.0,-3837.6749999999997,None,NL,2026-04-23
2026-01-01 04:00:00+00:00,1463.0,32.95,0.0,4913.075,755.0,96.0,80.2,0.0,3.0250000000000004,701.6,1430.05,-4913.075,659.0,80.2,-698.575,-3442.3999999999996,None,NL,2026-04-23
2026-01-01 05:00:00+00:00,294.77500000000003,0.5,0.0,1924.875,749.0,0.0,6.475,23.275,16.125,698.35,294.27500000000003,-1924.875,749.0,-16.799999999999997,-682.225,-1580.625,None,NL,2026-04-23
2026-01-01 06:00:00+00:00,94.1,0.375,0.0,3993.15,797.0,1.0,0.0,149.025,0.0,700.0,93.725,-3993.15,796.0,-149.025,-700.0,-3952.4500000000003,None,NL,2026-04-23
2026-01-01 07:00:00+00:00,168.95,0.825,0.0,1959.2,808.0,0.0,0.0,124.0,0.0,700.0,168.125,-1959.2,808.0,-124.0,-700.0,-1807.075,None,NL,2026-04-23
2026-01-01 08:00:00+00:00,154.15,0.5,0.0,2155.225,730.0,63.0,157.5,63.275,1.85,700.225,153.65,-2155.225,667.0,94.225,-698.375,-1938.725,None,NL,2026-04-23
2026-01-01 09:00:00+00:00,632.875,1.0,0.75,4143.125,746.0,143.0,382.20000000000005,0.0,4.15,700.0,631.875,-4142.375,603.0,382.20000000000005,-695.85,-3221.15,None,NL,2026-04-23
2026-01-01 10:00:00+00:00,255.9,1.0,0.0,1967.7,730.0,328.0,316.375,0.0,0.0,700.0,254.9,-1967.7,402.0,316.375,-700.0,-1694.425,None,NL,2026-04-23
2026-01-01 11:00:00+00:00,54.400000000000006,1.6,0.0,4813.55,1047.0,1042.0,0.0,27.625,0.0,700.0,52.800000000000004,-4813.55,5.0,-27.625,-700.0,-5483.375,None,NL,2026-04-23
2026-01-01 12:00:00+00:00,338.85,0.35,289.375,3723.7,1060.0,719.0,16.0,0.0,0.0,700.0,338.5,-3434.325,341.0,16.0,-700.0,-3438.825,None,NL,2026-04-23
2026-01-01 13:00:00+00:00,696.875,0.0,157.55,6086.025,1061.0,191.0,0.0,236.325,0.0,700.0,696.875,-5928.474999999999,870.0,-236.325,-700.0,-5297.924999999999,None,NL,2026-04-23
2026-01-01 14:00:00+00:00,990.375,0.525,0.0,3519.825,1059.0,767.0,0.0,330.575,0.0,700.0,989.85,-3519.825,292.0,-330.575,-700.0,-3268.5499999999997,None,NL,2026-04-23
2026-01-01 15:00:00+00:00,1996.5,0.175,0.0,6037.55,1060.0,92.0,0.0,555.525,0.625,700.625,1996.325,-6037.55,968.0,-555.525,-700.0,-4328.75,None,NL,2026-04-23
2026-01-01 16:00:00+00:00,3274.0,0.625,0.0,8257.225,1060.0,362.0,0.0,630.05,0.0,700.0,3273.375,-8257.225,698.0,-630.05,-700.0,-5615.900000000001,None,NL,2026-04-23
2026-01-01 17:00:00+00:00,1186.075,0.075,0.0,2778.275,1066.0,30.0,0.0,634.025,0.0,700.0,1186.0,-2778.275,1036.0,-634.025,-700.0,-1890.3000000000002,None,NL,2026-04-23
2026-01-01 18:00:00+00:00,1156.2749999999999,0.0,22.55,2456.6749999999997,1067.0,0.0,0.0,562.55,0.0,700.0,1156.2749999999999,-2434.1249999999995,1067.0,-562.55,-700.0,-1473.3999999999996,None,NL,2026-04-23
2026-01-01 19:00:00+00:00,2399.725,0.0,0.0,6425.6,1065.0,0.0,0.0,340.375,0.55,700.55,2399.725,-6425.6,1065.0,-340.375,-700.0,-4001.2500000000005,None,NL,2026-04-23
2026-01-01 20:00:00+00:00,1367.5,0.025,0.0,4385.5,1063.0,0.0,106.6,15.85,0.0,700.0,1367.475,-4385.5,1063.0,90.75,-700.0,-2564.275,None,NL,2026-04-23
2026-01-01 21:00:00+00:00,2217.725,0.6,242.55,5819.8,917.0,111.0,43.050000000000004,129.2,0.0,700.0,2217.125,-5577.25,806.0,-86.14999999999998,-700.0,-3340.275,None,NL,2026-04-23
