,NO_2_DE_LU,DE_LU_NO_2,NO_2_DK_1,DK_1_NO_2,NO_2_NL,NL_NO_2,NO_2_NO_1,NO_1_NO_2,NO_2_NO_5,NO_5_NO_2,NO_2_GB,GB_NO_2,NO_2_DE_LU_net_export,NO_2_DK_1_net_export,NO_2_NL_net_export,NO_2_NO_1_net_export,NO_2_NO_5_net_export,NO_2_GB_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,3.75,1353.25,0.0,1623.825,577.95,0.0,6.125,3.775,945.9,0.0,671.6,0.0,-1349.5,-1623.825,577.95,2.35,945.9,671.6,-775.525,None,NO_2,2026-04-23
2026-01-01 01:00:00+00:00,0.0,1290.25,0.0,1680.0,347.025,0.0,451.125,0.175,519.75,0.0,694.9,0.0,-1290.25,-1680.0,347.025,450.95,519.75,694.9,-957.6250000000001,None,NO_2,2026-04-23
2026-01-01 02:00:00+00:00,0.0,1115.75,0.0,1680.0,83.35,88.0,297.85,0.05,768.4,0.0,398.9,0.0,-1115.75,-1680.0,-4.650000000000006,297.8,768.4,398.9,-1335.2999999999997,None,NO_2,2026-04-23
2026-01-01 03:00:00+00:00,0.0,1045.75,0.0,1680.0,0.0,112.625,244.775,0.0,753.725,0.0,20.5,0.0,-1045.75,-1680.0,-112.625,244.775,753.725,20.5,-1819.375,None,NO_2,2026-04-23
2026-01-01 04:00:00+00:00,0.0,1181.75,0.0,1680.0,0.0,80.2,303.075,0.05,897.15,0.0,0.0,141.9,-1181.75,-1680.0,-80.2,303.025,897.15,-141.9,-1883.6749999999997,None,NO_2,2026-04-23
2026-01-01 05:00:00+00:00,0.0,1400.0,0.0,1679.825,23.275,6.475,685.2,17.1,704.35,0.0,0.0,147.7,-1400.0,-1679.825,16.799999999999997,668.1,704.35,-147.7,-1838.2749999999999,None,NO_2,2026-04-23
2026-01-01 06:00:00+00:00,0.0,1400.0,0.0,1680.0,149.025,0.0,1328.3,0.0,0.025,0.1,0.0,363.3,-1400.0,-1680.0,149.025,1328.3,-0.07500000000000001,-363.3,-1966.05,None,NO_2,2026-04-23
2026-01-01 07:00:00+00:00,0.0,1400.0,0.0,1680.0,124.0,0.0,1105.775,0.0,0.0,0.0,0.0,228.6,-1400.0,-1680.0,124.0,1105.775,0.0,-228.6,-2078.825,None,NO_2,2026-04-23
2026-01-01 08:00:00+00:00,0.0,1131.75,0.0,1680.0,63.275,157.5,1044.925,0.0,16.625,0.0,0.0,141.2,-1131.75,-1680.0,-94.225,1044.925,16.625,-141.2,-1985.625,None,NO_2,2026-04-23
2026-01-01 09:00:00+00:00,0.0,982.5,0.0,1680.0,0.0,382.20000000000005,708.15,0.0,16.625,0.0,0.0,0.0,-982.5,-1680.0,-382.20000000000005,708.15,16.625,0.0,-2319.9249999999997,None,NO_2,2026-04-23
