,PL_CZ,CZ_PL,PL_DE_LU,DE_LU_PL,PL_LT,LT_PL,PL_SE_4,SE_4_PL,PL_SK,SK_PL,PL_CZ_net_export,PL_DE_LU_net_export,PL_LT_net_export,PL_SE_4_net_export,PL_SK_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,27.325,1555.275,0.0,0.0,180.75,63.875,0.0,600.0,1304.2749999999999,117.7,-1527.95,0.0,116.875,-600.0,1186.5749999999998,-824.5000000000002,None,PL,2026-04-23
2026-01-01 01:00:00+00:00,442.825,1519.175,0.0,0.0,91.0,72.975,0.0,600.0,1644.725,197.425,-1076.35,0.0,18.025000000000006,-600.0,1447.3,-211.02499999999986,None,PL,2026-04-23
2026-01-01 02:00:00+00:00,327.90000000000003,1014.65,37.85,0.0,3.175,84.05,1.175,601.175,1361.0,2.725,-686.75,37.85,-80.875,-600.0,1358.275,28.5,None,PL,2026-04-23
2026-01-01 03:00:00+00:00,256.40000000000003,1119.9,284.15,0.15,56.65,124.325,184.175,624.65,1612.75,1.025,-863.5,284.0,-67.67500000000001,-440.47499999999997,1611.725,524.075,None,PL,2026-04-23
2026-01-01 04:00:00+00:00,0.05,753.3,1037.0,0.75,99.325,148.8,468.2,600.0,1109.25,0.0,-753.25,1036.25,-49.47500000000001,-131.8,1109.25,1210.975,None,PL,2026-04-23
2026-01-01 05:00:00+00:00,1446.125,627.4,154.8,26.299999999999997,158.45,35.825,406.625,420.0,1145.15,0.0,818.725,128.5,122.62499999999999,-13.375,1145.15,2201.625,None,PL,2026-04-23
2026-01-01 06:00:00+00:00,169.475,1407.475,321.275,0.0,161.875,2.875,120.35,120.35,3332.75,0.0,-1238.0,321.275,159.0,0.0,3332.75,2575.025,None,PL,2026-04-23
2026-01-01 07:00:00+00:00,1680.5,0.0,371.775,0.0,167.95,9.0,534.275,9.55,314.25,0.0,1680.5,371.775,158.95,524.725,314.25,3050.2,None,PL,2026-04-23
2026-01-01 08:00:00+00:00,1131.5,0.0,788.75,0.0,161.325,1.325,603.975,3.975,489.75,0.0,1131.5,788.75,160.0,600.0,489.75,3170.0,None,PL,2026-04-23
2026-01-01 09:00:00+00:00,2123.25,0.0,1416.775,1207.275,160.0,0.0,609.8,9.8,366.25,0.0,2123.25,209.5,160.0,600.0,366.25,3459.0,None,PL,2026-04-23
