,PT_ES,ES_PT,PT_ES_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,68.5,21.025,47.475,47.475,None,PT,2026-04-23
2026-01-01 01:00:00+00:00,205.75,0.0,205.75,205.75,None,PT,2026-04-23
2026-01-01 02:00:00+00:00,0.0,351.6,-351.6,-351.6,None,PT,2026-04-23
2026-01-01 03:00:00+00:00,0.0,703.275,-703.275,-703.275,None,PT,2026-04-23
2026-01-01 04:00:00+00:00,0.0,944.6,-944.6,-944.6,None,PT,2026-04-23
2026-01-01 05:00:00+00:00,0.0,736.8,-736.8,-736.8,None,PT,2026-04-23
2026-01-01 06:00:00+00:00,0.0,178.925,-178.925,-178.925,None,PT,2026-04-23
2026-01-01 07:00:00+00:00,0.0,530.775,-530.775,-530.775,None,PT,2026-04-23
2026-01-01 08:00:00+00:00,0.0,888.9,-888.9,-888.9,None,PT,2026-04-23
2026-01-01 09:00:00+00:00,0.0,1347.775,-1347.775,-1347.775,None,PT,2026-04-23
2026-01-01 10:00:00+00:00,0.0,1704.7,-1704.7,-1704.7,None,PT,2026-04-23
2026-01-01 11:00:00+00:00,0.0,1905.85,-1905.85,-1905.85,None,PT,2026-04-23
2026-01-01 12:00:00+00:00,0.0,1881.9,-1881.9,-1881.9,None,PT,2026-04-23
2026-01-01 13:00:00+00:00,0.0,1508.05,-1508.05,-1508.05,None,PT,2026-04-23
2026-01-01 14:00:00+00:00,0.0,1556.175,-1556.175,-1556.175,None,PT,2026-04-23
2026-01-01 15:00:00+00:00,151.7,453.05,-301.35,-301.35,None,PT,2026-04-23
2026-01-01 16:00:00+00:00,1099.2,0.0,1099.2,1099.2,None,PT,2026-04-23
2026-01-01 17:00:00+00:00,2134.7,0.0,2134.7,2134.7,None,PT,2026-04-23
2026-01-01 18:00:00+00:00,2319.575,0.0,2319.575,2319.575,None,PT,2026-04-23
2026-01-01 19:00:00+00:00,2477.5,0.0,2477.5,2477.5,None,PT,2026-04-23
2026-01-01 20:00:00+00:00,2394.825,0.0,2394.825,2394.825,None,PT,2026-04-23
2026-01-01 21:00:00+00:00,2311.0499999999997,0.0,2311.0499999999997,2311.0499999999997,None,PT,2026-04-23
2026-01-01 22:00:00+00:00,1575.875,0.0,1575.875,1575.875,None,PT,2026-04-23
2026-01-01 23:00:00+00:00,110.95,262.70000000000005,-151.75000000000006,-151.75000000000006,None,PT,2026-04-23
2026-01-02 00:00:00+00:00,0.0,944.675,-944.675,-944.675,None,PT,2026-04-23
2026-01-02 01:00:00+00:00,0.0,710.225,-710.225,-710.225,None,PT,2026-04-23
2026-01-02 02:00:00+00:00,0.0,361.975,-361.975,-361.975,None,PT,2026-04-23
2026-01-02 03:00:00+00:00,0.0,300.175,-300.175,-300.175,None,PT,2026-04-23
2026-01-02 04:00:00+00:00,0.0,207.175,-207.175,-207.175,None,PT,2026-04-23
2026-01-02 05:00:00+00:00,27.85,79.825,-51.975,-51.975,None,PT,2026-04-23
2026-01-02 06:00:00+00:00,1328.2,0.0,1328.2,1328.2,None,PT,2026-04-23
2026-01-02 07:00:00+00:00,2114.45,0.0,2114.45,2114.45,None,PT,2026-04-23
2026-01-02 08:00:00+00:00,2013.9250000000002,0.0,2013.9250000000002,2013.9250000000002,None,PT,2026-04-23
2026-01-02 09:00:00+00:00,1327.45,0.0,1327.45,1327.45,None,PT,2026-04-23
2026-01-02 10:00:00+00:00,473.47499999999997,0.0,473.47499999999997,473.47499999999997,None,PT,2026-04-23
2026-01-02 11:00:00+00:00,197.925,23.775000000000002,174.15,174.15,None,PT,2026-04-23
2026-01-02 12:00:00+00:00,0.0,191.6,-191.6,-191.6,None,PT,2026-04-23
2026-01-02 13:00:00+00:00,0.0,313.875,-313.875,-313.875,None,PT,2026-04-23
2026-01-02 14:00:00+00:00,148.95,44.15,104.79999999999998,104.79999999999998,None,PT,2026-04-23
2026-01-02 15:00:00+00:00,1138.275,0.0,1138.275,1138.275,None,PT,2026-04-23
2026-01-02 16:00:00+00:00,2126.775,0.0,2126.775,2126.775,None,PT,2026-04-23
2026-01-02 17:00:00+00:00,2500.0,0.0,2500.0,2500.0,None,PT,2026-04-23
2026-01-02 18:00:00+00:00,1998.775,0.0,1998.775,1998.775,None,PT,2026-04-23
2026-01-02 19:00:00+00:00,1518.8999999999999,0.0,1518.8999999999999,1518.8999999999999,None,PT,2026-04-23
2026-01-02 20:00:00+00:00,1667.225,0.0,1667.225,1667.225,None,PT,2026-04-23
2026-01-02 21:00:00+00:00,1406.1,0.0,1406.1,1406.1,None,PT,2026-04-23
2026-01-02 22:00:00+00:00,943.575,0.0,943.575,943.575,None,PT,2026-04-23
2026-01-02 23:00:00+00:00,774.275,0.0,774.275,774.275,None,PT,2026-04-23
2026-01-03 00:00:00+00:00,1012.4749999999999,0.0,1012.4749999999999,1012.4749999999999,None,PT,2026-04-23
2026-01-03 01:00:00+00:00,1054.075,0.0,1054.075,1054.075,None,PT,2026-04-23
2026-01-03 02:00:00+00:00,1104.75,0.0,1104.75,1104.75,None,PT,2026-04-23
2026-01-03 03:00:00+00:00,1276.05,0.0,1276.05,1276.05,None,PT,2026-04-23
2026-01-03 04:00:00+00:00,1518.425,0.0,1518.425,1518.425,None,PT,2026-04-23
2026-01-03 05:00:00+00:00,1434.5,0.0,1434.5,1434.5,None,PT,2026-04-23
2026-01-03 06:00:00+00:00,1609.25,0.0,1609.25,1609.25,None,PT,2026-04-23
2026-01-03 07:00:00+00:00,1962.025,0.0,1962.025,1962.025,None,PT,2026-04-23
2026-01-03 08:00:00+00:00,2440.375,0.0,2440.375,2440.375,None,PT,2026-04-23
2026-01-03 09:00:00+00:00,2013.425,0.0,2013.425,2013.425,None,PT,2026-04-23
2026-01-03 10:00:00+00:00,1132.0,0.0,1132.0,1132.0,None,PT,2026-04-23
2026-01-03 11:00:00+00:00,502.04999999999995,0.0,502.04999999999995,502.04999999999995,None,PT,2026-04-23
2026-01-03 12:00:00+00:00,284.92499999999995,0.0,284.92499999999995,284.92499999999995,None,PT,2026-04-23
2026-01-03 13:00:00+00:00,500.55,0.0,500.55,500.55,None,PT,2026-04-23
2026-01-03 14:00:00+00:00,832.7750000000001,0.0,832.7750000000001,832.7750000000001,None,PT,2026-04-23
2026-01-03 15:00:00+00:00,2001.325,0.0,2001.325,2001.325,None,PT,2026-04-23
2026-01-03 16:00:00+00:00,2442.15,0.0,2442.15,2442.15,None,PT,2026-04-23
2026-01-03 17:00:00+00:00,2051.375,0.0,2051.375,2051.375,None,PT,2026-04-23
2026-01-03 18:00:00+00:00,1400.325,0.0,1400.325,1400.325,None,PT,2026-04-23
2026-01-03 19:00:00+00:00,414.35,0.0,414.35,414.35,None,PT,2026-04-23
2026-01-03 20:00:00+00:00,44.725,167.39999999999998,-122.67499999999998,-122.67499999999998,None,PT,2026-04-23
2026-01-03 21:00:00+00:00,80.72500000000001,148.9,-68.175,-68.175,None,PT,2026-04-23
2026-01-03 22:00:00+00:00,0.0,579.3499999999999,-579.3499999999999,-579.3499999999999,None,PT,2026-04-23
2026-01-03 23:00:00+00:00,359.05,18.675,340.375,340.375,None,PT,2026-04-23
2026-01-04 00:00:00+00:00,0.0,771.175,-771.175,-771.175,None,PT,2026-04-23
2026-01-04 01:00:00+00:00,0.0,1906.2,-1906.2,-1906.2,None,PT,2026-04-23
2026-01-04 02:00:00+00:00,0.0,1687.05,-1687.05,-1687.05,None,PT,2026-04-23
2026-01-04 03:00:00+00:00,0.0,1615.575,-1615.575,-1615.575,None,PT,2026-04-23
2026-01-04 04:00:00+00:00,0.0,1749.075,-1749.075,-1749.075,None,PT,2026-04-23
2026-01-04 05:00:00+00:00,0.0,1532.525,-1532.525,-1532.525,None,PT,2026-04-23
2026-01-04 06:00:00+00:00,0.0,1499.65,-1499.65,-1499.65,None,PT,2026-04-23
2026-01-04 07:00:00+00:00,0.0,1593.475,-1593.475,-1593.475,None,PT,2026-04-23
2026-01-04 08:00:00+00:00,0.0,1698.775,-1698.775,-1698.775,None,PT,2026-04-23
2026-01-04 09:00:00+00:00,0.0,1815.925,-1815.925,-1815.925,None,PT,2026-04-23
2026-01-04 10:00:00+00:00,0.0,1933.65,-1933.65,-1933.65,None,PT,2026-04-23
2026-01-04 11:00:00+00:00,0.0,2337.4,-2337.4,-2337.4,None,PT,2026-04-23
2026-01-04 12:00:00+00:00,0.0,2429.45,-2429.45,-2429.45,None,PT,2026-04-23
2026-01-04 13:00:00+00:00,0.0,2180.4,-2180.4,-2180.4,None,PT,2026-04-23
2026-01-04 14:00:00+00:00,0.0,2250.0,-2250.0,-2250.0,None,PT,2026-04-23
2026-01-04 15:00:00+00:00,0.0,1912.525,-1912.525,-1912.525,None,PT,2026-04-23
2026-01-04 16:00:00+00:00,0.0,1649.975,-1649.975,-1649.975,None,PT,2026-04-23
2026-01-04 17:00:00+00:00,0.0,346.55,-346.55,-346.55,None,PT,2026-04-23
2026-01-04 18:00:00+00:00,0.0,436.325,-436.325,-436.325,None,PT,2026-04-23
2026-01-04 19:00:00+00:00,136.0,0.0,136.0,136.0,None,PT,2026-04-23
2026-01-04 20:00:00+00:00,528.15,0.0,528.15,528.15,None,PT,2026-04-23
2026-01-04 21:00:00+00:00,401.65,81.925,319.72499999999997,319.72499999999997,None,PT,2026-04-23
2026-01-04 22:00:00+00:00,59.775,440.275,-380.5,-380.5,None,PT,2026-04-23
2026-01-04 23:00:00+00:00,0.0,1043.6,-1043.6,-1043.6,None,PT,2026-04-23
2026-01-05 00:00:00+00:00,0.0,1272.075,-1272.075,-1272.075,None,PT,2026-04-23
2026-01-05 01:00:00+00:00,0.0,1359.725,-1359.725,-1359.725,None,PT,2026-04-23
2026-01-05 02:00:00+00:00,0.0,1503.575,-1503.575,-1503.575,None,PT,2026-04-23
2026-01-05 03:00:00+00:00,0.0,1282.0,-1282.0,-1282.0,None,PT,2026-04-23
2026-01-05 04:00:00+00:00,0.0,579.275,-579.275,-579.275,None,PT,2026-04-23
2026-01-05 05:00:00+00:00,170.575,96.375,74.19999999999999,74.19999999999999,None,PT,2026-04-23
2026-01-05 06:00:00+00:00,908.0,0.0,908.0,908.0,None,PT,2026-04-23
2026-01-05 07:00:00+00:00,1363.35,0.0,1363.35,1363.35,None,PT,2026-04-23
2026-01-05 08:00:00+00:00,1312.025,0.0,1312.025,1312.025,None,PT,2026-04-23
2026-01-05 09:00:00+00:00,938.225,0.0,938.225,938.225,None,PT,2026-04-23
2026-01-05 10:00:00+00:00,161.15,66.02499999999999,95.12500000000001,95.12500000000001,None,PT,2026-04-23
2026-01-05 11:00:00+00:00,0.0,257.35,-257.35,-257.35,None,PT,2026-04-23
2026-01-05 12:00:00+00:00,0.0,312.725,-312.725,-312.725,None,PT,2026-04-23
2026-01-05 13:00:00+00:00,0.0,423.7,-423.7,-423.7,None,PT,2026-04-23
2026-01-05 14:00:00+00:00,0.0,875.65,-875.65,-875.65,None,PT,2026-04-23
2026-01-05 15:00:00+00:00,0.0,627.625,-627.625,-627.625,None,PT,2026-04-23
2026-01-05 16:00:00+00:00,281.57500000000005,110.125,171.45000000000005,171.45000000000005,None,PT,2026-04-23
2026-01-05 17:00:00+00:00,869.725,0.0,869.725,869.725,None,PT,2026-04-23
2026-01-05 18:00:00+00:00,619.025,0.0,619.025,619.025,None,PT,2026-04-23
2026-01-05 19:00:00+00:00,424.825,0.0,424.825,424.825,None,PT,2026-04-23
2026-01-05 20:00:00+00:00,322.55,0.0,322.55,322.55,None,PT,2026-04-23
2026-01-05 21:00:00+00:00,217.0,14.3,202.7,202.7,None,PT,2026-04-23
2026-01-05 22:00:00+00:00,150.45,11.85,138.6,138.6,None,PT,2026-04-23
2026-01-05 23:00:00+00:00,302.22499999999997,50.35,251.87499999999997,251.87499999999997,None,PT,2026-04-23
2026-01-06 00:00:00+00:00,71.775,172.125,-100.35,-100.35,None,PT,2026-04-23
2026-01-06 01:00:00+00:00,0.0,671.975,-671.975,-671.975,None,PT,2026-04-23
2026-01-06 02:00:00+00:00,0.0,1431.0,-1431.0,-1431.0,None,PT,2026-04-23
2026-01-06 03:00:00+00:00,0.0,1329.45,-1329.45,-1329.45,None,PT,2026-04-23
2026-01-06 04:00:00+00:00,0.0,1410.1,-1410.1,-1410.1,None,PT,2026-04-23
2026-01-06 05:00:00+00:00,0.0,1746.3,-1746.3,-1746.3,None,PT,2026-04-23
2026-01-06 06:00:00+00:00,0.0,2024.225,-2024.225,-2024.225,None,PT,2026-04-23
2026-01-06 07:00:00+00:00,0.0,2762.95,-2762.95,-2762.95,None,PT,2026-04-23
2026-01-06 08:00:00+00:00,0.0,3610.525,-3610.525,-3610.525,None,PT,2026-04-23
2026-01-06 09:00:00+00:00,0.0,4300.0,-4300.0,-4300.0,None,PT,2026-04-23
2026-01-06 10:00:00+00:00,0.0,4007.0,-4007.0,-4007.0,None,PT,2026-04-23
2026-01-06 11:00:00+00:00,0.0,4007.0,-4007.0,-4007.0,None,PT,2026-04-23
2026-01-06 12:00:00+00:00,0.0,4007.0,-4007.0,-4007.0,None,PT,2026-04-23
2026-01-06 13:00:00+00:00,0.0,4007.0,-4007.0,-4007.0,None,PT,2026-04-23
2026-01-06 14:00:00+00:00,0.0,4141.2,-4141.2,-4141.2,None,PT,2026-04-23
2026-01-06 15:00:00+00:00,0.0,3838.125,-3838.125,-3838.125,None,PT,2026-04-23
2026-01-06 16:00:00+00:00,0.0,2262.4500000000003,-2262.4500000000003,-2262.4500000000003,None,PT,2026-04-23
2026-01-06 17:00:00+00:00,0.0,481.3,-481.3,-481.3,None,PT,2026-04-23
2026-01-06 18:00:00+00:00,0.0,432.95,-432.95,-432.95,None,PT,2026-04-23
2026-01-06 19:00:00+00:00,0.0,367.675,-367.675,-367.675,None,PT,2026-04-23
2026-01-06 20:00:00+00:00,0.0,729.35,-729.35,-729.35,None,PT,2026-04-23
