,SE_2_NO_3,NO_3_SE_2,SE_2_NO_4,NO_4_SE_2,SE_2_SE_1,SE_1_SE_2,SE_2_SE_3,SE_3_SE_2,SE_2_NO_3_net_export,SE_2_NO_4_net_export,SE_2_SE_1_net_export,SE_2_SE_3_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,1389.125,0.0,0.0,2.35,1842.725,2.975,4131.925,0.0,1389.125,-2.35,1839.75,4131.925,7358.450000000001,None,SE_2,2026-04-23
2026-01-01 01:00:00+00:00,776.275,0.0,0.0,20.9,627.5,0.0,5667.375,0.0,776.275,-20.9,627.5,5667.375,7050.25,None,SE_2,2026-04-23
2026-01-01 02:00:00+00:00,852.425,0.0,2526.925,0.0,1690.875,40.075,1708.4,0.0,852.425,2526.925,1650.8,1708.4,6738.550000000001,None,SE_2,2026-04-23
2026-01-01 03:00:00+00:00,2628.25,0.0,0.0,0.0,0.0,39.025,3872.85,0.0,2628.25,0.0,-39.025,3872.85,6462.075,None,SE_2,2026-04-23
2026-01-01 04:00:00+00:00,4044.725,0.0,0.0,0.0,0.0,19.025,2418.45,0.0,4044.725,0.0,-19.025,2418.45,6444.15,None,SE_2,2026-04-23
2026-01-01 05:00:00+00:00,2101.25,0.0,271.75,0.0,1094.275,8.525,2743.575,0.0,2101.25,271.75,1085.75,2743.575,6202.325,None,SE_2,2026-04-23
2026-01-01 06:00:00+00:00,1544.85,0.0,228.975,0.0,781.3,3.825,3639.925,0.0,1544.85,228.975,777.4749999999999,3639.925,6191.225,None,SE_2,2026-04-23
2026-01-01 07:00:00+00:00,1418.2,0.0,0.0,0.0,2449.625,0.0,2506.7,0.0,1418.2,0.0,2449.625,2506.7,6374.525,None,SE_2,2026-04-23
2026-01-01 08:00:00+00:00,1500.3,0.0,152.325,0.875,369.975,17.825,4546.075,0.0,1500.3,151.45,352.15000000000003,4546.075,6549.975,None,SE_2,2026-04-23
2026-01-01 09:00:00+00:00,2297.425,0.0,74.0,0.0,1416.325,42.9,2856.25,0.0,2297.425,74.0,1373.425,2856.25,6601.1,None,SE_2,2026-04-23
2026-01-01 10:00:00+00:00,1665.65,0.0,6.075,0.075,1343.675,16.85,3722.075,0.0,1665.65,6.0,1326.825,3722.075,6720.55,None,SE_2,2026-04-23
2026-01-01 11:00:00+00:00,0.0,0.0,0.0,18.0,1238.675,59.875,5854.25,0.0,0.0,-18.0,1178.8,5854.25,7015.05,None,SE_2,2026-04-23
2026-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,1256.4,98.65,6139.275,0.0,0.0,0.0,1157.75,6139.275,7297.025,None,SE_2,2026-04-23
2026-01-01 13:00:00+00:00,638.475,0.0,0.0,3.0,659.825,13.6,6284.175,0.0,638.475,-3.0,646.225,6284.175,7565.875,None,SE_2,2026-04-23
2026-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,1753.0,56.05,6161.375,0.0,0.0,0.0,1696.95,6161.375,7858.325,None,SE_2,2026-04-23
2026-01-01 15:00:00+00:00,2090.925,0.0,0.0,7.325,564.275,184.225,5657.175,0.0,2090.925,-7.325,380.04999999999995,5657.175,8120.825000000001,None,SE_2,2026-04-23
2026-01-01 16:00:00+00:00,627.45,0.0,0.0,30.7,0.0,161.825,8010.325,0.0,627.45,-30.7,-161.825,8010.325,8445.25,None,SE_2,2026-04-23
2026-01-01 17:00:00+00:00,416.725,0.0,0.0,0.0,834.325,145.55,6933.1,0.0,416.725,0.0,688.7750000000001,6933.1,8038.6,None,SE_2,2026-04-23
2026-01-01 18:00:00+00:00,580.45,0.0,0.0,186.775,393.2,373.8,7488.05,0.0,580.45,-186.775,19.399999999999977,7488.05,7901.125,None,SE_2,2026-04-23
2026-01-01 19:00:00+00:00,2861.05,0.0,0.0,191.15,0.0,250.8,5150.1,0.0,2861.05,-191.15,-250.8,5150.1,7569.200000000001,None,SE_2,2026-04-23
2026-01-01 20:00:00+00:00,0.0,0.0,728.5,202.575,378.95,26.875,6389.3,0.0,0.0,525.925,352.075,6389.3,7267.3,None,SE_2,2026-04-23
2026-01-01 21:00:00+00:00,429.225,0.0,863.1,132.8,0.0,8.0,5943.225,0.0,429.225,730.3,-8.0,5943.225,7094.75,None,SE_2,2026-04-23
2026-01-01 22:00:00+00:00,1057.325,0.0,0.0,3.375,1115.475,1.25,4739.375,0.0,1057.325,-3.375,1114.225,4739.375,6907.55,None,SE_2,2026-04-23
2026-01-01 23:00:00+00:00,2401.25,0.0,38.8,0.0,39.575,22.55,4178.4,0.0,2401.25,38.8,17.025000000000002,4178.4,6635.475,None,SE_2,2026-04-23
