,SE_4_DE_LU,DE_LU_SE_4,SE_4_DK_2,DK_2_SE_4,SE_4_LT,LT_SE_4,SE_4_PL,PL_SE_4,SE_4_SE_3,SE_3_SE_4,SE_4_DE_LU_net_export,SE_4_DK_2_net_export,SE_4_LT_net_export,SE_4_PL_net_export,SE_4_SE_3_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,158.75,0.0,1275.3,0.0,700.0,0.0,600.0,0.0,0.0,2840.65,158.75,1275.3,700.0,600.0,-2840.65,-106.59999999999991,None,SE_4,2026-04-23
2026-01-01 01:00:00+00:00,151.25,0.0,903.2,0.0,700.0,0.0,600.0,0.0,0.0,2216.5,151.25,903.2,700.0,600.0,-2216.5,137.94999999999982,None,SE_4,2026-04-23
2026-01-01 02:00:00+00:00,0.0,51.0,489.625,0.0,699.775,0.0,601.175,1.175,0.0,2615.8,-51.0,489.625,699.775,600.0,-2615.8,-877.4000000000001,None,SE_4,2026-04-23
2026-01-01 03:00:00+00:00,0.0,102.0,112.0,0.0,626.525,0.0,624.65,184.175,0.0,1905.875,-102.0,112.0,626.525,440.47499999999997,-1905.875,-828.875,None,SE_4,2026-04-23
2026-01-01 04:00:00+00:00,0.0,204.0,554.125,0.0,602.575,0.0,600.0,468.2,0.0,1942.675,-204.0,554.125,602.575,131.8,-1942.675,-858.175,None,SE_4,2026-04-23
2026-01-01 05:00:00+00:00,0.0,204.0,496.475,0.0,630.475,0.0,420.0,406.625,0.0,1777.05,-204.0,496.475,630.475,13.375,-1777.05,-840.7249999999999,None,SE_4,2026-04-23
2026-01-01 06:00:00+00:00,0.0,204.0,263.225,0.0,688.475,0.0,120.35,120.35,0.0,1598.9,-204.0,263.225,688.475,0.0,-1598.9,-851.2,None,SE_4,2026-04-23
2026-01-01 07:00:00+00:00,0.0,204.0,554.15,0.0,699.075,0.0,9.55,534.275,0.0,1364.8,-204.0,554.15,699.075,-524.725,-1364.8,-840.3000000000001,None,SE_4,2026-04-23
2026-01-01 08:00:00+00:00,0.0,204.0,466.95,0.0,700.0,0.0,3.975,603.975,0.0,1177.125,-204.0,466.95,700.0,-600.0,-1177.125,-814.175,None,SE_4,2026-04-23
2026-01-01 09:00:00+00:00,0.0,204.0,163.225,0.0,670.8,0.0,9.8,609.8,0.0,928.8,-204.0,163.225,670.8,-600.0,-928.8,-898.775,None,SE_4,2026-04-23
2026-01-01 10:00:00+00:00,0.0,204.0,0.0,201.475,676.275,0.0,11.425,611.425,0.0,657.025,-204.0,-201.475,676.275,-600.0,-657.025,-986.225,None,SE_4,2026-04-23
2026-01-01 11:00:00+00:00,0.0,204.0,18.4,20.3,694.925,0.0,4.675,604.675,0.0,942.425,-204.0,-1.9000000000000021,694.925,-600.0,-942.425,-1053.4,None,SE_4,2026-04-23
2026-01-01 12:00:00+00:00,0.0,204.0,0.0,308.85,694.9,0.0,0.05,361.575,0.0,1131.925,-204.0,-308.85,694.9,-361.525,-1131.925,-1311.4,None,SE_4,2026-04-23
2026-01-01 13:00:00+00:00,0.0,204.0,0.0,471.8,560.6,0.0,142.975,142.975,0.0,1172.0,-204.0,-471.8,560.6,0.0,-1172.0,-1287.1999999999998,None,SE_4,2026-04-23
2026-01-01 14:00:00+00:00,0.0,204.0,93.475,31.8,676.5,0.0,128.425,72.6,0.0,1121.4,-204.0,61.675,676.5,55.82500000000002,-1121.4,-531.4000000000001,None,SE_4,2026-04-23
2026-01-01 15:00:00+00:00,0.0,204.0,82.6,39.2,698.35,0.0,109.625,14.35,0.0,989.975,-204.0,43.39999999999999,698.35,95.275,-989.975,-356.95000000000005,None,SE_4,2026-04-23
2026-01-01 16:00:00+00:00,0.0,153.0,237.875,0.0,662.05,0.0,156.0,96.625,0.0,1237.325,-153.0,237.875,662.05,59.375,-1237.325,-431.0250000000001,None,SE_4,2026-04-23
2026-01-01 17:00:00+00:00,0.0,63.25,289.9,0.0,700.0,0.0,113.425,13.425,0.0,1467.75,-63.25,289.9,700.0,100.0,-1467.75,-441.0999999999999,None,SE_4,2026-04-23
2026-01-01 18:00:00+00:00,0.0,153.0,254.65,0.0,699.675,0.0,133.875,33.875,0.0,1359.325,-153.0,254.65,699.675,100.0,-1359.325,-458.0000000000001,None,SE_4,2026-04-23
2026-01-01 19:00:00+00:00,0.0,204.0,163.1,0.0,628.55,0.0,213.8,134.7,0.0,1140.425,-204.0,163.1,628.55,79.10000000000002,-1140.425,-473.67499999999995,None,SE_4,2026-04-23
2026-01-01 20:00:00+00:00,0.0,204.0,126.125,0.0,628.45,0.0,32.3,26.125,0.0,1399.05,-204.0,126.125,628.45,6.174999999999997,-1399.05,-842.3,None,SE_4,2026-04-23
2026-01-01 21:00:00+00:00,0.0,195.75,358.3,0.0,688.325,0.0,76.7,576.05,0.0,1793.925,-195.75,358.3,688.325,-499.34999999999997,-1793.925,-1442.3999999999999,None,SE_4,2026-04-23
2026-01-01 22:00:00+00:00,0.0,204.0,216.025,0.0,695.425,0.0,0.0,600.0,0.0,1685.4,-204.0,216.025,695.425,-600.0,-1685.4,-1577.9500000000003,None,SE_4,2026-04-23
2026-01-01 23:00:00+00:00,0.0,204.0,521.0,0.0,496.7,0.0,101.125,701.125,0.0,848.45,-204.0,521.0,496.7,-600.0,-848.45,-634.75,None,SE_4,2026-04-23
2026-01-02 00:00:00+00:00,0.0,204.0,844.225,0.0,555.625,0.0,58.625,658.625,0.0,2114.9,-204.0,844.225,555.625,-600.0,-2114.9,-1519.0500000000002,None,SE_4,2026-04-23
2026-01-02 01:00:00+00:00,0.0,204.0,591.2,0.0,629.2,0.0,96.25,696.25,0.0,2000.15,-204.0,591.2,629.2,-600.0,-2000.15,-1583.75,None,SE_4,2026-04-23
2026-01-02 02:00:00+00:00,0.0,204.0,801.35,0.0,601.375,0.0,193.825,793.825,0.0,2263.9,-204.0,801.35,601.375,-600.0,-2263.9,-1665.1750000000002,None,SE_4,2026-04-23
2026-01-02 03:00:00+00:00,0.0,204.0,1093.475,0.0,580.9,0.0,130.75,730.6,0.0,2686.075,-204.0,1093.475,580.9,-599.85,-2686.075,-1815.5499999999997,None,SE_4,2026-04-23
2026-01-02 04:00:00+00:00,0.0,153.0,926.975,0.0,355.7,2.075,383.35,782.075,0.0,2390.1,-153.0,926.975,353.625,-398.725,-2390.1,-1661.225,None,SE_4,2026-04-23
2026-01-02 05:00:00+00:00,54.0,121.5,731.0,0.0,160.925,0.0,125.75,165.975,0.0,1927.85,-67.5,731.0,160.925,-40.224999999999994,-1927.85,-1143.65,None,SE_4,2026-04-23
2026-01-02 06:00:00+00:00,162.0,0.0,1139.0,0.0,437.4,0.0,207.075,7.075,0.0,3038.025,162.0,1139.0,437.4,200.0,-3038.025,-1099.625,None,SE_4,2026-04-23
