,SI_AT,AT_SI,SI_HR,HR_SI,SI_IT_NORD,IT_NORD_SI,SI_HU,HU_SI,SI_AT_net_export,SI_HR_net_export,SI_IT_NORD_net_export,SI_HU_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,201.725,2273.525,1584.5749999999998,63.55,0.0,680.0,1258.6750000000002,36.05,-2071.8,1521.0249999999999,-680.0,1222.6250000000002,-8.150000000000091,None,SI,2026-04-23
2026-01-01 01:00:00+00:00,220.625,2325.1,2808.55,58.325,5.300000000000001,680.0,26.125,21.025,-2104.475,2750.2250000000004,-674.7,5.100000000000001,-23.84999999999959,None,SI,2026-04-23
2026-01-01 02:00:00+00:00,125.45,2147.8,391.125,49.675,7.8,680.0,2229.2999999999997,92.45,-2022.3500000000001,341.45,-672.2,2136.85,-216.25000000000045,None,SI,2026-04-23
2026-01-01 03:00:00+00:00,108.10000000000001,3035.125,2333.025,47.0,0.35,680.35,1222.425,30.65,-2927.025,2286.025,-680.0,1191.7749999999999,-129.22500000000014,None,SI,2026-04-23
2026-01-01 04:00:00+00:00,119.825,3309.475,1602.2749999999999,49.275,0.0,680.0,2245.625,0.0,-3189.65,1552.9999999999998,-680.0,2245.625,-71.02500000000055,None,SI,2026-04-23
2026-01-01 05:00:00+00:00,25.475,3118.175,1572.3249999999998,53.1,0.0,680.0,2176.0,0.15,-3092.7000000000003,1519.225,-680.0,2175.85,-77.62500000000045,None,SI,2026-04-23
2026-01-01 06:00:00+00:00,121.575,469.0,814.525,52.175,0.0,680.0,33.175,28.0,-347.425,762.35,-680.0,5.174999999999997,-259.9,None,SI,2026-04-23
2026-01-01 07:00:00+00:00,13.025,1075.025,1062.375,51.45,0.0,680.0,517.6,0.075,-1062.0,1010.925,-680.0,517.525,-213.55000000000007,None,SI,2026-04-23
2026-01-01 08:00:00+00:00,78.7,178.725,429.5,79.325,1.15,681.15,177.22500000000002,0.0,-100.02499999999999,350.175,-680.0,177.22500000000002,-252.62499999999994,None,SI,2026-04-23
2026-01-01 09:00:00+00:00,124.025,63.525000000000006,378.225,126.72500000000001,0.1,597.45,180.85,7.55,60.5,251.5,-597.35,173.29999999999998,-112.05000000000004,None,SI,2026-04-23
2026-01-01 10:00:00+00:00,573.775,1.05,352.65,43.4,0.975,680.975,73.225,316.625,572.725,309.25,-680.0,-243.4,-41.42499999999998,None,SI,2026-04-23
2026-01-01 11:00:00+00:00,96.675,125.425,376.4,42.725,0.825,634.875,310.25,0.4,-28.75,333.67499999999995,-634.05,309.85,-19.274999999999977,None,SI,2026-04-23
2026-01-01 12:00:00+00:00,116.0,306.0,450.025,52.95,0.0,680.0,458.375,25.45,-190.0,397.075,-680.0,432.925,-40.0,None,SI,2026-04-23
2026-01-01 13:00:00+00:00,303.15,819.5,1261.7749999999999,44.675,0.0,680.0,0.225,145.475,-516.35,1217.1,-680.0,-145.25,-124.50000000000011,None,SI,2026-04-23
2026-01-01 14:00:00+00:00,406.25,876.75,1375.925,47.15,15.95,705.0,56.125,5.15,-470.5,1328.7749999999999,-689.05,50.975,220.1999999999999,None,SI,2026-04-23
2026-01-01 15:00:00+00:00,1085.35,963.6750000000001,434.1,49.3,0.0,689.0,1535.5,874.9250000000001,121.67499999999984,384.8,-689.0,660.5749999999999,478.0499999999998,None,SI,2026-04-23
2026-01-01 16:00:00+00:00,7.575,254.525,510.075,52.075,3.925,703.45,1195.975,4.0,-246.95000000000002,458.0,-699.5250000000001,1191.975,703.4999999999998,None,SI,2026-04-23
2026-01-01 17:00:00+00:00,12.075,1543.875,441.675,56.475,5.324999999999999,718.2,2522.825,2.075,-1531.8,385.2,-712.875,2520.75,661.2750000000001,None,SI,2026-04-23
2026-01-01 18:00:00+00:00,0.2,892.875,385.475,52.425,4.8500000000000005,710.75,1617.3,10.15,-892.675,333.05,-705.9,1607.1499999999999,341.6249999999998,None,SI,2026-04-23
2026-01-01 19:00:00+00:00,1042.425,1873.2,703.425,50.75,1.425,718.525,2101.6000000000004,1019.2249999999999,-830.7750000000001,652.675,-717.1,1082.3750000000005,187.1750000000003,None,SI,2026-04-23
2026-01-01 20:00:00+00:00,4189.65,4.65,937.975,48.45,0.0,692.65,84.575,4446.15,4185.0,889.525,-692.65,-4361.575,20.300000000000182,None,SI,2026-04-23
2026-01-01 21:00:00+00:00,1.55,2785.7,771.775,49.25,0.475,668.425,2666.325,34.25,-2784.1499999999996,722.525,-667.9499999999999,2632.075,-97.49999999999955,None,SI,2026-04-23
2026-01-01 22:00:00+00:00,21.250000000000004,1875.325,858.825,50.4,4.725,532.875,1735.775,327.92499999999995,-1854.075,808.4250000000001,-528.15,1407.8500000000001,-165.95000000000005,None,SI,2026-04-23
2026-01-01 23:00:00+00:00,33.325,511.475,758.175,48.825,0.0,735.0,419.875,0.0,-478.15000000000003,709.3499999999999,-735.0,419.875,-83.92500000000013,None,SI,2026-04-23
2026-01-02 00:00:00+00:00,6.175000000000001,397.325,649.0,48.2,0.0,735.0,471.75,0.0,-391.15,600.8,-735.0,471.75,-53.60000000000002,None,SI,2026-04-23
2026-01-02 01:00:00+00:00,17.8,261.1,532.275,53.5,0.0,735.0,448.95,2.45,-243.3,478.775,-735.0,446.5,-53.025000000000034,None,SI,2026-04-23
2026-01-02 02:00:00+00:00,3.375,186.8,507.475,48.175,0.0,782.0,467.25,0.0,-183.425,459.3,-782.0,467.25,-38.875,None,SI,2026-04-23
2026-01-02 03:00:00+00:00,0.175,208.825,512.875,49.05,0.0,782.0,451.85,0.0,-208.64999999999998,463.825,-782.0,451.85,-74.97500000000002,None,SI,2026-04-23
2026-01-02 04:00:00+00:00,0.35,223.375,590.975,50.125,0.0,782.0,499.2,10.4,-223.025,540.85,-782.0,488.8,24.625000000000057,None,SI,2026-04-23
2026-01-02 05:00:00+00:00,0.44999999999999996,347.975,598.75,62.675,0.0,782.0,563.175,0.15,-347.52500000000003,536.075,-782.0,563.025,-30.425000000000068,None,SI,2026-04-23
2026-01-02 06:00:00+00:00,125.65,487.825,704.375,83.85,0.0,692.0,452.75,100.875,-362.17499999999995,620.525,-692.0,351.875,-81.77499999999998,None,SI,2026-04-23
2026-01-02 07:00:00+00:00,299.975,256.8,621.45,93.125,0.0,692.0,288.8,151.075,43.17500000000001,528.325,-692.0,137.72500000000002,17.225000000000023,None,SI,2026-04-23
2026-01-02 08:00:00+00:00,147.625,177.05,634.8,128.2,18.725,605.75,68.7,45.1,-29.42500000000001,506.59999999999997,-587.025,23.6,-86.25000000000003,None,SI,2026-04-23
2026-01-02 09:00:00+00:00,184.825,562.1,556.55,264.15,306.9,153.775,162.725,360.45,-377.27500000000003,292.4,153.12499999999997,-197.725,-129.47500000000008,None,SI,2026-04-23
2026-01-02 10:00:00+00:00,156.55,560.575,559.275,189.4,243.75,259.7,257.225,375.65,-404.02500000000003,369.875,-15.949999999999989,-118.42499999999995,-168.52499999999998,None,SI,2026-04-23
2026-01-02 11:00:00+00:00,0.025,726.075,672.05,278.54999999999995,274.725,357.625,477.45,294.225,-726.0500000000001,393.5,-82.89999999999998,183.22499999999997,-232.22500000000008,None,SI,2026-04-23
2026-01-02 12:00:00+00:00,90.575,377.625,740.275,439.65,160.85,606.0,245.75,54.525,-287.05,300.625,-445.15,191.225,-240.35,None,SI,2026-04-23
2026-01-02 13:00:00+00:00,0.0,891.7,736.15,96.35,217.2,608.55,495.25,70.625,-891.7,639.8,-391.34999999999997,424.625,-218.625,None,SI,2026-04-23
2026-01-02 14:00:00+00:00,0.30000000000000004,767.825,788.8,92.25,66.35,791.4,894.25,38.5,-767.5250000000001,696.55,-725.05,855.75,59.72499999999991,None,SI,2026-04-23
2026-01-02 15:00:00+00:00,60.575,482.15,980.175,197.0,23.525,785.55,925.775,9.625,-421.575,783.175,-762.025,916.15,515.7249999999999,None,SI,2026-04-23
2026-01-02 16:00:00+00:00,138.525,392.5,1023.625,147.8,1.5,854.0,939.0,63.775,-253.975,875.825,-852.5,875.225,644.575,None,SI,2026-04-23
2026-01-02 17:00:00+00:00,717.55,348.225,998.9,192.125,127.475,848.925,869.025,663.825,369.32499999999993,806.775,-721.4499999999999,205.19999999999993,659.8499999999999,None,SI,2026-04-23
2026-01-02 18:00:00+00:00,123.25,438.475,1004.125,95.275,120.925,850.6,861.525,207.95,-315.225,908.85,-729.6750000000001,653.575,517.525,None,SI,2026-04-23
2026-01-02 19:00:00+00:00,156.275,620.275,991.275,135.325,258.2,862.35,803.875,299.875,-464.0,855.95,-604.1500000000001,504.0,291.79999999999995,None,SI,2026-04-23
