,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Storage,Nuclear,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,17.818440050219714,0.054637476459510365,2.751741996233522,7.716301789077214,9.125286409290647,3.741011456371626,0.0,0.0,6.022540018832393,0.0,0.0,0.24504080351537982,ES,2026-04-23
2026-01-01 01:00:00+00:00,0.0,81.70367588583547,0.3708845100291596,12.119196783599895,34.110466554740654,35.57218785897322,15.755319430944597,0.0,0.0,25.081974021383758,0.0,0.0,1.0362949544932403,ES,2026-04-23
2026-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-01 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-01 16:00:00+00:00,6.745282536435695,499.9053142957112,2.869703535237993,45.2643959681869,118.10161353268111,226.12968011950102,104.22644901694277,0.0,0.0,91.87488998640809,0.0,0.0,4.082671008895289,ES,2026-04-23
2026-01-01 17:00:00+00:00,0.16809985038191982,857.8375507632771,4.010382144825802,73.79583431766281,210.6771410572261,442.36676341219214,376.6157076485212,0.0,0.0,162.50452679063596,0.0,0.0,6.723994015276793,ES,2026-04-23
2026-01-01 18:00:00+00:00,0.0,895.2909406742857,6.142226541398776,74.66490583724352,233.94512450879662,447.0066787768374,485.2113278643378,0.0,0.0,170.7784667570516,0.0,0.0,6.535329040048299,ES,2026-04-23
2026-01-01 19:00:00+00:00,0.02527674335560884,949.9252920471356,6.319185838902208,76.18410447380502,259.6932612355252,435.6193949905627,551.5638167627404,0.0,0.0,191.52188440544813,0.0,0.0,6.647783502525124,ES,2026-04-23
2026-01-01 20:00:00+00:00,0.0,922.5126931584281,6.130956038216951,74.79766366624679,320.13400049153637,407.26714770667564,470.0481375380172,0.0,0.0,187.70535006605016,0.0,0.0,6.229051334828422,ES,2026-04-23
2026-01-01 21:00:00+00:00,0.0,931.4205489016595,5.833790751382995,73.50576346742575,306.0133557119072,392.303809549385,417.9228395724797,0.0,0.0,177.99267952091947,0.0,0.0,6.0572125248402156,ES,2026-04-23
2026-01-01 22:00:00+00:00,0.0,743.9894102582953,4.827338504141547,57.34878142920159,225.20499589521148,242.81512675831982,162.7006169435867,0.0,0.0,133.9876075209528,0.0,0.0,5.001122690290643,ES,2026-04-23
2026-01-01 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-01-02 01:00:00+00:00,0.0,0.0,20.21942496376717,7.400142674580942,10.923262514251649,86.48426835860016,0.0,1602.0428013494939,0.0,41.25841475861536,1.7543809665327967,9.642304414157694,0.0,ES,2026-04-23
2026-01-02 02:00:00+00:00,0.0,0.0,20.140542685607603,9.294153388876781,9.283134482193738,83.87970279194114,0.0,1679.4983920777854,0.0,53.586625475468544,2.3639339955743974,12.503515102552454,0.0,ES,2026-04-23
