,Fossil Brown coal/Lignite,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other renewable,Solar,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,749.59,57.04,354.9,0.0,0.0,0.0,1161.53,0.44,0.0,1037.72,1161.97,1037.72,124.25,None,BA,2026-04-23
2026-01-01 01:00:00+00:00,750.72,24.17,333.6,0.0,0.0,0.0,1108.49,0.44,0.0,955.17,1108.93,955.17,153.7600000000001,None,BA,2026-04-23
2026-01-01 02:00:00+00:00,756.72,24.01,316.94,0.0,0.0,0.0,1097.67,0.44,0.0,930.8,1098.1100000000001,930.8,167.31000000000017,None,BA,2026-04-23
2026-01-01 03:00:00+00:00,760.18,24.0,313.77,0.0,0.0,0.0,1097.9499999999998,0.44,0.0,917.47,1098.3899999999999,917.47,180.91999999999985,None,BA,2026-04-23
2026-01-01 04:00:00+00:00,756.33,23.57,327.0,0.0,0.0,0.0,1106.9,0.44,0.0,974.23,1107.3400000000001,974.23,133.11000000000013,None,BA,2026-04-23
2026-01-01 05:00:00+00:00,752.83,25.16,336.77,0.0,0.0,0.0,1114.76,0.44,0.0,1014.22,1115.2,1014.22,100.98000000000002,None,BA,2026-04-23
2026-01-01 06:00:00+00:00,754.7,26.1,316.41,0.0,1.98,0.0,1099.19,0.44,0.0,1138.11,1099.63,1138.11,-38.47999999999979,None,BA,2026-04-23
2026-01-01 07:00:00+00:00,749.89,55.02,310.29,0.0,22.46,0.0,1137.66,0.44,0.0,1326.0,1138.1000000000001,1326.0,-187.89999999999986,None,BA,2026-04-23
2026-01-01 08:00:00+00:00,747.95,63.13,253.56,0.0,44.13,0.0,1108.7700000000002,0.44,0.0,1351.15,1109.2100000000003,1351.15,-241.93999999999983,None,BA,2026-04-23
2026-01-01 09:00:00+00:00,753.94,80.9,210.73,0.0,49.2,0.0,1094.77,0.44,0.0,1223.41,1095.21,1223.41,-128.20000000000005,None,BA,2026-04-23
2026-01-01 10:00:00+00:00,754.62,69.65,222.15,0.0,44.31,4.98,1095.71,0.44,0.0,1115.81,1096.15,1115.81,-19.659999999999854,None,BA,2026-04-23
2026-01-01 11:00:00+00:00,760.55,79.12,239.11,0.0,48.62,6.23,1133.6299999999999,0.44,0.0,1109.48,1134.07,1109.48,24.589999999999918,None,BA,2026-04-23
2026-01-01 12:00:00+00:00,757.09,54.87,251.39,0.0,39.13,0.0,1102.48,0.44,0.0,1087.88,1102.92,1087.88,15.039999999999964,None,BA,2026-04-23
2026-01-01 13:00:00+00:00,747.11,70.71,315.68,0.0,24.6,0.0,1158.1,0.44,0.0,1114.21,1158.54,1114.21,44.32999999999993,None,BA,2026-04-23
2026-01-01 14:00:00+00:00,752.32,69.52,500.26,0.0,7.34,0.0,1329.4399999999998,0.44,0.0,1206.65,1329.8799999999999,1206.65,123.22999999999979,None,BA,2026-04-23
2026-01-01 15:00:00+00:00,754.96,68.49,615.22,0.0,0.12,14.62,1453.4099999999999,0.44,0.0,1370.85,1453.85,1370.85,83.0,None,BA,2026-04-23
2026-01-01 16:00:00+00:00,747.74,70.99,680.74,0.0,0.0,13.76,1513.23,0.44,0.0,1433.67,1513.67,1433.67,80.0,None,BA,2026-04-23
2026-01-01 17:00:00+00:00,749.05,71.12,671.23,0.0,0.0,22.43,1513.8300000000002,0.44,0.0,1420.87,1514.2700000000002,1420.87,93.40000000000032,None,BA,2026-04-23
2026-01-01 18:00:00+00:00,769.45,69.82,630.45,0.0,0.0,24.15,1493.8700000000001,0.44,0.0,1394.04,1494.3100000000002,1394.04,100.27000000000021,None,BA,2026-04-23
2026-01-01 19:00:00+00:00,769.66,82.94,579.6,0.0,0.0,30.74,1462.9399999999998,0.44,0.0,1314.11,1463.3799999999999,1314.11,149.26999999999998,None,BA,2026-04-23
2026-01-01 20:00:00+00:00,758.23,76.88,509.58,0.0,0.0,53.98,1398.67,0.44,0.0,1237.5,1399.1100000000001,1237.5,161.61000000000013,None,BA,2026-04-23
2026-01-01 21:00:00+00:00,751.44,68.08,430.4,0.0,0.0,59.89,1309.8100000000002,0.44,0.0,1212.78,1310.2500000000002,1212.78,97.47000000000025,None,BA,2026-04-23
2026-01-01 22:00:00+00:00,722.0,52.69,316.42,0.0,0.0,62.54,1153.65,0.44,0.0,1012.42,1154.0900000000001,1012.42,141.6700000000002,None,BA,2026-04-23
2026-01-01 23:00:00+00:00,697.18,58.19,276.33,0.0,0.0,64.96,1096.6599999999999,0.44,0.0,847.34,1097.1,847.34,249.75999999999988,None,BA,2026-04-23
2026-01-02 00:00:00+00:00,735.37,44.32,153.77,0.0,0.0,47.55,981.01,0.44,0.0,765.75,981.45,765.75,215.70000000000005,None,BA,2026-04-23
2026-01-02 01:00:00+00:00,742.96,23.97,124.92,0.0,0.0,62.76,954.61,0.44,0.0,745.41,955.0500000000001,745.41,209.6400000000001,None,BA,2026-04-23
2026-01-02 02:00:00+00:00,730.62,23.97,106.69,0.0,0.0,68.23,929.51,0.44,0.0,723.99,929.95,723.99,205.96000000000004,None,BA,2026-04-23
2026-01-02 03:00:00+00:00,732.67,23.99,107.0,0.0,0.0,72.76,936.42,0.44,0.0,754.72,936.86,754.72,182.14,None,BA,2026-04-23
2026-01-02 04:00:00+00:00,736.94,26.5,202.73,0.0,0.0,83.08,1049.25,0.44,0.0,833.55,1049.69,833.55,216.1400000000001,None,BA,2026-04-23
2026-01-02 05:00:00+00:00,738.26,25.02,289.88,0.0,0.0,86.56,1139.7199999999998,0.44,0.0,985.98,1140.1599999999999,985.98,154.17999999999984,None,BA,2026-04-23
2026-01-02 06:00:00+00:00,738.94,33.69,378.63,0.0,0.0,91.93,1243.1900000000003,0.44,0.0,1152.17,1243.6300000000003,1152.17,91.46000000000026,None,BA,2026-04-23
2026-01-02 07:00:00+00:00,735.28,33.55,541.8,0.0,0.61,93.19,1404.4299999999998,0.44,0.0,1426.29,1404.87,1426.29,-21.420000000000073,None,BA,2026-04-23
2026-01-02 08:00:00+00:00,741.43,52.9,609.71,0.0,2.08,92.44,1498.56,0.44,0.0,1571.62,1499.0,1571.62,-72.61999999999989,None,BA,2026-04-23
2026-01-02 09:00:00+00:00,742.96,58.49,623.49,0.0,5.58,93.21,1523.73,0.44,0.0,1624.07,1524.17,1624.07,-99.89999999999986,None,BA,2026-04-23
2026-01-02 10:00:00+00:00,745.78,59.69,585.05,0.0,16.22,83.7,1490.44,0.44,0.0,1584.1,1490.88,1584.1,-93.2199999999998,None,BA,2026-04-23
2026-01-02 11:00:00+00:00,747.95,64.02,542.23,0.0,13.72,77.74,1445.66,0.44,0.0,1503.24,1446.1000000000001,1503.24,-57.13999999999987,None,BA,2026-04-23
2026-01-02 12:00:00+00:00,755.38,92.54,517.73,0.0,6.38,82.81,1454.8400000000001,0.44,0.0,1498.57,1455.2800000000002,1498.57,-43.289999999999736,None,BA,2026-04-23
2026-01-02 13:00:00+00:00,756.58,96.57,528.75,0.0,3.46,94.27,1479.63,0.44,0.0,1473.96,1480.0700000000002,1473.96,6.110000000000127,None,BA,2026-04-23
2026-01-02 14:00:00+00:00,758.38,96.12,533.31,0.0,1.83,72.45,1462.09,0.44,0.0,1400.41,1462.53,1400.41,62.11999999999989,None,BA,2026-04-23
2026-01-02 15:00:00+00:00,753.76,97.72,616.47,0.0,0.0,61.87,1529.82,0.44,0.0,1476.53,1530.26,1476.53,53.73000000000002,None,BA,2026-04-23
2026-01-02 16:00:00+00:00,757.56,81.08,671.48,0.0,0.0,57.96,1568.08,0.44,0.0,1525.77,1568.52,1525.77,42.75,None,BA,2026-04-23
2026-01-02 17:00:00+00:00,708.46,74.02,638.61,0.0,0.0,66.77,1487.8600000000001,0.44,0.0,1450.98,1488.3000000000002,1450.98,37.320000000000164,None,BA,2026-04-23
2026-01-02 18:00:00+00:00,753.08,69.32,633.4,0.0,0.0,66.41,1522.2100000000003,0.44,0.0,1473.26,1522.6500000000003,1473.26,49.39000000000033,None,BA,2026-04-23
2026-01-02 19:00:00+00:00,744.15,62.36,608.3,0.0,0.0,61.56,1476.37,0.44,0.0,1407.32,1476.81,1407.32,69.49000000000001,None,BA,2026-04-23
