,Biomass,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,77.77,439.575,0.0,6.7025,2069.595,1091.359965,0.0,252.305,2135.775,1814.024523,7887.106988,0.0,6.6875,8797.1125,7887.106988,8803.8,-916.6930119999997,None,BE,2026-04-23
2026-01-01 01:00:00+00:00,77.9525,425.7925,0.0,6.695,2068.965,1078.738444,0.0,257.6075,2150.09,1836.65539,7902.496334,0.0,28.58,8465.557499999999,7902.496334,8494.137499999999,-591.6411659999985,None,BE,2026-04-23
2026-01-01 02:00:00+00:00,77.4775,405.805,0.0,6.695,2067.9475,1043.939033,0.0,256.0975,2155.345,1884.271687,7897.578219999999,0.0,6.619999999999997,8241.995,7897.578219999999,8248.615000000002,-351.0367800000022,None,BE,2026-04-23
2026-01-01 03:00:00+00:00,77.25,388.5525,0.0,6.705,2067.6225,1052.847095,0.0,252.4225,2151.7675,2000.693277,7997.860372000001,0.0,51.4825,8173.915,7997.860372000001,8225.3975,-227.53712799999812,None,BE,2026-04-23
2026-01-01 04:00:00+00:00,79.9375,384.545,0.0,10.285,2068.7725,1090.726144,0.0,240.6725,2110.8825,2291.259144,8277.080288000001,0.0,247.165,8321.54,8277.080288000001,8568.705000000002,-291.6247120000007,None,BE,2026-04-23
2026-01-01 05:00:00+00:00,81.715,385.1825,0.0,7.835,2067.575,1122.714368,0.0,236.35,2095.825,2385.46823,8382.665098,0.0,245.73000000000002,8582.625,8382.665098,8828.355,-445.6899020000001,None,BE,2026-04-23
2026-01-01 06:00:00+00:00,81.3775,401.735,0.0,6.08,2066.965,1159.655826,0.0,239.6,2107.3,2538.112255,8600.825581000001,0.0,56.442499999999995,8620.075,8600.825581000001,8676.5175,-75.69191899999896,None,BE,2026-04-23
2026-01-01 07:00:00+00:00,84.315,382.595,0.0,1.645,2066.325,1176.117427,0.0,231.1975,2092.84,2538.10097,8573.135897,0.0,3.92,8834.6875,8573.135897,8838.6075,-265.47160299999996,None,BE,2026-04-23
2026-01-01 08:00:00+00:00,81.36,382.89,0.0,0.6,2066.585,1189.863111,73.248,239.0425,2132.5125,2618.195725,8784.296836,500.01000000000005,0.0,9133.0325,9284.306836,9133.0325,151.2743360000004,None,BE,2026-04-23
2026-01-01 09:00:00+00:00,79.3275,382.6075,0.0,0.61,2067.5325,1188.065703,331.87375,245.8925,2160.0875,2762.169931,9218.166884,0.0,27.4,9599.0675,9218.166884,9626.467499999999,-408.3006159999986,None,BE,2026-04-23
2026-01-01 10:00:00+00:00,81.495,382.41,0.0,0.61,2068.37,1189.586539,682.3835,241.5525,2161.8675,2764.29141,9572.566449,0.0,241.26250000000002,9870.015,9572.566449,10111.2775,-538.7110510000002,None,BE,2026-04-23
2026-01-01 11:00:00+00:00,78.26,393.0125,0.0,0.61,2068.4725,1182.595086,789.52475,241.2725,2159.1525,2800.552604,9713.45244,0.0,556.8225,10084.095000000001,9713.45244,10640.917500000001,-927.4650600000023,None,BE,2026-04-23
2026-01-01 12:00:00+00:00,77.8725,398.5525,0.0,0.61,2067.3175,1158.707393,313.73375,251.9825,2152.2525,2759.141459,9180.170102,0.0,502.7825,9924.895,9180.170102,10427.6775,-1247.5073979999997,None,BE,2026-04-23
2026-01-01 13:00:00+00:00,75.025,426.305,0.0,4.665,2066.64,1210.165231,212.2675,252.125,2120.8475,2619.488054,8987.528284999999,0.0,485.86750000000006,9872.5375,8987.528284999999,10358.405,-1370.8767150000022,None,BE,2026-04-23
2026-01-01 14:00:00+00:00,75.9125,428.7625,0.0,9.2325,2066.6225,1236.267605,84.05675,251.635,2098.3075,2397.209978,8648.006833,0.0,572.0425,9913.525,8648.006833,10485.5675,-1837.5606669999997,None,BE,2026-04-23
2026-01-01 15:00:00+00:00,76.37,498.835,0.0,9.2675,2067.4725,1275.41827,9.2905,250.6525,2134.575,2285.832466,8607.713736,0.0,288.84250000000003,9913.9225,8607.713736,10202.765000000001,-1595.0512640000015,None,BE,2026-04-23
2026-01-01 16:00:00+00:00,75.265,533.95,0.0,8.8825,2070.04,1189.869561,0.0,251.2975,2150.5325,2319.98695,8599.824011,659.5699999999999,0.0,10059.54,9259.394011,10059.54,-800.1459890000006,None,BE,2026-04-23
2026-01-01 17:00:00+00:00,77.225,557.0775,0.0,8.46,2070.015,1117.05261,0.0,254.7875,2152.205,2340.333675,8577.156285,656.1225,0.0,10119.532500000001,9233.278784999999,10119.532500000001,-886.2537150000026,None,BE,2026-04-23
2026-01-01 18:00:00+00:00,79.6925,551.8775,0.0,8.38,2069.8575,1136.694184,0.0,252.2025,2155.565,2338.583754,8592.852938,652.01,0.0,9979.985,9244.862938,9979.985,-735.1220620000004,None,BE,2026-04-23
2026-01-01 19:00:00+00:00,76.285,507.035,0.0,8.2175,2069.74,1195.802542,0.0,251.165,2157.9675,2376.759627,8642.972168999999,630.7425,0.0,9710.68,9273.714668999999,9710.68,-436.96533100000124,None,BE,2026-04-23
2026-01-01 20:00:00+00:00,75.2825,501.4275,0.0,6.745,2069.7225,1130.57043,0.0,251.145,2156.92,2489.431716,8681.244646,102.225,0.0,9432.4275,8783.469646,9432.4275,-648.9578540000002,None,BE,2026-04-23
