,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,681.400024,349.08,1964.92,0.095261,8.22827,3003.723555,216.85,0.0,9014.424804,3220.573555,9014.424804,-5793.851249,None,CH,2026-04-23
2026-01-01 01:00:00+00:00,681.5,358.0,1964.92,0.040243,2.791026,3007.251269,214.95,0.0,7862.649414,3222.2012689999997,7862.649414,-4640.448145,None,CH,2026-04-23
2026-01-01 02:00:00+00:00,682.200012,348.9,1964.85,0.0,0.953883,2996.903895,219.45,0.0,7952.032226,3216.3538949999997,7952.032226,-4735.678331000001,None,CH,2026-04-23
2026-01-01 03:00:00+00:00,683.599975,315.35,1964.25,0.0,1.180615,2964.38059,220.8,0.0,8343.797851,3185.1805900000004,8343.797851,-5158.617260999999,None,CH,2026-04-23
2026-01-01 04:00:00+00:00,685.599975,379.62,1962.85,0.0,1.819647,3029.8896219999997,216.68,0.0,8301.338867,3246.5696219999995,8301.338867,-5054.769245000001,None,CH,2026-04-23
2026-01-01 05:00:00+00:00,688.5,265.35,1962.58,0.0,1.693879,2918.1238789999998,199.8,0.0,8304.816406,3117.923879,8304.816406,-5186.892527,None,CH,2026-04-23
2026-01-01 06:00:00+00:00,692.099975,297.68,1962.9,0.0,1.994592,2954.674567,213.5,0.0,8652.700195,3168.174567,8652.700195,-5484.525627999999,None,CH,2026-04-23
2026-01-01 07:00:00+00:00,696.700012,350.58,1963.65,25.154195,7.05963,3043.143837,215.75,0.0,8104.954589,3258.893837,8104.954589,-4846.060751999999,None,CH,2026-04-23
2026-01-01 08:00:00+00:00,702.200012,375.28,1964.05,222.720794,13.131772,3277.382578,201.3,0.0,8400.686523,3478.6825780000004,8400.686523,-4922.003945,None,CH,2026-04-23
2026-01-01 09:00:00+00:00,708.599975,265.58,1963.78,544.712158,32.626838,3515.298971,66.78,0.0,8395.696289,3582.0789710000004,8395.696289,-4813.617317999999,None,CH,2026-04-23
2026-01-01 10:00:00+00:00,716.200012,145.6,1964.62,825.289916,36.139442,3687.8493700000004,32.18,0.0,7482.493164,3720.02937,7482.493164,-3762.4637940000002,None,CH,2026-04-23
2026-01-01 11:00:00+00:00,724.799987,134.25,1963.48,931.8031,38.739868,3793.072955,30.22,0.0,7828.388671,3823.292955,7828.388671,-4005.095716,None,CH,2026-04-23
2026-01-01 12:00:00+00:00,734.599975,175.32,1958.45,833.89624,41.275478,3743.541693,28.78,0.0,8266.338867,3772.3216930000003,8266.338867,-4494.0171740000005,None,CH,2026-04-23
2026-01-01 13:00:00+00:00,745.400024,166.8,1961.85,597.862609,49.172382,3521.085015,30.58,0.0,8045.893066,3551.665015,8045.893066,-4494.228051,None,CH,2026-04-23
2026-01-01 14:00:00+00:00,757.200012,277.92,1961.42,289.87265,39.706325,3326.1189870000007,33.18,0.0,8045.449707,3359.2989870000006,8045.449707,-4686.15072,None,CH,2026-04-23
2026-01-01 15:00:00+00:00,769.799987,367.05,1960.15,53.783111,43.86671,3194.649808,46.52,0.0,8092.728515,3241.169808,8092.728515,-4851.558707,None,CH,2026-04-23
2026-01-01 16:00:00+00:00,783.200012,518.3,1959.3,2.452643,52.786888,3316.039543,240.52,0.0,8412.382812,3556.559543,8412.382812,-4855.823269,None,CH,2026-04-23
2026-01-01 17:00:00+00:00,797.099975,487.32,1959.45,2.298214,59.759941,3305.92813,286.32,0.0,8455.132812,3592.24813,8455.132812,-4862.884682,None,CH,2026-04-23
2026-01-01 18:00:00+00:00,811.599975,486.92,1960.22,1.548711,68.356216,3328.644902,179.35,0.0,9021.063476,3507.994902,9021.063476,-5513.068573999999,None,CH,2026-04-23
2026-01-01 19:00:00+00:00,826.5,423.6,1960.05,0.984859,57.047191,3268.18205,185.28,0.0,8364.977539,3453.46205,8364.977539,-4911.515488999999,None,CH,2026-04-23
2026-01-01 20:00:00+00:00,841.599975,288.2,1960.02,0.737568,63.337284,3153.894827,107.05,0.0,8239.276367,3260.9448270000003,8239.276367,-4978.33154,None,CH,2026-04-23
2026-01-01 21:00:00+00:00,857.0,291.3,1960.25,0.504951,66.150749,3175.2057,76.32,0.0,8017.606445,3251.5257,8017.606445,-4766.080745,None,CH,2026-04-23
2026-01-01 22:00:00+00:00,872.400024,346.82,1961.18,0.360416,61.84671,3242.60715,81.35,0.0,8776.549804,3323.9571499999997,8776.549804,-5452.592654,None,CH,2026-04-23
2026-01-01 23:00:00+00:00,677.900024,293.5,1960.6,0.214542,60.26456,2992.479126,21.08,0.0,8851.041015,3013.559126,8851.041015,-5837.481889000001,None,CH,2026-04-23
2026-01-02 00:00:00+00:00,674.299987,263.65,1961.68,0.141091,54.716793,2954.4878710000003,19.15,0.0,8820.33496,2973.6378710000004,8820.33496,-5846.697088999999,None,CH,2026-04-23
2026-01-02 01:00:00+00:00,671.200012,225.22,1961.75,0.054311,50.553924,2908.7782469999997,24.12,0.0,7945.146972,2932.8982469999996,7945.146972,-5012.2487249999995,None,CH,2026-04-23
2026-01-02 02:00:00+00:00,668.599975,125.62,1961.38,0.016651,56.326965,2811.943591,26.18,0.0,8821.784179,2838.123591,8821.784179,-5983.660588000001,None,CH,2026-04-23
2026-01-02 03:00:00+00:00,666.599975,142.35,1961.12,0.0,54.030441,2824.1004159999998,17.4,0.0,8898.774414,2841.500416,8898.774414,-6057.273998,None,CH,2026-04-23
2026-01-02 04:00:00+00:00,665.099975,162.82,1960.18,0.0,52.606353,2840.706328,25.1,0.0,8030.497558,2865.806328,8030.497558,-5164.69123,None,CH,2026-04-23
2026-01-02 05:00:00+00:00,664.400024,293.32,1959.12,0.0,52.556392,2969.396416,58.78,0.0,8334.208007,3028.1764160000002,8334.208007,-5306.031590999999,None,CH,2026-04-23
2026-01-02 06:00:00+00:00,664.5,394.98,1958.12,0.0,48.765804,3066.365804,325.28,0.0,8558.660156,3391.6458039999998,8558.660156,-5167.014352,None,CH,2026-04-23
2026-01-02 07:00:00+00:00,665.400024,546.6,1958.7,18.455219,42.125595,3231.2808379999997,298.22,0.0,8244.659179,3529.500838,8244.659179,-4715.158341,None,CH,2026-04-23
2026-01-02 08:00:00+00:00,667.200012,567.38,1960.4,125.940841,42.731746,3363.652599,211.4,0.0,8902.538085,3575.052599,8902.538085,-5327.485486,None,CH,2026-04-23
2026-01-02 09:00:00+00:00,670.0,381.4,1961.95,288.418548,46.124927,3347.8934750000003,52.2,0.0,8783.905273,3400.093475,8783.905273,-5383.811798000001,None,CH,2026-04-23
2026-01-02 10:00:00+00:00,673.900024,363.08,1962.6,415.57962,38.426631,3453.5862749999997,47.22,0.0,8339.964843,3500.8062749999995,8339.964843,-4839.158568000001,None,CH,2026-04-23
2026-01-02 11:00:00+00:00,679.0,296.18,1961.05,512.471984,38.345298,3487.0472820000005,46.75,0.0,7838.875,3533.7972820000005,7838.875,-4305.077718,None,CH,2026-04-23
2026-01-02 12:00:00+00:00,685.200012,289.95,1960.6,427.325378,35.601715,3398.6771049999998,55.88,0.0,8429.012695,3454.557105,8429.012695,-4974.45559,None,CH,2026-04-23
2026-01-02 13:00:00+00:00,692.5,472.5,1961.12,236.665756,29.976716,3392.762472,53.2,0.0,7788.53125,3445.9624719999997,7788.53125,-4342.568778000001,None,CH,2026-04-23
2026-01-02 14:00:00+00:00,700.900024,418.98,1960.45,113.729583,23.438888,3217.498495,60.9,0.0,8163.205566,3278.398495,8163.205566,-4884.807070999999,None,CH,2026-04-23
2026-01-02 15:00:00+00:00,710.099975,570.02,1960.9,16.594253,20.230571,3277.8447990000004,408.7,0.0,8226.487304,3686.5447990000002,8226.487304,-4539.942505,None,CH,2026-04-23
2026-01-02 16:00:00+00:00,720.200012,606.92,1960.58,0.662455,20.660213,3309.02268,840.18,0.0,9069.037109,4149.20268,9069.037109,-4919.8344290000005,None,CH,2026-04-23
2026-01-02 17:00:00+00:00,731.0,615.65,1960.45,0.60372,24.049383,3331.7531030000005,872.65,0.0,8706.391601,4204.403103000001,8706.391601,-4501.988497999999,None,CH,2026-04-23
2026-01-02 18:00:00+00:00,742.299987,640.4,1960.18,0.262455,22.301908,3365.44435,881.2,0.0,8878.42871,4246.6443500000005,8878.42871,-4631.78436,None,CH,2026-04-23
2026-01-02 19:00:00+00:00,754.200012,505.08,1959.15,0.082686,20.495735,3239.008433,604.02,0.0,8278.887695,3843.028433,8278.887695,-4435.859262,None,CH,2026-04-23
2026-01-02 20:00:00+00:00,766.400024,458.88,1960.55,0.019179,21.086019,3206.9352219999996,353.22,0.0,7983.933593,3560.1552219999994,7983.933593,-4423.778371,None,CH,2026-04-23
2026-01-02 21:00:00+00:00,778.900024,295.05,1961.62,0.0,18.118785,3053.6888089999998,316.52,0.0,8510.557617,3370.2088089999997,8510.557617,-5140.348808000001,None,CH,2026-04-23
2026-01-02 22:00:00+00:00,791.700012,308.02,1961.85,0.0,12.156395,3073.726407,143.05,0.0,8776.065429,3216.7764070000003,8776.065429,-5559.289022,None,CH,2026-04-23
2026-01-02 23:00:00+00:00,662.0,237.28,1962.18,0.0,10.267202,2871.727202,25.68,0.0,8989.360351,2897.407202,8989.360351,-6091.953148999999,None,CH,2026-04-23
2026-01-03 00:00:00+00:00,660.900024,155.4,1963.05,0.0,10.190864,2789.540888,27.98,0.0,7337.293457,2817.520888,7337.293457,-4519.772569,None,CH,2026-04-23
2026-01-03 01:00:00+00:00,660.099975,122.92,1963.95,0.0,10.097182,2757.067157,26.12,0.0,8355.930664,2783.187157,8355.930664,-5572.743506999999,None,CH,2026-04-23
2026-01-03 02:00:00+00:00,659.700012,103.2,1963.18,0.0,9.594326,2735.6743380000003,24.92,0.0,8793.970703,2760.5943380000003,8793.970703,-6033.376365,None,CH,2026-04-23
2026-01-03 03:00:00+00:00,659.700012,191.0,1963.72,0.0,7.794568,2822.21458,15.78,0.0,7887.260742,2837.99458,7887.260742,-5049.266162,None,CH,2026-04-23
2026-01-03 04:00:00+00:00,660.200012,199.45,1962.8,0.0,7.49894,2829.948952,24.52,0.0,8197.940429,2854.468952,8197.940429,-5343.471477,None,CH,2026-04-23
2026-01-03 05:00:00+00:00,661.099975,321.2,1962.6,0.0,6.354416,2951.254391,28.42,0.0,7168.079589,2979.674391,7168.079589,-4188.405198,None,CH,2026-04-23
2026-01-03 06:00:00+00:00,662.5,332.02,1962.68,0.0,5.261164,2962.461164,34.52,0.0,7323.618652,2996.981164,7323.618652,-4326.637488,None,CH,2026-04-23
2026-01-03 07:00:00+00:00,664.400024,335.92,1963.1,3.32889,6.803623,2973.5525369999996,118.48,0.0,7686.784667,3092.0325369999996,7686.784667,-4594.752130000001,None,CH,2026-04-23
2026-01-03 08:00:00+00:00,666.900024,381.85,1963.0,39.159149,9.934199,3060.843372,160.25,0.0,8098.854492,3221.093372,8098.854492,-4877.761120000001,None,CH,2026-04-23
