,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,297.245,1676.9524999999999,0.0,311.70500000000004,114.3325,1.49,76.99,10.89,3530.8375,15.2475,254.20499999999998,0.0,28.51,152.5825,6470.9875,0.0,0.0,5976.9425,6470.9875,5976.9425,494.0450000000001,None,CZ,2026-04-23
2026-01-01 01:00:00+00:00,294.695,1655.2275,0.0,311.52750000000003,112.83,1.49,75.875,10.855,3530.94,15.2375,254.1275,0.0,28.645,137.985,6429.4349999999995,0.0,0.0,5900.6125,6429.4349999999995,5900.6125,528.8224999999993,None,CZ,2026-04-23
2026-01-01 02:00:00+00:00,295.02750000000003,1676.085,0.0,306.935,108.2625,1.49,76.5325,9.6475,3530.255,15.24,253.87,0.0,28.625,128.96,6430.929999999999,0.0,0.0,5748.952499999999,6430.929999999999,5748.952499999999,681.9775,None,CZ,2026-04-23
2026-01-01 03:00:00+00:00,293.855,1674.9425,0.0,312.4175,110.42,1.49,78.31,10.2125,3528.5975,14.559999999999999,254.865,0.0,28.715,137.2625,6445.6475,0.0,0.0,5749.85,6445.6475,5749.85,695.7974999999997,None,CZ,2026-04-23
2026-01-01 04:00:00+00:00,295.08500000000004,1583.105,0.0,323.5825,109.925,1.495,79.8125,10.155,3530.09,13.915000000000001,255.2425,0.0,28.7225,151.1925,6382.3225,0.0,0.0,5781.85,6382.3225,5781.85,600.4724999999999,None,CZ,2026-04-23
2026-01-01 05:00:00+00:00,294.765,1624.2375,0.0,335.01,106.61,1.5,81.0175,9.4725,3530.5825,12.255,257.7075,0.0,28.785,157.81,6439.7525,0.0,0.0,5814.08,6439.7525,5814.08,625.6724999999997,None,CZ,2026-04-23
2026-01-01 06:00:00+00:00,290.47749999999996,1554.09,0.0,339.125,108.2375,1.505,75.19,20.805,3531.1525,11.615,258.9225,19.6825,28.759999999999998,167.41750000000002,6406.98,0.0,93.735,5935.205,6406.98,6028.94,378.03999999999996,None,CZ,2026-04-23
2026-01-01 07:00:00+00:00,291.3125,1378.7150000000001,0.0,340.4275,108.5275,1.51,78.69749999999999,17.4875,3532.085,10.1225,261.43,42.1275,28.939999999999998,175.8175,6267.200000000001,0.0,642.5225,6073.2825,6267.200000000001,6715.805,-448.60499999999956,None,CZ,2026-04-23
2026-01-01 08:00:00+00:00,291.79999999999995,1387.0725,0.0,330.315,106.505,1.5075,79.03999999999999,18.305,3533.02,10.370000000000001,260.6325,163.8525,28.825,173.26,6384.505,0.0,1006.0975,6503.535,6384.505,7509.6325,-1125.1274999999996,None,CZ,2026-04-23
2026-01-01 09:00:00+00:00,293.3575,1425.6100000000001,0.0,332.5325,104.48,1.51,78.59,14.6525,3533.98,10.0,261.5325,369.04,25.9975,172.485,6623.767500000001,0.0,1083.5925,6984.9625,6623.767500000001,8068.554999999999,-1444.7874999999985,None,CZ,2026-04-23
