,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Oil shale,Fossil Peat,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,58.9,57.0,5.0,0.0,0.0,0.8,0.0,0.0,2.15,16.625,77.875,218.35000000000002,0.0,0.0,1065.85,218.35000000000002,1065.85,-847.4999999999999,[Energy storage] ZERO,EE,2026-04-23
2026-01-01 01:00:00+00:00,59.05,56.2,5.0,0.0,0.0,0.8,0.0,0.0,0.775,16.45,83.5,221.775,0.0,0.0,1100.225,221.775,1100.225,-878.4499999999999,[Energy storage] ZERO,EE,2026-04-23
2026-01-01 02:00:00+00:00,60.925,55.6,5.0,0.0,0.0,0.8,0.0,0.0,0.725,16.225,107.75,247.025,0.0,0.0,1075.65,247.025,1075.65,-828.6250000000001,[Energy storage] ZERO,EE,2026-04-23
2026-01-01 03:00:00+00:00,59.025,52.95,5.05,0.0,0.0,0.8,0.0,0.0,0.375,16.025,146.95,281.17499999999995,0.0,0.0,1077.9499999999998,281.17499999999995,1077.9499999999998,-796.7749999999999,[Energy storage] ZERO,EE,2026-04-23
2026-01-01 04:00:00+00:00,59.125,50.9,5.675,0.0,0.0,0.8,0.0,0.0,0.5,16.15,213.2,346.35,0.0,0.0,1079.5,346.35,1079.5,-733.15,[Energy storage] ZERO,EE,2026-04-23
2026-01-01 05:00:00+00:00,59.125,49.175,5.625,0.0,0.0,0.8,0.0,0.0,6.875,15.975,244.02499999999998,381.59999999999997,0.0,0.0,1036.8,381.59999999999997,1036.8,-655.2,[Energy storage] ZERO,EE,2026-04-23
2026-01-01 06:00:00+00:00,59.025,49.4,5.4,0.0,0.0,0.8,0.0,0.0,3.35,15.875,294.7,428.54999999999995,0.0,0.0,1067.475,428.54999999999995,1067.475,-638.925,[Energy storage] ZERO,EE,2026-04-23
2026-01-01 07:00:00+00:00,59.025,50.7,5.325,0.0,0.0,0.7,0.0,0.0,2.05,16.275,352.825,486.9,0.0,0.0,1141.975,486.9,1141.975,-655.0749999999999,[Energy storage] ZERO,EE,2026-04-23
2026-01-01 08:00:00+00:00,58.175,50.775,5.1,0.0,0.0,0.7,0.0,0.0,12.775,16.325,259.02500000000003,402.875,0.0,0.0,1170.6999999999998,402.875,1170.6999999999998,-767.8249999999998,[Energy storage] ZERO,EE,2026-04-23
2026-01-01 09:00:00+00:00,57.8,52.5,5.1,0.0,0.0,0.7,0.0,0.0,24.075,16.5,214.025,370.7,0.0,0.0,1134.025,370.7,1134.025,-763.325,[Energy storage] ZERO,EE,2026-04-23
2026-01-01 10:00:00+00:00,57.75,55.8,4.575,0.0,0.0,0.725,0.0,0.0,24.575,16.45,185.325,345.19999999999993,0.0,0.0,1139.0,345.19999999999993,1139.0,-793.8000000000001,[Energy storage] ZERO,EE,2026-04-23
2026-01-01 11:00:00+00:00,57.7,56.05,3.9,0.0,0.0,0.8,0.0,0.0,20.375,16.2,195.575,350.59999999999997,0.0,0.0,1152.2,350.59999999999997,1152.2,-801.6000000000001,[Energy storage] ZERO,EE,2026-04-23
2026-01-01 12:00:00+00:00,57.35,55.7,4.65,0.0,0.0,0.8,0.0,0.0,7.5,16.4,237.25,379.65,0.0,0.0,1180.75,379.65,1180.75,-801.1,[Energy storage] ZERO,EE,2026-04-23
2026-01-01 13:00:00+00:00,57.275,53.75,5.275,0.0,0.0,0.8,0.0,0.0,0.9,15.575,249.825,383.4,0.0,0.0,1215.225,383.4,1215.225,-831.8249999999999,[Energy storage] ZERO,EE,2026-04-23
