,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,409.0,0.0,0.0,7392.0,0.0,26.0,0.0,0.0,0.0,992.0,1600.0,0.0,7116.0,6.0,66.0,36.0,211.0,0.0,2659.0,20513.0,902.0,0.0,22935.0,21415.0,22935.0,-1520.0,None,ES,2026-04-23
2026-01-01 01:00:00+00:00,408.0,0.0,0.0,6456.0,0.0,28.0,0.0,0.0,0.0,965.0,1347.0,0.0,7116.0,7.0,66.0,36.0,210.0,0.0,3223.0,19862.0,0.0,135.0,21600.0,19862.0,21735.0,-1873.0,None,ES,2026-04-23
2026-01-01 02:00:00+00:00,393.0,0.0,0.0,6037.0,0.0,28.0,0.0,0.0,0.0,956.0,1466.0,0.0,7116.0,8.0,64.0,36.0,207.0,0.0,3319.0,19630.0,0.0,785.0,20404.0,19630.0,21189.0,-1559.0,None,ES,2026-04-23
2026-01-01 03:00:00+00:00,399.0,0.0,0.0,6032.0,0.0,25.0,0.0,0.0,0.0,953.0,1445.0,0.0,7112.0,4.0,64.0,36.0,211.0,0.0,3704.0,19985.0,0.0,699.0,19550.0,19985.0,20249.0,-264.0,None,ES,2026-04-23
2026-01-01 04:00:00+00:00,405.0,0.0,0.0,5784.0,0.0,24.0,0.0,0.0,0.0,945.0,1381.0,0.0,7112.0,5.0,64.0,36.0,213.0,0.0,3989.0,19958.0,0.0,750.0,19225.0,19958.0,19975.0,-17.0,None,ES,2026-04-23
2026-01-01 05:00:00+00:00,411.0,0.0,0.0,5607.0,0.0,24.0,0.0,0.0,0.0,954.0,1305.0,0.0,7112.0,5.0,64.0,31.0,213.0,0.0,3649.0,19375.0,0.0,1050.0,19426.0,19375.0,20476.0,-1101.0,None,ES,2026-04-23
2026-01-01 06:00:00+00:00,410.0,0.0,0.0,5798.0,0.0,24.0,0.0,0.0,0.0,958.0,1219.0,0.0,7112.0,7.0,63.0,28.0,214.0,0.0,3840.0,19673.0,0.0,1460.0,19893.0,19673.0,21353.0,-1680.0,None,ES,2026-04-23
2026-01-01 07:00:00+00:00,420.0,0.0,0.0,6360.0,0.0,24.0,0.0,0.0,0.0,957.0,1259.0,0.0,7115.0,7.0,63.0,152.0,210.0,0.0,3821.0,20388.0,0.0,1644.0,19976.0,20388.0,21620.0,-1232.0,None,ES,2026-04-23
2026-01-01 08:00:00+00:00,427.0,0.0,0.0,6183.0,0.0,22.0,0.0,0.0,0.0,929.0,1600.0,0.0,7116.0,7.0,62.0,1953.0,212.0,0.0,3843.0,22354.0,0.0,2620.0,20562.0,22354.0,23182.0,-828.0,None,ES,2026-04-23
2026-01-01 09:00:00+00:00,428.0,0.0,0.0,6125.0,0.0,22.0,0.0,0.0,0.0,913.0,1187.0,0.0,7116.0,8.0,67.0,4821.0,211.0,0.0,4270.0,25168.0,0.0,3544.0,21946.0,25168.0,25490.0,-322.0,None,ES,2026-04-23
