,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Run-of-river and poundage,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,1228.275,342.6775,73.6425,1.9,427.02,1670.65,4186.0,424.405,52.9,1.3,26.2575,1487.225,9922.2525,19.619275000000002,0.0,12217.5,9941.871775,12217.5,-2275.6282250000004,None,FI,2026-04-23
2026-01-01 01:00:00+00:00,1185.725,317.3525,57.31425,1.9,424.12,1577.35,4185.15,431.7025,52.9,1.3,23.7,1677.875,9936.38925,2.64725,0.0,12308.25,9939.0365,12308.25,-2369.2135,None,FI,2026-04-23
2026-01-01 02:00:00+00:00,1177.5,281.6025,34.0955,1.036455,419.82,1336.7,4186.275,434.585,52.30925,1.2544,23.42725,1895.0,9843.605355,0.0,22.5515,12381.0,9843.605355,12403.5515,-2559.946145,None,FI,2026-04-23
2026-01-01 03:00:00+00:00,1145.675,265.3825,6.03265,0.0,416.865,1117.575,4188.175,423.0475,51.6,1.2,23.1,2105.425,9744.07765,0.0,29.126675000000002,12457.25,9744.07765,12486.376675,-2742.2990250000003,None,FI,2026-04-23
2026-01-01 04:00:00+00:00,1161.35,208.32,6.68735,0.0,408.485,1119.775,4188.15,429.05,51.6,1.2,23.1,2172.475,9770.192350000001,38.931225,0.0,12435.0,9809.123575000001,12435.0,-2625.8764249999986,None,FI,2026-04-23
2026-01-01 05:00:00+00:00,1155.8,190.5375,6.842625,0.0,410.395,1175.675,4188.5,426.52,51.6,1.2,23.1,2330.175,9960.345125,15.799975,0.0,12524.75,9976.1451,12524.75,-2548.6049000000003,None,FI,2026-04-23
2026-01-01 06:00:00+00:00,1166.4,191.1525,5.1901,0.0,411.775,1183.5,4187.525,430.8625,51.6,1.2,23.1,2317.875,9970.180100000001,0.0,11.070249999999998,12773.25,9970.180100000001,12784.32025,-2814.1401499999993,None,FI,2026-04-23
2026-01-01 07:00:00+00:00,1160.375,190.75,4.7,0.0,418.305,1278.95,4188.174999999999,424.81,51.6,7.02685,23.1,2536.625,10284.416850000001,0.0,16.25425,12939.0,10284.416850000001,12955.25425,-2670.8373999999985,None,FI,2026-04-23
2026-01-01 08:00:00+00:00,1177.875,190.075,4.7,0.0,424.46500000000003,1351.75,4188.675,394.96250000000003,51.6,31.3695,24.7605,2501.675,10341.907500000001,13.785375,0.0,13073.0,10355.692875,13073.0,-2717.3071249999994,None,FI,2026-04-23
2026-01-01 09:00:00+00:00,1193.35,190.7225,4.7,0.0,432.78,1464.0,4189.2,389.3575,51.6,54.32775,28.9505,2619.275,10618.26325,0.2937500000000002,0.0,13225.5,10618.557,13225.5,-2606.9429999999993,None,FI,2026-04-23
2026-01-01 10:00:00+00:00,1199.275,191.0225,5.139125,0.0,420.425,1339.225,4187.924999999999,387.35249999999996,51.6,55.95325,21.7,2481.625,10341.242374999998,19.87615,0.0,13287.5,10361.118524999998,13287.5,-2926.381475000002,None,FI,2026-04-23
2026-01-01 11:00:00+00:00,1239.5,190.8975,6.191825,0.0,428.5925,1415.525,4188.15,395.2,51.6,31.78075,23.1175,2442.725,10413.280075,21.19485,0.0,13228.25,10434.474925,13228.25,-2793.7750749999996,None,FI,2026-04-23
2026-01-01 12:00:00+00:00,1260.875,190.95,5.315025,0.0,429.0175,1542.6,4187.7,404.1275,51.6,7.541525000000001,23.8,2543.375,10646.901549999999,2.01875,0.0,13239.0,10648.920299999998,13239.0,-2590.079700000002,None,FI,2026-04-23
2026-01-01 13:00:00+00:00,1246.05,185.535,6.73235,0.0,423.27,1463.3,4188.4,405.615,51.51825,1.3,23.603250000000003,2740.925,10736.24885,75.28705,0.0,13447.5,10811.5359,13447.5,-2635.9640999999992,None,FI,2026-04-23
2026-01-01 14:00:00+00:00,1202.475,150.325,7.1034749999999995,0.0,419.78,1689.55,4188.15,407.235,51.5,1.3,23.74575,2867.15,11008.314225,45.171525,0.0,13665.0,11053.48575,13665.0,-2611.51425,None,FI,2026-04-23
2026-01-01 15:00:00+00:00,1214.25,141.4625,5.4462,0.0,410.7375,1709.775,4187.775,416.455,51.5,1.3,32.03075,2927.2,11097.93195,0.0,5.5985,13761.5,11097.93195,13767.0985,-2669.16655,None,FI,2026-04-23
2026-01-01 16:00:00+00:00,1210.325,141.15,6.161725,0.0,387.1975,1690.8,4187.65,414.0425,51.5,1.3,27.93525,3007.675,11125.736975,0.0,1.5652499999999994,13874.75,11125.736975,13876.31525,-2750.578275,None,FI,2026-04-23
2026-01-01 17:00:00+00:00,1207.2,151.995,4.714875,0.0,372.2675,1644.275,4187.6,406.825,51.5,1.3,30.6145,3079.225,11137.516875,33.653850000000006,0.0,13837.5,11171.170725,13837.5,-2666.329275,None,FI,2026-04-23
2026-01-01 18:00:00+00:00,1176.025,161.08249999999998,5.432575,0.0,370.6875,1620.175,4186.675,405.265,51.5,1.3,32.0255,3234.85,11245.018075,2.7431750000000004,0.0,13661.0,11247.76125,13661.0,-2413.2387500000004,None,FI,2026-04-23
2026-01-01 19:00:00+00:00,1126.45,134.885,5.171575000000001,0.0,350.7175,1411.65,4187.375,391.8425,51.5,1.3,24.0,3313.875,10998.766575,2.215650000000001,0.0,13558.5,11000.982225,13558.5,-2557.5177750000003,None,FI,2026-04-23
2026-01-01 20:00:00+00:00,1108.675,43.37575,7.7,0.0,339.7275,1382.175,4186.6,387.1925,51.5,1.3,24.0,3313.35,10845.59575,23.86135,0.0,13596.25,10869.4571,13596.25,-2726.7929000000004,None,FI,2026-04-23
