,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Water Reservoir,Solar,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,388.0,3758.0,0.0,6.0,0.0,2087.0,6239.0,0.0,0.0,4825.25,6239.0,4825.25,1413.75,None,GR,2026-04-23
2026-01-01 01:00:00+00:00,389.0,3176.0,0.0,6.0,0.0,2152.0,5723.0,0.0,0.0,4641.5,5723.0,4641.5,1081.5,None,GR,2026-04-23
2026-01-01 02:00:00+00:00,384.0,2639.0,0.0,6.0,0.0,2224.0,5253.0,0.0,0.0,4463.5,5253.0,4463.5,789.5,None,GR,2026-04-23
2026-01-01 03:00:00+00:00,380.0,2189.0,0.0,6.0,0.0,2235.0,4810.0,0.0,0.0,4319.0,4810.0,4319.0,491.0,None,GR,2026-04-23
2026-01-01 04:00:00+00:00,395.0,2221.0,0.0,61.0,0.0,2214.0,4891.0,9.0,0.0,4390.5,4900.0,4390.5,509.5,None,GR,2026-04-23
2026-01-01 05:00:00+00:00,403.0,1947.0,0.0,104.0,7.0,2253.0,4714.0,60.0,0.0,4583.5,4774.0,4583.5,190.5,None,GR,2026-04-23
2026-01-01 06:00:00+00:00,419.0,1708.0,0.0,95.0,759.0,2251.0,5232.0,24.0,0.0,4828.75,5256.0,4828.75,427.25,None,GR,2026-04-23
2026-01-01 07:00:00+00:00,419.0,1227.0,0.0,62.0,2928.0,2057.0,6693.0,0.0,0.0,5214.0,6693.0,5214.0,1479.0,None,GR,2026-04-23
2026-01-01 08:00:00+00:00,400.0,864.0,0.0,25.0,4603.0,1836.0,7728.0,0.0,0.0,5582.75,7728.0,5582.75,2145.25,None,GR,2026-04-23
2026-01-01 09:00:00+00:00,411.0,574.0,0.0,25.0,5101.0,1482.0,7593.0,0.0,0.0,5926.0,7593.0,5926.0,1667.0,None,GR,2026-04-23
2026-01-01 10:00:00+00:00,405.0,597.0,0.0,25.0,5512.0,1278.0,7817.0,0.0,0.0,6196.25,7817.0,6196.25,1620.75,None,GR,2026-04-23
2026-01-01 11:00:00+00:00,398.0,657.0,0.0,23.0,5400.0,1102.0,7580.0,0.0,0.0,6106.75,7580.0,6106.75,1473.25,None,GR,2026-04-23
2026-01-01 12:00:00+00:00,382.0,813.0,0.0,6.0,4636.0,948.0,6785.0,0.0,0.0,5622.0,6785.0,5622.0,1163.0,None,GR,2026-04-23
2026-01-01 13:00:00+00:00,390.0,1534.0,0.0,6.0,3134.0,801.0,5865.0,0.0,0.0,5168.25,5865.0,5168.25,696.75,None,GR,2026-04-23
2026-01-01 14:00:00+00:00,407.0,2696.0,0.0,40.0,963.0,707.0,4813.0,6.0,0.0,5202.25,4819.0,5202.25,-383.25,None,GR,2026-04-23
2026-01-01 15:00:00+00:00,426.0,3221.0,0.0,317.0,16.0,673.0,4653.0,209.0,0.0,5617.75,4862.0,5617.75,-755.75,None,GR,2026-04-23
2026-01-01 16:00:00+00:00,427.0,3412.0,0.0,562.0,0.0,550.0,4951.0,366.0,0.0,6223.75,5317.0,6223.75,-906.75,None,GR,2026-04-23
2026-01-01 17:00:00+00:00,405.0,3360.0,0.0,684.0,0.0,523.0,4972.0,663.0,0.0,6411.25,5635.0,6411.25,-776.25,None,GR,2026-04-23
2026-01-01 18:00:00+00:00,415.0,3370.0,0.0,604.0,0.0,492.0,4881.0,625.0,0.0,6445.25,5506.0,6445.25,-939.25,None,GR,2026-04-23
2026-01-01 19:00:00+00:00,408.0,3345.0,0.0,409.0,0.0,464.0,4626.0,678.0,0.0,6357.5,5304.0,6357.5,-1053.5,None,GR,2026-04-23
2026-01-01 20:00:00+00:00,402.0,3717.0,0.0,343.0,0.0,506.0,4968.0,250.0,0.0,6114.25,5218.0,6114.25,-896.25,None,GR,2026-04-23
2026-01-01 21:00:00+00:00,399.0,4003.0,0.0,291.0,0.0,627.0,5320.0,61.0,0.0,5738.75,5381.0,5738.75,-357.75,None,GR,2026-04-23
2026-01-01 22:00:00+00:00,391.0,3496.0,0.0,165.0,0.0,809.0,4861.0,54.0,0.0,5299.0,4915.0,5299.0,-384.0,None,GR,2026-04-23
2026-01-01 23:00:00+00:00,385.0,3046.0,0.0,7.0,0.0,966.0,4404.0,0.0,0.0,4876.0,4404.0,4876.0,-472.0,None,GR,2026-04-23
2026-01-02 00:00:00+00:00,385.0,2754.0,0.0,6.0,0.0,1034.0,4179.0,0.0,0.0,4714.0,4179.0,4714.0,-535.0,None,GR,2026-04-23
2026-01-02 01:00:00+00:00,381.0,2531.0,0.0,6.0,0.0,1188.0,4106.0,0.0,0.0,4589.25,4106.0,4589.25,-483.25,None,GR,2026-04-23
2026-01-02 02:00:00+00:00,379.0,2284.0,0.0,6.0,0.0,1398.0,4067.0,0.0,0.0,4482.25,4067.0,4482.25,-415.25,None,GR,2026-04-23
2026-01-02 03:00:00+00:00,378.0,2093.0,0.0,6.0,0.0,1650.0,4127.0,0.0,0.0,4438.25,4127.0,4438.25,-311.25,None,GR,2026-04-23
2026-01-02 04:00:00+00:00,381.0,2088.0,0.0,56.0,0.0,1806.0,4331.0,0.0,0.0,4704.75,4331.0,4704.75,-373.75,None,GR,2026-04-23
2026-01-02 05:00:00+00:00,399.0,2408.0,0.0,113.0,9.0,1855.0,4784.0,29.0,0.0,5158.75,4813.0,5158.75,-345.75,None,GR,2026-04-23
2026-01-02 06:00:00+00:00,401.0,2424.0,0.0,334.0,710.0,1931.0,5800.0,32.0,0.0,5637.75,5832.0,5637.75,194.25,None,GR,2026-04-23
2026-01-02 07:00:00+00:00,393.0,2136.0,0.0,217.0,2018.0,1939.0,6703.0,31.0,0.0,6080.0,6734.0,6080.0,654.0,None,GR,2026-04-23
2026-01-02 08:00:00+00:00,385.0,2128.0,0.0,109.0,2769.0,1994.0,7385.0,0.0,0.0,6367.0,7385.0,6367.0,1018.0,None,GR,2026-04-23
2026-01-02 09:00:00+00:00,391.0,2261.0,0.0,95.0,3113.0,2130.0,7990.0,0.0,0.0,6485.5,7990.0,6485.5,1504.5,None,GR,2026-04-23
2026-01-02 10:00:00+00:00,384.0,1871.0,0.0,81.0,3554.0,2263.0,8153.0,0.0,0.0,6732.0,8153.0,6732.0,1421.0,None,GR,2026-04-23
2026-01-02 11:00:00+00:00,379.0,1695.0,0.0,66.0,3421.0,2398.0,7959.0,0.0,0.0,6800.25,7959.0,6800.25,1158.75,None,GR,2026-04-23
2026-01-02 12:00:00+00:00,370.0,1900.0,0.0,46.0,2848.0,2427.0,7591.0,0.0,0.0,6678.5,7591.0,6678.5,912.5,None,GR,2026-04-23
2026-01-02 13:00:00+00:00,377.0,2628.0,0.0,71.0,1772.0,2437.0,7285.0,0.0,0.0,6474.25,7285.0,6474.25,810.75,None,GR,2026-04-23
2026-01-02 14:00:00+00:00,378.0,3239.0,0.0,326.0,529.0,2547.0,7019.0,59.0,0.0,6450.0,7078.0,6450.0,628.0,None,GR,2026-04-23
2026-01-02 15:00:00+00:00,382.0,3213.0,0.0,605.0,6.0,2766.0,6972.0,104.0,0.0,6737.25,7076.0,6737.25,338.75,None,GR,2026-04-23
2026-01-02 16:00:00+00:00,386.0,3280.0,0.0,731.0,0.0,2942.0,7339.0,165.0,0.0,7116.5,7504.0,7116.5,387.5,None,GR,2026-04-23
2026-01-02 17:00:00+00:00,390.0,3270.0,0.0,793.0,0.0,3060.0,7513.0,223.0,0.0,7099.25,7736.0,7099.25,636.75,None,GR,2026-04-23
2026-01-02 18:00:00+00:00,392.0,3042.0,0.0,521.0,0.0,3161.0,7116.0,289.0,0.0,6969.75,7405.0,6969.75,435.25,None,GR,2026-04-23
2026-01-02 19:00:00+00:00,392.0,3066.0,0.0,307.0,0.0,3264.0,7029.0,345.0,0.0,6716.0,7374.0,6716.0,658.0,None,GR,2026-04-23
2026-01-02 20:00:00+00:00,386.0,3131.0,0.0,212.0,0.0,3405.0,7134.0,164.0,0.0,6299.75,7298.0,6299.75,998.25,None,GR,2026-04-23
2026-01-02 21:00:00+00:00,392.0,3237.0,0.0,79.0,0.0,3519.0,7227.0,0.0,0.0,5860.0,7227.0,5860.0,1367.0,None,GR,2026-04-23
2026-01-02 22:00:00+00:00,379.0,2644.0,0.0,67.0,0.0,3637.0,6727.0,0.0,0.0,5395.0,6727.0,5395.0,1332.0,None,GR,2026-04-23
