,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other renewable,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,76.4,423.2,200.60000000000002,11.6,0.0,45.0,387.4,35.6,0.0,4.8,187.8,1372.3999999999999,0.0,6.3,2109.25,1372.3999999999999,2115.55,-743.1500000000003,None,HR,2026-04-23
2026-01-01 01:00:00+00:00,76.4,423.2,199.6,12.5,0.0,44.599999999999994,378.8,35.6,0.0,4.8,167.0,1342.5,0.0,6.4,1994.25,1342.5,2000.65,-658.1500000000001,None,HR,2026-04-23
2026-01-01 02:00:00+00:00,76.0,423.0,199.6,13.8,0.0,44.699999999999996,345.0,35.6,0.0,3.2,153.6,1294.4999999999998,0.0,6.4,1909.0,1294.4999999999998,1915.4,-620.9000000000003,None,HR,2026-04-23
2026-01-01 03:00:00+00:00,76.4,422.0,198.6,14.0,0.0,44.5,348.5,35.6,0.0,3.2,138.2,1281.0,0.0,6.5,1868.25,1281.0,1874.75,-593.75,None,HR,2026-04-23
2026-01-01 04:00:00+00:00,76.4,438.5,198.5,14.4,0.0,44.599999999999994,470.7,35.6,0.0,3.2,99.2,1381.1,0.0,6.5,1873.5,1381.1,1880.0,-498.9000000000001,None,HR,2026-04-23
2026-01-01 05:00:00+00:00,76.4,442.2,199.8,13.8,0.0,65.4,469.4,35.6,0.0,3.2,99.19999999999999,1405.0,0.0,6.6,1931.75,1405.0,1938.35,-533.3499999999999,None,HR,2026-04-23
2026-01-01 06:00:00+00:00,76.0,442.4,200.7,12.3,0.0,84.69999999999999,470.0,35.6,4.5,3.2,120.7,1450.1,0.0,6.4,1959.25,1450.1,1965.65,-515.5500000000002,None,HR,2026-04-23
2026-01-01 07:00:00+00:00,73.6,444.20000000000005,202.6,11.0,0.0,83.7,463.6,35.2,45.7,3.2,144.7,1507.5000000000005,0.0,6.6,2043.5,1507.5000000000005,2050.1,-542.5999999999995,None,HR,2026-04-23
2026-01-01 08:00:00+00:00,74.8,445.7,203.1,11.5,0.0,83.6,366.6,35.2,110.3,3.2,170.2,1504.2000000000003,0.0,6.4,2121.0,1504.2000000000003,2127.4,-623.1999999999998,None,HR,2026-04-23
2026-01-01 09:00:00+00:00,74.8,446.6,203.0,12.100000000000001,0.0,83.4,374.0,35.2,135.7,3.2,180.6,1548.6000000000001,0.0,6.4,2166.75,1548.6000000000001,2173.15,-624.55,None,HR,2026-04-23
