,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,169.41125,99.35375,1103.9702499999999,31.75375,0.0,0.486,11.5875,9.507249999999999,1849.22325,48.152,13.709,0.02123,15.0985,124.4515025,3476.7252325,0.0,0.0,4737.709,3476.7252325,4737.709,-1260.9837674999999,None,HU,2026-04-23
2026-01-01 01:00:00+00:00,168.68349999999998,98.801,995.7615000000001,31.31925,0.0,0.486,11.60925,9.5075,1848.84825,47.077,13.72975,0.0109625,15.902000000000001,115.7591125,3357.495075,0.0,0.0,4574.24925,3357.495075,4574.24925,-1216.754175,None,HU,2026-04-23
2026-01-01 02:00:00+00:00,168.06225,99.08925,772.5885,32.202,0.0,0.486,11.66575,9.51275,1848.6465,47.294,13.8015,0.0169725,15.34075,111.21161,3129.9178325,0.0,0.0,4382.259749999999,3129.9178325,4382.259749999999,-1252.3419174999995,None,HU,2026-04-23
2026-01-01 03:00:00+00:00,168.5395,98.68525,730.492,32.126,0.0,0.486,11.6735,9.51225,1763.60825,46.41125,13.766,0.046155,14.75325,80.43893750000001,2970.538342500001,0.0,0.0,4342.6815,2970.538342500001,4342.6815,-1372.1431574999988,None,HU,2026-04-23
2026-01-01 04:00:00+00:00,168.79075,99.146,788.6585,32.47275,0.0,0.486,11.623750000000001,9.502500000000001,1698.30025,46.71225,14.14475,0.023865,16.05275,80.4581925,2966.3723075,0.0,0.0,4305.094,2966.3723075,4305.094,-1338.7216925000002,None,HU,2026-04-23
2026-01-01 05:00:00+00:00,168.70499999999998,106.265,786.8715,30.12575,0.0,0.486,11.618,9.5175,1699.81,47.716,14.56375,0.01114,15.75525,77.19745499999999,2968.6423449999998,0.0,0.0,4379.19525,2968.6423449999998,4379.19525,-1410.552905,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-01 06:00:00+00:00,169.21525,124.44775,759.9717499999999,30.41525,0.0,0.486,11.559000000000001,9.50625,1699.29775,48.1185,15.446750000000002,12.880935,15.157,70.993365,2967.49555,0.0,0.0,4477.163500000001,2967.49555,4477.163500000001,-1509.6679500000005,None,HU,2026-04-23
2026-01-01 07:00:00+00:00,163.953,123.37975,702.8565000000001,30.5185,0.0,0.486,11.52875,9.504,1699.3087500000001,52.388,14.93675,151.71771,15.74825,36.124405,3012.4503649999997,0.0,0.0,4581.11575,3012.4503649999997,4581.11575,-1568.6653850000002,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-01 08:00:00+00:00,159.94325,102.99325,776.44925,30.78125,0.0,0.486,11.592,9.52125,1699.749,60.832499999999996,13.80075,436.13308,15.67975,18.7186775,3336.6800075,0.0,0.0,4753.09275,3336.6800075,4753.09275,-1416.4127424999997,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-01 09:00:00+00:00,159.192,98.48775,694.13525,30.455000000000002,0.0,0.486,11.40175,9.5145,1700.62775,64.9215,13.91175,882.504385,14.234,15.797662500000001,3695.6692975,0.0,0.0,4773.687,3695.6692975,4773.687,-1078.0177024999998,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-01 10:00:00+00:00,159.27975,98.72225,478.49125000000004,29.9595,0.0,0.486,10.77825,9.51375,1698.7425,65.9625,13.160499999999999,1182.814,14.363,20.5742075,3782.8474574999996,0.0,0.0,4519.35675,3782.8474574999996,4519.35675,-736.5092925000004,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-01 11:00:00+00:00,161.35475,98.8955,536.22475,30.7055,0.0,0.486,11.14575,9.51775,1699.36875,64.172,13.243,1493.4878475,14.83525,22.027697500000002,4155.464545,0.0,0.0,4287.8415,4155.464545,4287.8415,-132.37695500000063,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-01 12:00:00+00:00,163.06125,98.773,626.3340000000001,30.58275,0.0,0.384,11.5125,9.51525,1699.14525,59.2745,13.52275,1483.9697099999998,15.0275,54.3419425,4265.4444025,0.0,0.0,4279.4495,4265.4444025,4279.4495,-14.005097499999465,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-01 13:00:00+00:00,164.732,103.1335,784.4825000000001,31.31375,0.0,0.361,11.5655,9.5175,1698.6732499999998,70.47625,13.71475,948.709315,15.094,84.9033675,3936.6766825,0.0,0.0,4591.7255,3936.6766825,4591.7255,-655.0488174999996,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-01 14:00:00+00:00,165.2495,125.63425,1027.34275,31.383499999999998,0.0,0.361,11.552,9.51225,1696.798,55.6265,15.5295,225.7984475,16.2115,95.38605749999999,3476.3852549999992,0.0,0.0,4985.356,3476.3852549999992,4985.356,-1508.9707450000005,None,HU,2026-04-23
2026-01-01 15:00:00+00:00,169.7155,151.3,1154.884,31.02825,0.0,0.361,11.5475,9.51,1696.488,47.268,14.96275,2.7478375,15.69675,126.1394925,3431.64908,0.0,0.0,5344.72425,3431.64908,5344.72425,-1913.07517,None,HU,2026-04-23
2026-01-01 16:00:00+00:00,170.67525,168.4225,1090.8875,30.94825,0.0,0.361,11.52525,9.51875,1697.00275,48.18825,15.381499999999999,0.5825225,15.4015,154.6437175,3413.5387400000004,0.0,0.0,5392.4565,3413.5387400000004,5392.4565,-1978.9177599999998,None,HU,2026-04-23
2026-01-01 17:00:00+00:00,170.40475,150.90324999999999,1134.90075,31.1565,0.0,0.361,11.56475,9.50825,1699.042,47.66175,15.27525,1.1958625,15.292,168.4477175,3455.713830000001,0.0,0.0,5389.181,3455.713830000001,5389.181,-1933.4671699999985,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-01 18:00:00+00:00,170.4745,128.813,1110.431,30.909,0.0,0.361,11.57325,9.519,1699.952,47.2405,14.34425,0.67924,16.7135,154.77522,3395.78546,0.0,0.0,5408.6825,3395.78546,5408.6825,-2012.8970399999998,None,HU,2026-04-23
2026-01-01 19:00:00+00:00,170.36849999999998,127.83500000000001,1038.931,30.5335,0.0,0.361,11.56325,9.51925,1700.31825,47.64375,13.90175,0.1478775,16.34875,124.1968725,3291.6687500000007,0.0,0.0,5327.47625,3291.6687500000007,5327.47625,-2035.807499999999,None,HU,2026-04-23
2026-01-01 20:00:00+00:00,170.562,114.63624999999999,977.04975,30.53575,0.0,0.48475,11.5405,9.519,1698.4795,64.14675,13.47775,0.10552500000000001,15.08825,138.3366475,3243.9624224999993,0.0,0.0,5289.74475,3243.9624224999993,5289.74475,-2045.7823275000005,None,HU,2026-04-23
2026-01-01 21:00:00+00:00,171.2845,104.1975,965.5930000000001,30.96575,0.0,0.496,11.63875,9.51,1699.4047500000001,58.8345,13.4185,0.1515175,15.992750000000001,133.4564975,3214.944015,0.0,0.0,5109.79475,3214.944015,5109.79475,-1894.850735,None,HU,2026-04-23
2026-01-01 22:00:00+00:00,171.81375,103.764,747.83525,30.9845,0.0,0.496,11.63925,9.50825,1699.70425,51.633250000000004,13.44125,0.0294675,15.4985,127.6735875,2984.0213049999998,0.0,0.0,4839.07525,2984.0213049999998,4839.07525,-1855.053945,None,HU,2026-04-23
2026-01-01 23:00:00+00:00,164.55625,109.23775,765.6625,30.30875,0.0,0.496,11.498249999999999,9.998000000000001,1698.9705,56.556,14.185,0.079735,14.900500000000001,148.59852,3025.047755,0.0,0.0,4475.50875,3025.047755,4475.50875,-1450.460995,None,HU,2026-04-23
2026-01-02 00:00:00+00:00,164.0005,109.29425,632.87675,30.4585,0.0,0.496,11.501,10.09825,1697.36675,47.2985,14.3615,0.088865,16.49775,100.8238425,2835.1624574999996,0.0,0.0,4249.87475,2835.1624574999996,4249.87475,-1414.7122925000003,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-02 01:00:00+00:00,163.77,108.584,613.976,29.9585,0.0,0.496,11.501999999999999,10.11375,1697.0832500000001,46.17575,14.3305,0.0618475,15.1955,72.420635,2783.6677325,0.0,0.0,4160.17375,2783.6677325,4160.17375,-1376.5060174999999,None,HU,2026-04-23
2026-01-02 02:00:00+00:00,163.51274999999998,108.87049999999999,593.433,30.154,0.0,0.496,11.501999999999999,10.10225,1697.6325,46.98275,14.28075,0.07984250000000001,15.78725,40.91444,2733.7480324999997,0.0,0.0,4111.927,2733.7480324999997,4111.927,-1378.1789675,None,HU,2026-04-23
2026-01-02 03:00:00+00:00,163.3425,108.84925,608.934,30.615000000000002,0.0,0.496,11.48875,10.115,1697.653,46.37225,14.440750000000001,0.0722775,15.1945,17.8073725,2725.38065,0.0,0.0,4164.70875,2725.38065,4164.70875,-1439.3280999999997,None,HU,2026-04-23
2026-01-02 04:00:00+00:00,163.611,111.26875,822.1655,31.55025,0.0,0.496,11.44,10.12625,1697.46125,46.1545,14.733,0.004045,15.722,16.38126,2941.113805000001,0.0,0.0,4340.880999999999,2941.113805000001,4340.880999999999,-1399.7671949999985,None,HU,2026-04-23
2026-01-02 05:00:00+00:00,165.52475,136.613,940.5305,30.68825,0.0,0.496,11.453,10.12275,1697.7205,47.76475,14.87,0.009635000000000001,15.18825,17.6308225,3088.6122074999994,0.0,0.0,4623.7505,3088.6122074999994,4623.7505,-1535.1382925000007,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-02 06:00:00+00:00,165.853,147.78225,995.38525,30.61275,0.0,0.496,11.49125,10.12025,1698.07225,52.66675,16.91275,3.6202474999999996,15.752,11.405455,3160.1702025,0.0,0.0,4897.04625,3160.1702025,4897.04625,-1736.8760475000004,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-02 07:00:00+00:00,170.7045,147.81225,1069.97725,30.05375,0.0,0.496,11.3595,10.23775,1698.7379999999998,50.424,15.6175,81.2321825,15.888250000000001,11.7162825,3314.2572149999996,0.0,0.0,5221.322749999999,3314.2572149999996,5221.322749999999,-1907.0655349999997,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-02 08:00:00+00:00,171.40825,146.9665,1131.7245,30.648,0.0,0.496,11.2305,10.33525,1699.71275,72.4915,16.28375,204.272195,15.714500000000001,9.15109,3520.434785,0.0,0.0,5564.1235,3520.434785,5564.1235,-2043.6887149999998,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-02 09:00:00+00:00,171.5465,119.19125,1074.74425,31.13225,0.0,0.496,10.89575,10.3355,1698.4872500000001,64.58449999999999,15.29125,296.3500025,14.60375,27.058965,3534.7172175000005,0.0,0.0,5792.13375,3534.7172175000005,5792.13375,-2257.4165324999994,None,HU,2026-04-23
2026-01-02 10:00:00+00:00,171.30425,108.9795,1067.522,31.16725,0.0,0.496,11.1985,10.324,1698.6655,73.58275,14.97275,365.4471775,15.146,31.9219675,3600.7276450000004,0.0,0.0,5855.5525,3600.7276450000004,5855.5525,-2254.8248549999994,None,HU,2026-04-23
2026-01-02 11:00:00+00:00,171.39600000000002,108.503,1067.3435,31.6935,0.0,0.496,11.242750000000001,10.31575,1700.48125,72.17,15.14275,340.37924499999997,14.8515,13.814797500000001,3557.8300425000007,0.0,0.0,5823.878,3557.8300425000007,5823.878,-2266.047957499999,None,HU,2026-04-23
2026-01-02 12:00:00+00:00,171.1375,108.02675,1104.07,30.1755,0.0,0.496,11.265,10.3235,1699.301,67.588,15.828499999999998,242.0148375,14.688749999999999,21.637225,3496.5525625,0.0,0.0,5722.21275,3496.5525625,5722.21275,-2225.6601874999997,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-02 13:00:00+00:00,171.5845,126.578,1096.45875,29.9195,0.0,0.496,11.251,10.31175,1699.425,66.018,16.49425,129.8335125,15.0465,63.8737925,3437.2905550000005,0.0,0.0,5722.91975,3437.2905550000005,5722.91975,-2285.6291949999995,None,HU,2026-04-23
2026-01-02 14:00:00+00:00,171.60975,165.59875,1084.8912500000001,30.73475,0.0,0.496,11.33175,10.31875,1700.1042499999999,60.37350000000001,16.88225,25.7671925,14.863,90.487365,3383.4585575,0.0,0.0,5801.54,3383.4585575,5801.54,-2418.0814425,None,HU,2026-04-23
2026-01-02 15:00:00+00:00,171.8225,177.334,1192.79875,30.169,0.0,0.496,11.277000000000001,10.3145,1700.20575,49.0345,16.981749999999998,0.35190750000000004,14.937000000000001,101.669125,3477.3917825000003,0.0,0.0,5925.443,3477.3917825000003,5925.443,-2448.0512175,None,HU,2026-04-23
2026-01-02 16:00:00+00:00,172.226,178.69025,1205.28475,29.643,0.0,0.496,11.35825,10.316,1700.08975,48.276250000000005,17.14125,1.12127,15.26,59.4924475,3449.3952175000004,0.0,0.0,5857.134,3449.3952175000004,5857.134,-2407.7387824999996,None,HU,2026-04-23
2026-01-02 17:00:00+00:00,171.09675,180.49075,1205.59825,30.442500000000003,0.0,0.496,11.3665,10.31675,1699.7952500000001,50.18725,17.106749999999998,0.3399575,16.518250000000002,27.055654999999998,3420.8106125000004,0.0,0.0,5765.69875,3420.8106125000004,5765.69875,-2344.888137499999,None,HU,2026-04-23
2026-01-02 18:00:00+00:00,172.151,177.676,1196.1755,30.502,0.0,0.496,11.3125,10.31525,1698.7525,48.4685,17.28875,6.08516,16.545,66.3798425,3452.1480025000005,0.0,0.0,5690.22425,3452.1480025000005,5690.22425,-2238.0762474999997,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-02 19:00:00+00:00,172.355,171.8515,1172.2314999999999,30.5215,0.0,0.496,11.3025,10.3025,1697.91525,47.323750000000004,16.14275,4.4655475000000004,16.2925,106.7879925,3457.9882900000002,0.0,0.0,5577.511,3457.9882900000002,5577.511,-2119.52271,None,HU,2026-04-23
2026-01-02 20:00:00+00:00,172.27675,122.12725,1136.5175,30.847,0.0,0.496,11.33125,10.311,1697.72,48.01875,14.87475,0.026325,15.94625,67.74886000000001,3328.241685,0.0,0.0,5469.6075,3328.241685,5469.6075,-2141.365815,None,HU,2026-04-23
2026-01-02 21:00:00+00:00,172.40925,108.5905,1081.69325,31.28275,0.0,0.496,11.417,10.3065,1697.46075,47.014250000000004,14.344999999999999,0.114595,15.891749999999998,33.719297499999996,3224.7408924999995,0.0,0.0,5227.22075,3224.7408924999995,5227.22075,-2002.479857500001,None,HU,2026-04-23
2026-01-02 22:00:00+00:00,172.676,108.163,968.32275,31.126,0.0,0.496,11.39875,10.29825,1697.06225,46.424,13.7525,0.1291025,15.14675,28.7545025,3103.749855,0.0,0.0,4956.77175,3103.749855,4956.77175,-1853.0218949999999,None,HU,2026-04-23
2026-01-02 23:00:00+00:00,173.26075,108.20475,719.9535,30.95375,0.0,0.496,11.20225,9.267,1697.948,47.179,14.09675,0.0088725,15.76125,28.895445,2857.2273175000005,0.0,0.0,4601.31625,2857.2273175000005,4601.31625,-1744.0889324999994,None,HU,2026-04-23
2026-01-03 00:00:00+00:00,172.443,108.56275,794.11375,31.5595,0.0,0.496,11.21325,9.1075,1699.97125,47.479,13.801,0.1480875,15.55475,36.1927075,2940.642545,0.0,0.0,4365.30925,2940.642545,4365.30925,-1424.666705,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-03 01:00:00+00:00,172.0805,108.50274999999999,810.22,30.92575,0.0,0.496,11.21125,9.09975,1701.464,46.6075,13.867750000000001,0.124295,15.3875,49.3882675,2969.3753125,0.0,0.0,4271.84425,2969.3753125,4271.84425,-1302.4689375000003,None,HU,2026-04-23
2026-01-03 02:00:00+00:00,170.108,108.53925,798.36325,30.1765,0.0,0.496,11.189,9.100249999999999,1701.6754999999998,47.0615,13.62,0.00264,15.2985,77.83096,2983.4613499999996,0.0,0.0,4182.5695,2983.4613499999996,4182.5695,-1199.10815,None,HU,2026-04-23
2026-01-03 03:00:00+00:00,170.262,108.488,757.32575,31.287,0.0,0.496,11.182,9.10525,1701.11525,46.362,13.8575,0.0007925,15.35125,106.02680000000001,2970.859592500001,0.0,0.0,4227.266,2970.859592500001,4227.266,-1256.4064074999987,None,HU,2026-04-23
2026-01-03 04:00:00+00:00,171.007,108.57475,759.79175,30.7435,0.0,0.496,11.21275,9.108,1700.94875,46.205,14.426,0.0005525,15.751249999999999,112.2302125,2980.4955149999996,0.0,0.0,4370.865,2980.4955149999996,4370.865,-1390.3694850000002,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-03 05:00:00+00:00,170.79975,108.5275,776.5242499999999,30.07875,0.0,0.496,11.233,9.094,1701.88375,49.00425,14.8295,0.00082,15.9115,101.59937,2989.9824399999998,0.0,0.0,4596.6925,2989.9824399999998,4596.6925,-1606.7100600000003,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-03 06:00:00+00:00,170.8745,108.62899999999999,737.27975,30.27825,0.0,0.496,11.30775,9.1035,1705.54825,50.2315,15.21125,8.1227525,15.0095,124.88009,2986.9720924999997,0.0,0.0,4864.28925,2986.9720924999997,4864.28925,-1877.3171575000001,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-03 07:00:00+00:00,170.71325,109.48875,773.01575,30.229,0.0,0.496,11.4115,8.959,1706.15725,50.755250000000004,15.5255,145.4682375,15.969,136.20304000000002,3174.3915275000004,0.0,0.0,5125.10725,3174.3915275000004,5125.10725,-1950.7157224999996,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-03 08:00:00+00:00,170.96975,109.95224999999999,1103.75725,30.36375,0.0,0.496,11.50025,8.881,1705.21825,57.2485,15.63325,557.1586675,15.39475,81.748125,3868.3217925,0.0,0.0,5216.7955,3868.3217925,5216.7955,-1348.4737075000003,None,HU,2026-04-23
2026-01-03 09:00:00+00:00,170.86225,109.8155,1049.98475,30.167,0.0,0.4835,11.57725,8.843250000000001,1703.49925,63.4585,14.83,1210.6191800000001,15.499,72.8505275,4462.4899575,0.0,0.0,5065.584,4462.4899575,5065.584,-603.0940424999999,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-03 10:00:00+00:00,170.26600000000002,109.569,947.1202499999999,30.16375,0.0,0.393,11.71075,8.7005,1701.5345,66.03925,14.963000000000001,1739.02744,15.881250000000001,76.2145625,4891.5832525000005,0.0,0.0,4932.3695,4891.5832525000005,4932.3695,-40.78624749999926,None,HU,2026-04-23
2026-01-03 11:00:00+00:00,171.89475,110.99875,974.807,31.00725,0.0,0.393,11.71075,8.72875,1699.59925,70.86675,13.971,1915.6654174999999,15.3625,47.1167075,5072.121875000001,0.0,0.0,4775.9315,5072.121875000001,4775.9315,296.19037500000104,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-03 12:00:00+00:00,171.80975,109.69,971.7855,29.95025,0.0,0.393,11.693000000000001,8.688,1698.41775,73.21075,13.85675,1626.0169700000001,15.055250000000001,18.851765,4749.418735000001,0.0,0.0,4804.447,4749.418735000001,4804.447,-55.02826499999901,None,HU,2026-04-23
2026-01-03 13:00:00+00:00,171.767,128.32125,1163.6077500000001,30.245,0.0,0.393,11.71325,8.69725,1697.99825,79.4685,14.14525,838.3407175,16.02475,34.409034999999996,4195.131002499999,0.0,0.0,5152.13,4195.131002499999,5152.13,-956.9989975000008,[Fossil Oil] CLIPPED_NEGATIVE,HU,2026-04-23
2026-01-03 14:00:00+00:00,173.9105,174.2755,1202.62325,30.22825,0.0,0.393,11.695,8.727,1697.67775,56.089749999999995,14.92775,168.61003,15.5215,44.8755825,3599.5548624999997,0.0,0.0,5514.16175,3599.5548624999997,5514.16175,-1914.6068875000005,None,HU,2026-04-23
2026-01-03 15:00:00+00:00,173.7515,179.29899999999998,1149.8985,30.3705,0.0,0.393,11.67675,8.7235,1697.772,47.61175,16.268250000000002,10.2310575,16.0335,56.3513325,3398.3806400000003,0.0,0.0,5843.57425,3398.3806400000003,5843.57425,-2445.1936099999994,None,HU,2026-04-23
