,Biomass,Fossil Gas,Geothermal,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,131.25,1910.25,0.0,12.25,27.0,0.0,8.5,229.25,2318.5,0.0,0.0,749.75,2318.5,749.75,1568.75,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 01:00:00+00:00,131.0,1908.75,0.0,45.0,27.0,0.0,9.0,259.0,2379.75,0.0,0.0,744.25,2379.75,744.25,1635.5,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 02:00:00+00:00,130.25,1860.25,0.0,12.25,27.0,0.0,9.0,263.5,2302.25,0.0,0.0,722.75,2302.25,722.75,1579.5,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 03:00:00+00:00,130.0,1836.5,0.0,12.0,27.0,0.0,9.25,276.75,2291.5,0.0,0.0,709.0,2291.5,709.0,1582.5,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 04:00:00+00:00,130.0,1784.25,0.0,12.0,27.0,0.0,9.0,294.0,2256.25,0.0,0.0,702.5,2256.25,702.5,1553.75,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 05:00:00+00:00,129.0,1620.0,0.0,12.5,27.0,0.0,9.0,253.0,2050.5,0.0,0.0,649.5,2050.5,649.5,1401.0,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 06:00:00+00:00,128.5,1619.5,0.0,47.5,27.0,13.25,8.25,217.5,2061.5,0.0,0.0,724.0,2061.5,724.0,1337.5,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 07:00:00+00:00,130.25,1535.0,0.0,20.25,27.0,95.25,4.0,199.75,2011.5,0.0,0.0,905.25,2011.5,905.25,1106.25,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 08:00:00+00:00,130.5,945.25,0.0,12.25,27.25,202.5,5.75,177.25,1500.75,0.0,0.0,827.5,1500.75,827.5,673.25,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 09:00:00+00:00,128.25,635.5,0.0,12.0,28.0,278.25,4.0,141.5,1227.5,0.0,0.0,861.75,1227.5,861.75,365.75,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 10:00:00+00:00,120.75,730.25,0.0,12.0,27.5,296.0,3.0,100.25,1289.75,0.0,0.0,902.25,1289.75,902.25,387.5,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 11:00:00+00:00,131.25,763.0,0.0,42.5,27.75,266.0,2.5,63.75,1296.75,0.0,0.0,930.5,1296.75,930.5,366.25,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 12:00:00+00:00,130.75,765.0,0.0,13.0,27.0,257.0,8.25,40.0,1241.0,0.0,0.0,876.25,1241.0,876.25,364.75,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 13:00:00+00:00,131.0,792.25,0.0,12.0,27.0,189.0,3.0,33.75,1188.0,0.0,0.0,863.0,1188.0,863.0,325.0,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 14:00:00+00:00,129.0,1302.0,0.0,12.5,27.0,83.5,3.0,36.25,1593.25,0.0,0.0,861.0,1593.25,861.0,732.25,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 15:00:00+00:00,122.75,1948.0,0.0,12.0,27.0,8.75,3.0,61.5,2183.0,0.0,0.0,864.5,2183.0,864.5,1318.5,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 16:00:00+00:00,122.5,1964.5,0.0,12.0,27.0,0.0,4.0,115.0,2245.0,0.0,0.0,937.5,2245.0,937.5,1307.5,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 17:00:00+00:00,122.25,1971.25,0.0,46.75,27.75,0.0,8.75,149.75,2326.5,0.0,0.0,989.75,2326.5,989.75,1336.75,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 18:00:00+00:00,122.25,1976.0,0.0,35.25,28.0,0.0,3.25,181.5,2346.25,0.0,0.0,1064.75,2346.25,1064.75,1281.5,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 19:00:00+00:00,122.5,1979.0,0.0,12.25,28.0,0.0,3.0,228.75,2373.5,0.0,0.0,998.75,2373.5,998.75,1374.75,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 20:00:00+00:00,129.75,1708.75,0.0,12.0,28.0,0.0,2.75,232.75,2114.0,0.0,0.0,947.25,2114.0,947.25,1166.75,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 21:00:00+00:00,129.75,1552.25,0.0,12.0,28.0,0.0,2.5,206.5,1931.0,0.0,0.0,846.25,1931.0,846.25,1084.75,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 22:00:00+00:00,128.0,1119.0,0.0,12.5,27.25,0.0,2.75,250.75,1540.25,0.0,0.0,682.25,1540.25,682.25,858.0,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-01 23:00:00+00:00,130.5,836.0,0.0,12.0,27.0,0.0,3.0,232.25,1240.75,0.0,0.0,588.0,1240.75,588.0,652.75,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-02 00:00:00+00:00,130.75,777.25,0.0,12.0,27.0,0.0,2.75,269.5,1219.25,0.0,0.0,571.5,1219.25,571.5,647.75,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-02 01:00:00+00:00,131.25,588.0,0.0,12.0,27.0,0.0,3.0,272.75,1034.0,0.0,0.0,541.5,1034.0,541.5,492.5,[Geothermal] ZERO,IT_CALA,2026-04-23
2026-01-02 02:00:00+00:00,130.75,645.0,0.0,12.0,27.0,0.0,3.0,263.0,1080.75,0.0,0.0,561.25,1080.75,561.25,519.5,[Geothermal] ZERO,IT_CALA,2026-04-23
