,Biomass,Fossil Gas,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,561.75,609.0,64.5,10.0,72.75,0.0,4.0,1322.0,0.0,1.25,1934.75,1322.0,1936.0,-614.0,None,IT_CNOR,2026-04-23
2026-01-01 01:00:00+00:00,0.0,550.0,609.0,62.25,10.0,73.75,0.0,4.0,1309.0,0.0,17.0,1892.75,1309.0,1909.75,-600.75,None,IT_CNOR,2026-04-23
2026-01-01 02:00:00+00:00,0.0,554.75,609.0,61.0,10.0,73.5,0.0,6.0,1314.25,0.0,17.0,1811.0,1314.25,1828.0,-513.75,None,IT_CNOR,2026-04-23
2026-01-01 03:00:00+00:00,0.0,463.75,608.75,61.0,10.0,73.25,0.0,7.5,1224.25,0.0,4.25,1727.5,1224.25,1731.75,-507.5,None,IT_CNOR,2026-04-23
2026-01-01 04:00:00+00:00,0.0,397.0,608.5,60.75,25.25,72.75,0.0,14.5,1178.75,0.0,0.0,1718.0,1178.75,1718.0,-539.25,None,IT_CNOR,2026-04-23
2026-01-01 05:00:00+00:00,0.0,448.5,607.5,109.0,24.75,70.75,0.0,16.0,1276.5,8.75,0.0,1806.5,1285.25,1806.5,-521.25,None,IT_CNOR,2026-04-23
2026-01-01 06:00:00+00:00,0.0,405.75,606.5,129.5,20.0,72.5,4.0,24.25,1262.5,0.0,0.0,1890.0,1262.5,1890.0,-627.5,None,IT_CNOR,2026-04-23
2026-01-01 07:00:00+00:00,0.0,439.5,605.75,127.0,20.0,73.0,125.75,32.5,1423.5,9.0,0.0,1942.75,1432.5,1942.75,-510.25,None,IT_CNOR,2026-04-23
2026-01-01 08:00:00+00:00,0.0,453.5,604.5,125.75,19.75,73.0,337.75,28.25,1642.5,12.0,0.0,1975.0,1654.5,1975.0,-320.5,None,IT_CNOR,2026-04-23
2026-01-01 09:00:00+00:00,0.0,395.75,605.25,95.5,10.25,72.25,561.75,39.0,1779.75,0.25,0.0,2073.0,1780.0,2073.0,-293.0,None,IT_CNOR,2026-04-23
2026-01-01 10:00:00+00:00,0.0,396.0,604.5,63.25,10.0,72.75,693.0,44.0,1883.5,0.0,11.75,2193.25,1883.5,2205.0,-321.5,None,IT_CNOR,2026-04-23
2026-01-01 11:00:00+00:00,0.0,396.25,603.75,62.25,10.0,72.5,645.0,46.75,1836.5,0.0,17.0,2226.75,1836.5,2243.75,-407.25,None,IT_CNOR,2026-04-23
2026-01-01 12:00:00+00:00,0.0,480.75,603.0,64.25,10.0,72.0,487.5,48.5,1766.0,0.0,4.25,2199.25,1766.0,2203.5,-437.5,None,IT_CNOR,2026-04-23
2026-01-01 13:00:00+00:00,0.0,488.25,602.0,64.5,10.25,70.25,234.25,46.75,1516.25,0.0,0.0,2182.25,1516.25,2182.25,-666.0,None,IT_CNOR,2026-04-23
2026-01-01 14:00:00+00:00,0.0,576.0,601.75,109.25,19.75,69.0,86.0,45.5,1507.25,0.0,0.0,2241.75,1507.25,2241.75,-734.5,None,IT_CNOR,2026-04-23
2026-01-01 15:00:00+00:00,0.0,609.25,602.0,140.0,20.0,68.5,9.5,57.25,1506.5,0.0,0.0,2351.25,1506.5,2351.25,-844.75,None,IT_CNOR,2026-04-23
2026-01-01 16:00:00+00:00,0.0,655.5,602.0,152.25,20.0,68.75,0.0,57.75,1556.25,0.0,0.0,2540.0,1556.25,2540.0,-983.75,None,IT_CNOR,2026-04-23
2026-01-01 17:00:00+00:00,0.0,709.5,602.0,150.5,19.75,69.0,0.0,61.5,1612.25,0.0,0.0,2612.0,1612.25,2612.0,-999.75,None,IT_CNOR,2026-04-23
2026-01-01 18:00:00+00:00,0.0,658.0,602.25,145.25,10.25,69.0,0.0,72.0,1556.75,1.25,0.0,2665.25,1558.0,2665.25,-1107.25,None,IT_CNOR,2026-04-23
2026-01-01 19:00:00+00:00,0.0,674.5,602.75,128.25,10.0,69.75,0.0,69.5,1554.75,1.5,0.0,2571.0,1556.25,2571.0,-1014.75,None,IT_CNOR,2026-04-23
2026-01-01 20:00:00+00:00,0.0,699.5,603.0,101.25,10.0,69.5,0.0,64.5,1547.75,2.5,0.0,2409.25,1550.25,2409.25,-859.0,None,IT_CNOR,2026-04-23
2026-01-01 21:00:00+00:00,0.0,542.5,602.25,79.75,10.0,69.0,0.0,61.75,1365.25,0.25,0.0,2214.75,1365.5,2214.75,-849.25,None,IT_CNOR,2026-04-23
2026-01-01 22:00:00+00:00,0.0,516.0,603.0,79.0,10.0,69.25,0.0,64.75,1342.0,0.0,0.0,2023.0,1342.0,2023.0,-681.0,None,IT_CNOR,2026-04-23
2026-01-01 23:00:00+00:00,0.0,432.5,603.0,65.25,0.0,75.75,0.0,60.5,1237.0,5.5,0.0,1858.5,1242.5,1858.5,-616.0,None,IT_CNOR,2026-04-23
2026-01-02 00:00:00+00:00,0.0,397.75,602.75,46.5,0.0,76.25,0.0,67.25,1190.5,2.25,0.0,1763.5,1192.75,1763.5,-570.75,None,IT_CNOR,2026-04-23
