,Biomass,Fossil Coal-derived gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,12.0,473.0,318.0,9.0,0.0,0.0,0.0,14.0,0.0,49.0,875.0,0.0,109.5,771.0,875.0,880.5,-5.5,None,IT_SARD,2026-04-23
2026-01-01 01:00:00+00:00,12.0,471.0,307.0,9.0,0.0,0.0,0.0,14.0,0.0,49.25,862.25,0.0,256.5,738.0,862.25,994.5,-132.25,None,IT_SARD,2026-04-23
2026-01-01 02:00:00+00:00,12.0,469.25,204.75,9.0,0.0,0.0,0.0,14.0,0.0,44.75,753.75,0.0,291.25,715.0,753.75,1006.25,-252.5,None,IT_SARD,2026-04-23
2026-01-01 03:00:00+00:00,12.0,470.75,142.25,9.0,0.0,0.0,0.0,14.0,0.0,38.25,686.25,0.0,162.5,703.25,686.25,865.75,-179.5,None,IT_SARD,2026-04-23
2026-01-01 04:00:00+00:00,12.0,468.5,142.75,9.0,0.0,0.0,0.0,14.0,0.0,35.75,682.0,0.0,0.0,706.5,682.0,706.5,-24.5,None,IT_SARD,2026-04-23
2026-01-01 05:00:00+00:00,12.0,469.25,142.75,9.0,0.0,0.0,0.0,14.0,0.0,25.5,672.5,124.25,0.0,731.5,796.75,731.5,65.25,None,IT_SARD,2026-04-23
2026-01-01 06:00:00+00:00,12.0,469.5,143.0,9.0,0.0,0.0,0.0,14.0,2.25,21.75,671.5,3.25,0.0,771.5,674.75,771.5,-96.75,None,IT_SARD,2026-04-23
2026-01-01 07:00:00+00:00,12.0,470.0,143.0,9.0,0.0,0.0,5.0,13.25,75.75,15.75,743.75,137.0,0.0,810.75,880.75,810.75,70.0,None,IT_SARD,2026-04-23
2026-01-01 08:00:00+00:00,12.0,471.0,142.5,9.0,0.0,0.0,0.0,14.5,236.25,7.75,893.0,90.75,0.0,835.5,983.75,835.5,148.25,None,IT_SARD,2026-04-23
2026-01-01 09:00:00+00:00,12.0,471.25,143.0,9.0,0.0,0.0,0.0,14.25,416.5,4.25,1070.25,0.0,159.75,860.0,1070.25,1019.75,50.5,None,IT_SARD,2026-04-23
2026-01-01 10:00:00+00:00,12.0,470.75,143.0,9.0,0.0,0.0,0.0,14.5,562.25,3.5,1215.0,0.0,459.5,870.75,1215.0,1330.25,-115.25,None,IT_SARD,2026-04-23
2026-01-01 11:00:00+00:00,12.0,469.0,143.0,9.0,0.0,0.0,0.0,14.75,503.75,7.75,1159.25,0.0,458.5,873.0,1159.25,1331.5,-172.25,None,IT_SARD,2026-04-23
2026-01-01 12:00:00+00:00,11.5,469.5,142.75,9.0,0.0,0.0,0.0,13.5,479.0,13.0,1138.25,0.0,280.25,821.0,1138.25,1101.25,37.0,None,IT_SARD,2026-04-23
2026-01-01 13:00:00+00:00,11.0,470.75,143.0,9.0,0.0,0.0,0.0,14.5,433.25,15.5,1097.0,0.0,294.5,765.5,1097.0,1060.0,37.0,None,IT_SARD,2026-04-23
2026-01-01 14:00:00+00:00,12.0,470.75,143.0,9.0,0.0,0.0,0.0,14.0,273.0,44.25,966.0,0.0,135.0,795.75,966.0,930.75,35.25,None,IT_SARD,2026-04-23
2026-01-01 15:00:00+00:00,12.0,470.75,143.0,9.0,0.0,0.0,0.0,14.0,65.5,71.75,786.0,0.0,0.0,856.75,786.0,856.75,-70.75,None,IT_SARD,2026-04-23
2026-01-01 16:00:00+00:00,12.0,470.5,146.75,9.0,0.0,0.0,2.0,14.0,1.0,63.0,718.25,211.25,0.0,960.5,929.5,960.5,-31.0,None,IT_SARD,2026-04-23
2026-01-01 17:00:00+00:00,12.0,470.25,181.25,9.0,0.0,0.0,2.0,14.0,0.0,57.5,746.0,95.0,0.0,1007.25,841.0,1007.25,-166.25,None,IT_SARD,2026-04-23
2026-01-01 18:00:00+00:00,12.0,470.5,178.25,9.0,0.0,0.0,0.0,14.0,0.0,97.25,781.0,72.75,0.0,1033.75,853.75,1033.75,-180.0,None,IT_SARD,2026-04-23
