,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Water Reservoir,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,324.21,233.13,0.0,178.608,27.44,763.3879999999999,0.0,0.0,1090.278,763.3879999999999,1090.278,-326.8900000000001,None,MK,2026-04-23
2026-01-01 01:00:00+00:00,326.49,233.34,0.0,120.666,30.15,710.6460000000001,0.0,0.0,1034.736,710.6460000000001,1034.736,-324.09000000000003,None,MK,2026-04-23
2026-01-01 02:00:00+00:00,329.03,213.25,0.0,79.306,28.37,649.956,0.0,0.0,979.876,649.956,979.876,-329.91999999999996,None,MK,2026-04-23
2026-01-01 03:00:00+00:00,325.12,212.07,0.0,78.954,24.49,640.634,0.0,0.0,945.134,640.634,945.134,-304.5,None,MK,2026-04-23
2026-01-01 04:00:00+00:00,321.92,212.09,0.0,82.74,18.47,635.22,0.0,0.0,938.39,635.22,938.39,-303.16999999999996,None,MK,2026-04-23
2026-01-01 05:00:00+00:00,318.03,212.1,0.0,102.764,14.3,647.194,0.0,0.0,966.244,647.194,966.244,-319.05000000000007,None,MK,2026-04-23
2026-01-01 06:00:00+00:00,319.92,211.08,0.0,118.932,13.17,663.102,0.0,0.0,898.872,663.102,898.872,-235.76999999999998,None,MK,2026-04-23
2026-01-01 07:00:00+00:00,324.47,208.08,0.0,115.924,13.18,661.654,0.0,0.0,739.224,661.654,739.224,-77.57000000000005,None,MK,2026-04-23
2026-01-01 08:00:00+00:00,333.93,179.88,0.0,77.126,15.7,606.636,0.0,0.0,593.936,606.636,593.936,12.699999999999932,None,MK,2026-04-23
2026-01-01 09:00:00+00:00,333.04,179.94,0.0,77.568,5.7,596.248,0.0,0.0,561.528,596.248,561.528,34.72000000000003,None,MK,2026-04-23
2026-01-01 10:00:00+00:00,327.66,179.87,0.0,126.978,0.41,634.918,0.0,0.0,562.808,634.918,562.808,72.11000000000001,None,MK,2026-04-23
2026-01-01 11:00:00+00:00,328.67,179.89,0.0,134.666,0.03,643.256,0.0,0.0,595.116,643.256,595.116,48.139999999999986,None,MK,2026-04-23
2026-01-01 12:00:00+00:00,325.91,166.74,0.0,154.362,0.21,647.2220000000001,0.0,0.0,738.732,647.2220000000001,738.732,-91.50999999999988,None,MK,2026-04-23
2026-01-01 13:00:00+00:00,328.71,217.21,0.0,184.892,0.09,730.9019999999999,0.0,0.0,907.792,730.9019999999999,907.792,-176.8900000000001,None,MK,2026-04-23
2026-01-01 14:00:00+00:00,331.72,217.67,0.0,257.384,0.0,806.774,0.0,0.0,1043.014,806.774,1043.014,-236.2399999999999,None,MK,2026-04-23
2026-01-01 15:00:00+00:00,329.79,219.45,0.0,378.9515,0.0,928.1915,0.0,0.0,1168.1015,928.1915,1168.1015,-239.90999999999997,None,MK,2026-04-23
2026-01-01 16:00:00+00:00,332.99,220.71,0.0,402.32,0.22,956.24,0.0,0.0,1196.62,956.24,1196.62,-240.37999999999988,None,MK,2026-04-23
2026-01-01 17:00:00+00:00,327.64,221.67,0.0,402.3965,0.68,952.3865,0.0,0.0,1185.8465,952.3865,1185.8465,-233.46000000000015,None,MK,2026-04-23
2026-01-01 18:00:00+00:00,332.6,221.69,0.0,399.7805,2.07,956.1405000000001,0.0,0.0,1175.4305,956.1405000000001,1175.4305,-219.28999999999985,None,MK,2026-04-23
2026-01-01 19:00:00+00:00,333.68,214.31,0.0,379.4065,1.72,929.1165000000001,0.0,0.0,1155.7365,929.1165000000001,1155.7365,-226.6199999999999,None,MK,2026-04-23
2026-01-01 20:00:00+00:00,333.22,232.23,0.0,314.0985,3.03,882.5785000000001,0.0,0.0,1143.5885,882.5785000000001,1143.5885,-261.01,None,MK,2026-04-23
2026-01-01 21:00:00+00:00,331.97,232.3,0.0,345.5105,4.71,914.4905,0.0,0.0,1228.1805,914.4905,1228.1805,-313.68999999999994,None,MK,2026-04-23
2026-01-01 22:00:00+00:00,330.48,232.23,0.0,310.5175,2.41,875.6374999999999,0.0,0.0,1188.6575,875.6374999999999,1188.6575,-313.0200000000001,None,MK,2026-04-23
2026-01-01 23:00:00+00:00,320.51,230.01,0.0,220.988,1.67,773.178,0.0,0.0,1110.288,773.178,1110.288,-337.11,None,MK,2026-04-23
2026-01-02 00:00:00+00:00,328.67,229.97,0.0,137.26,1.53,697.43,0.0,0.0,1018.93,697.43,1018.93,-321.5,None,MK,2026-04-23
2026-01-02 01:00:00+00:00,321.61,191.87,0.0,79.036,1.41,593.926,0.0,0.0,965.386,593.926,965.386,-371.4599999999999,None,MK,2026-04-23
2026-01-02 02:00:00+00:00,325.82,179.88,0.0,79.28,0.23,585.21,0.0,0.0,936.69,585.21,936.69,-351.48,None,MK,2026-04-23
