,Biomass,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,334.51696525,2391.862594,0.0,25.0,0.0,6.003175,908.357851,3665.7405852499996,43.393257000000006,0.0,3616.6724999999997,3709.13384225,3616.6724999999997,92.46134225000014,None,NO_3,2026-04-23
2026-01-01 01:00:00+00:00,0.0,332.92209925,2215.1227065000003,0.0,25.0,0.0,5.32119175,896.845242,3475.2112395,42.1601975,0.0,3583.8975,3517.371437,3583.8975,-66.52606300000025,None,NO_3,2026-04-23
2026-01-01 02:00:00+00:00,0.0,323.87174025,1885.872091,0.0,25.0,0.0,5.75946875,913.18718225,3153.69048225,35.83168825,0.0,3577.5825,3189.5221705,3577.5825,-388.0603295000001,None,NO_3,2026-04-23
2026-01-01 03:00:00+00:00,0.0,321.77252325,1654.3267555,0.0,25.0,0.0,5.659221,920.64060775,2927.3991075,35.68368075,0.0,3573.085,2963.08278825,3573.085,-610.0022117500002,None,NO_3,2026-04-23
2026-01-01 04:00:00+00:00,0.0,320.40270725,1498.790873,0.0,25.0,0.0,3.4181015,952.1054075,2799.71708925,35.915687750000004,0.0,3586.06,2835.632777,3586.06,-750.4272230000001,None,NO_3,2026-04-23
2026-01-01 05:00:00+00:00,0.0,316.94456575,1330.7602630000001,0.0,25.0,0.0,4.62489875,1019.17589475,2696.50562225,35.78291625,0.0,3619.42,2732.2885385000004,3619.42,-887.1314614999997,None,NO_3,2026-04-23
2026-01-01 06:00:00+00:00,0.0,319.2625665,1397.88362175,0.0,25.0,0.0,5.39954275,1137.41297625,2884.95870725,32.37341025,0.0,3683.4375,2917.3321174999996,3683.4375,-766.1053825000004,None,NO_3,2026-04-23
2026-01-01 07:00:00+00:00,0.0,320.27920075,1439.86329325,0.0,25.0,0.0,5.48947525,1085.15802475,2875.7899939999998,31.68067875,0.0,3757.055,2907.4706727499997,3757.055,-849.5843272500001,None,NO_3,2026-04-23
2026-01-01 08:00:00+00:00,0.0,318.462186,1448.73189675,0.0,25.0,0.0,6.02786225,1042.83176175,2841.05370675,35.76677275,0.0,3811.9425,2876.8204795,3811.9425,-935.1220205,None,NO_3,2026-04-23
2026-01-01 09:00:00+00:00,0.0,318.495809,1572.4939585,0.0,25.0,0.0,6.335319,949.927586,2872.2526725,37.1491295,0.0,3861.9275,2909.401802,3861.9275,-952.5256979999999,None,NO_3,2026-04-23
2026-01-01 10:00:00+00:00,0.0,321.38229075,1646.7183209999998,0.0,25.0,0.0,6.063363,1080.09998075,3079.2639554999996,37.58337225,0.0,3885.91,3116.8473277499997,3885.91,-769.0626722500001,None,NO_3,2026-04-23
2026-01-01 11:00:00+00:00,0.0,319.76990625,1630.0237455000001,0.0,25.0,0.0,6.102546,1132.62652,3113.52271775,45.7943295,0.0,3895.0475,3159.31704725,3895.0475,-735.73045275,None,NO_3,2026-04-23
2026-01-01 12:00:00+00:00,0.0,316.9905015,1653.15005575,0.0,25.0,0.0,5.982516,1088.4066535,3089.52972675,45.942438,0.0,3914.85,3135.47216475,3914.85,-779.3778352499999,None,NO_3,2026-04-23
2026-01-01 13:00:00+00:00,0.0,316.84665825,1900.597466,0.0,25.0,0.0,3.5716099999999997,1015.53570225,3261.5514365,46.73834575,0.0,3975.585,3308.28978225,3975.585,-667.2952177500001,None,NO_3,2026-04-23
2026-01-01 14:00:00+00:00,0.0,320.599746,2206.7406175,0.0,25.0,0.0,4.3382645,881.9561755,3438.6348035,46.40601875,0.0,4046.6325,3485.04082225,4046.6325,-561.5916777500001,None,NO_3,2026-04-23
2026-01-01 15:00:00+00:00,0.0,323.24884099999997,2299.536255,0.0,25.0,0.0,5.35775875,811.162894,3464.30574875,46.30825175,0.0,4065.95,3510.6140005,4065.95,-555.3359994999996,None,NO_3,2026-04-23
2026-01-01 16:00:00+00:00,0.0,327.9253025,2324.7073305,0.0,25.0,0.0,4.44466775,856.0151895,3538.0924902499996,46.98978125,0.0,4029.3199999999997,3585.0822714999995,4029.3199999999997,-444.23772850000023,None,NO_3,2026-04-23
