,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,36.0,3024.0,21.0,387.0,0.0,32.0,62.694,3562.694,0.0,0.0,4604.0,3562.694,4604.0,-1041.306,None,RS,2026-04-23
2026-01-01 01:00:00+00:00,36.0,3043.0,21.0,405.0,0.0,32.0,57.754,3594.754,0.0,0.0,4445.0,3594.754,4445.0,-850.2460000000001,None,RS,2026-04-23
2026-01-01 02:00:00+00:00,35.0,3052.0,21.0,423.0,0.0,32.0,75.729,3638.729,0.0,0.0,4243.0,3638.729,4243.0,-604.2710000000002,None,RS,2026-04-23
2026-01-01 03:00:00+00:00,35.0,2981.0,21.0,470.0,0.0,32.0,104.651,3643.651,0.0,0.0,4048.0,3643.651,4048.0,-404.34900000000016,None,RS,2026-04-23
2026-01-01 04:00:00+00:00,35.0,2915.0,21.0,601.0,0.0,32.0,83.565,3687.565,0.0,0.0,3942.0,3687.565,3942.0,-254.43499999999995,None,RS,2026-04-23
2026-01-01 05:00:00+00:00,35.0,2916.0,29.0,671.0,0.0,32.0,84.566,3767.566,0.0,0.0,3948.0,3767.566,3948.0,-180.4340000000002,None,RS,2026-04-23
2026-01-01 06:00:00+00:00,35.0,2889.0,34.0,649.0,0.0,32.0,90.209,3729.209,0.0,0.0,3889.0,3729.209,3889.0,-159.79100000000017,None,RS,2026-04-23
2026-01-01 07:00:00+00:00,35.0,2944.0,39.0,556.0,0.0,32.0,82.55,3688.55,0.0,0.0,4067.0,3688.55,4067.0,-378.4499999999998,None,RS,2026-04-23
2026-01-01 08:00:00+00:00,36.0,2904.0,61.0,616.0,0.0,32.0,82.429,3731.429,0.0,0.0,4278.0,3731.429,4278.0,-546.5709999999999,None,RS,2026-04-23
2026-01-01 09:00:00+00:00,36.0,2951.0,75.0,517.0,0.0,31.0,78.385,3688.385,0.0,0.0,4375.0,3688.385,4375.0,-686.6149999999998,None,RS,2026-04-23
2026-01-01 10:00:00+00:00,36.0,2994.0,81.0,425.0,0.0,32.0,57.699,3625.699,0.0,0.0,4410.0,3625.699,4410.0,-784.3009999999999,None,RS,2026-04-23
2026-01-01 11:00:00+00:00,37.0,3016.0,81.0,365.0,0.0,32.0,85.265,3616.265,0.0,0.0,4395.0,3616.265,4395.0,-778.7350000000001,None,RS,2026-04-23
