,Fossil Gas,Hydro Water Reservoir,Other,Solar,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,5699.302,133.211,0.0385,3304.1262500000003,9136.677749999999,0.0,0.0,1674.75,9136.677749999999,1674.75,7461.927749999999,None,SE_2,2026-04-23
2026-01-01 01:00:00+00:00,0.0,5257.50025,133.7525,0.0345,3402.7505,8794.03775,0.0,0.0,1642.25,8794.03775,1642.25,7151.7877499999995,None,SE_2,2026-04-23
2026-01-01 02:00:00+00:00,0.0,4654.51,131.82975,0.03975,3463.2889999999998,8249.6685,0.0,0.0,1446.25,8249.6685,1446.25,6803.4185,None,SE_2,2026-04-23
2026-01-01 03:00:00+00:00,0.0,4209.93325,136.59975,0.0455,3669.02875,8015.607250000001,0.0,0.0,1317.0,8015.607250000001,1317.0,6698.607250000001,None,SE_2,2026-04-23
2026-01-01 04:00:00+00:00,0.0,4072.41975,134.36425,0.02975,3762.041,7968.8547499999995,0.0,0.0,1290.25,7968.8547499999995,1290.25,6678.6047499999995,None,SE_2,2026-04-23
2026-01-01 05:00:00+00:00,0.0,3788.0845,131.50825,0.0265,3831.57125,7751.1905,0.0,0.0,1410.5,7751.1905,1410.5,6340.6905,None,SE_2,2026-04-23
2026-01-01 06:00:00+00:00,0.0,3842.8914999999997,130.78225,0.021249999999999998,3861.65075,7835.3457499999995,0.0,0.0,1689.25,7835.3457499999995,1689.25,6146.0957499999995,None,SE_2,2026-04-23
2026-01-01 07:00:00+00:00,0.0,4056.29975,135.11875,0.02,3850.448,8041.8865000000005,0.0,0.0,1726.75,8041.8865000000005,1726.75,6315.1365000000005,None,SE_2,2026-04-23
2026-01-01 08:00:00+00:00,0.0,4152.3724999999995,136.36700000000002,0.02775,3909.33675,8198.104,0.0,0.0,1671.0,8198.104,1671.0,6527.103999999999,None,SE_2,2026-04-23
2026-01-01 09:00:00+00:00,0.0,4148.36125,133.09625,0.0895,3996.89325,8278.44025,0.0,0.0,1642.5,8278.44025,1642.5,6635.94025,None,SE_2,2026-04-23
2026-01-01 10:00:00+00:00,0.0,4181.775,138.38125,0.11375,4191.1275000000005,8511.397500000001,0.0,0.0,1642.75,8511.397500000001,1642.75,6868.647500000001,None,SE_2,2026-04-23
2026-01-01 11:00:00+00:00,0.0,4397.6295,136.2805,0.12075,4482.09825,9016.129,0.0,0.0,1649.75,9016.129,1649.75,7366.379000000001,None,SE_2,2026-04-23
2026-01-01 12:00:00+00:00,0.0,4481.7735,143.28775000000002,0.09475,4660.5815,9285.737500000001,0.0,0.0,1574.75,9285.737500000001,1574.75,7710.987500000001,None,SE_2,2026-04-23
2026-01-01 13:00:00+00:00,0.0,4717.3015,141.62525,0.07275,4879.57375,9738.57325,0.0,0.0,1653.25,9738.57325,1653.25,8085.3232499999995,None,SE_2,2026-04-23
2026-01-01 14:00:00+00:00,0.0,4884.3795,139.82275,0.02325,4896.55125,9920.77675,0.0,0.0,1592.5,9920.77675,1592.5,8328.27675,None,SE_2,2026-04-23
2026-01-01 15:00:00+00:00,0.0,5207.5555,143.45974999999999,0.024,4897.7805,10248.81975,0.0,0.0,1667.75,10248.81975,1667.75,8581.06975,None,SE_2,2026-04-23
2026-01-01 16:00:00+00:00,0.0,5427.7435000000005,140.51749999999998,0.023,5026.819750000001,10595.103750000002,0.0,0.0,1886.5,10595.103750000002,1886.5,8708.603750000002,None,SE_2,2026-04-23
2026-01-01 17:00:00+00:00,0.0,5017.5445,138.08625,0.02625,4975.01625,10130.67325,0.0,0.0,1806.0,10130.67325,1806.0,8324.67325,None,SE_2,2026-04-23
2026-01-01 18:00:00+00:00,0.0,4897.79075,136.7305,0.0335,4828.03775,9862.592499999999,0.0,0.0,1854.5,9862.592499999999,1854.5,8008.092499999999,None,SE_2,2026-04-23
