,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SK,2026-04-23
2026-01-01 01:00:00+00:00,0.0,0.5940494300176162,0.0,0.0,0.0,20.75601206496243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10180211567242878,0.0,0.8621458469570823,0.0,1.7613993850125125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5208481874107627,0.0,0.0,0.0,35.90115537512167,146.0208375948455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SK,2026-04-23
2026-01-01 02:00:00+00:00,0.0,0.5170620083199926,0.0,0.0,0.0,16.179590587387406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039382279541192056,0.0,1.6444889558999756,0.0,1.7135875966828362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.021337473729492,92.36930109843917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SK,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,26.109529421622167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.58428630724106,0.0,0.0,0.0,0.2051125801552195,0.0,2.2112988368846023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.99230807761033,137.1889647764869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SK,2026-04-23
2026-01-01 04:00:00+00:00,0.0,1.0181549456932968,0.0,0.0,0.0,26.02338422706552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.76017269840706,0.0,0.030039595771322477,0.0,0.0,0.0,0.40462320788972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9788148194135,161.77931050575987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SK,2026-04-23
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,41.68309415081377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.58590211216523,0.0,0.0,0.0,0.0,0.0,0.17356797774706648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3910874612424244,233.13309829803154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SK,2026-04-23
2026-01-01 06:00:00+00:00,0.0,0.30640208561628546,0.0,0.0,0.0,7.665041830387476,0.0005267150410945981,0.0,0.0,0.0,0.0,0.0,0.0,60.85450192319156,0.0,0.0,0.0,0.0,0.0,0.0012342588995389568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01982037530019038,62.24172281156408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SK,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SK,2026-04-23
2026-01-01 08:00:00+00:00,0.015715216916688066,0.21481057946847262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.99950709139176,0.0,0.0005635437824909242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029018113689072214,61.79263545475145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SK,2026-04-23
2026-01-01 09:00:00+00:00,0.0,0.42587969073445914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.76974737547204,0.0,0.006066993608751389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07060641750875142,81.43019952267598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SK,2026-04-23
