,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Marine,Other renewable,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Coal-derived gas,Fossil Oil shale,Fossil Peat,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 07:00:00+00:00,4.284088328203756,226.10105043841946,13.202885810879973,19.71903588318025,0.6132130936177246,4.906673228959437,0.1366926622331661,0.0,1.1243110158867724,0.0,0.0,36.53311311612191,75.14164733305354,46.850585536989755,4.138002551596925,2.4093839793782466,4.2282377927771755,0.0,0.0,8.477179228701955,CZ,2026-04-23
2026-01-01 08:00:00+00:00,43.9846613209216,550.8469012464278,41.977410959843446,47.19471961119811,1.1534636071859607,11.63502349441677,0.2931356757990976,0.0,2.6847871802512486,0.008523057284008649,0.11753482983130364,81.85104630009273,186.96972103240645,124.81513824751174,9.878333966315147,5.8947056406790415,9.657093500632218,0.0,0.0,20.93062532920317,CZ,2026-04-23
2026-01-01 09:00:00+00:00,91.91549345645132,694.2691505074782,54.56987779652253,54.86315180459549,1.7893243585863963,13.852819348806191,0.3286192429501793,0.0,3.339645863761959,0.0,0.14488954236251178,91.7615996547008,232.80290021067236,153.48878128849316,12.104557054445152,6.78079900084432,11.407776612121062,0.0,0.0,26.982514257208226,CZ,2026-04-23
2026-01-01 10:00:00+00:00,129.04547814502666,745.03629503142,59.937299097188806,57.36919430810273,1.6312156176667127,14.842307327567344,0.3647666511242985,0.0,3.4299141162191775,0.0,0.0,91.80859990511387,245.67050689892977,158.22501059381946,12.478059055398104,7.119928006639646,11.89690787581732,0.0,0.0,26.131967369966144,CZ,2026-04-23
2026-01-01 11:00:00+00:00,121.6547815983821,735.4677447932511,55.897608213883935,54.57038338069434,2.4260976600614934,14.364977630340718,0.33590223735749725,0.0,3.536506287161803,0.0,0.0,95.18811362106081,259.3062811354655,161.20863710120435,12.681548257644266,6.565830260324802,11.776621121677607,0.0,0.0,27.724091701490163,CZ,2026-04-23
2026-01-01 12:00:00+00:00,108.77179101632106,766.1496890640019,68.82322793417632,59.46429019975779,2.213803112618509,15.391636112049726,0.3947677692579367,0.0,3.0790281134785404,0.0,0.0,84.67985060302561,203.97608197892282,141.79013196223656,11.597885723139008,7.876831306856212,11.522597336856922,0.0,0.0,22.58018776730124,CZ,2026-04-23
2026-01-01 13:00:00+00:00,29.404222144893083,333.63179719730323,30.373374672532915,26.02640542686236,1.1541812743216995,6.463572368854122,0.17611718497919898,0.0,1.2133603218489748,0.0,0.021224876434526894,34.20012625170156,79.9158914822187,56.023731438645356,4.674063753168492,3.58116257720208,4.870665437328337,0.0,0.0,8.73387859170569,CZ,2026-04-23
2026-01-01 14:00:00+00:00,3.3415960174259647,99.72450370062543,9.02589378077472,8.097856029277342,1.0374731611957504,1.9456303388372995,0.05505257623593024,0.0,0.3273079086919527,0.43514007238830044,0.0,9.259554891504958,21.223186769979375,14.873291036941696,1.2783240707248984,1.1032690949285742,1.35972444418673,0.0,0.0,2.152671106281584,CZ,2026-04-23
2026-01-01 15:00:00+00:00,0.028773952284084654,13.030697240127694,1.107961867915987,1.0770761535171842,0.36826654119692204,0.2830959542306347,0.007180533050892779,0.0,0.038862644630267576,0.5838000052100693,0.00016323557569046157,1.1147558869492693,2.5302738571042322,1.7780113605392378,0.15346216921658534,0.14861023553364863,0.15728348727946642,0.0,0.0,0.25204987563819475,CZ,2026-04-23
2026-01-01 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 17:00:00+00:00,0.015197937908194514,34.1068360543416,2.7785203870745407,2.768410084190078,1.1810076393091842,0.7615792856276324,0.01682780781710518,0.0,0.12887698980491685,2.355744511641129,0.0028992818077073304,3.5566759015899034,8.82263500259529,6.1979151125071255,0.481275003751233,0.35569424585863485,0.4542783038231928,0.0,0.0,0.9888014503530835,CZ,2026-04-23
2026-01-01 18:00:00+00:00,0.010283280808621214,23.107247637944102,1.7230294874285625,1.8827482205271293,0.9637851233973151,0.5046266954597516,0.011989351275896124,0.0,0.07883862387892221,1.3134598521086052,0.0,2.189625385951373,5.219398449380807,3.713718566657662,0.300903816802349,0.25474052903824684,0.3025821361312376,0.0,0.0,0.5644978432097659,CZ,2026-04-23
2026-01-01 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
