,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Marine,Other renewable,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Coal-derived gas,Fossil Oil shale,Fossil Peat,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.17794975382311645,523.8182592823929,50.76820154719303,50.89729110564165,176.86751725827213,12.222645343552436,0.42143814290176596,0.0,1.022722939268114,0.0,3.2946532616264346,37.261346320271045,54.2212297010104,67.67682115942954,4.794463729508923,8.417010230585868,6.972224872982231,0.0,0.0,6.978475351540794,PL,2026-04-23
2026-01-01 01:00:00+00:00,0.057015470448647465,177.67428359834219,19.453617188191096,15.74883924709444,59.52759641822567,3.8734479169365104,0.13436952321038423,0.0,0.32508612991912234,0.0,3.1152561679101947,10.77130472056172,17.328950497446392,18.70436304268123,1.5141149610528641,2.6448117604637904,2.2028558409266257,0.0,0.0,2.9039125165892625,PL,2026-04-23
2026-01-01 02:00:00+00:00,0.06713205065682426,203.2693858917098,23.18936360143012,17.039668899381564,54.40493218698906,4.407276537557459,0.14828799741973514,0.0,0.357522874791538,0.0,5.543711034639932,9.84087511107236,18.591950679781156,19.139921975418055,1.659239643686082,3.09459489157562,2.543529194361345,0.0,0.0,3.3959824295293792,PL,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
