,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,607.7617468668677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.73545548618118,0.0,0.0,0.0,0.12509341298394994,0.0,7.156378225450592,0.0,0.0,0.0,4.095870468663043,0.0,0.0,0.0,13.447898997624614,0.0,0.0,0.0,4.299784732901687,1891.793838127851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,2026-04-23
2026-01-01 01:00:00+00:00,2.743321753709016,1.1280981808675306,0.0,0.0,0.0,719.1699902908427,0.0,0.015241400307296132,0.0,0.0,0.0,0.0,0.0,98.99482790725862,0.0,0.04105891168042663,0.0,0.46050415584968274,0.0,5.994046471363686,0.0,0.0,0.0,4.486391066793765,0.0,0.0,0.0,8.563145668001669,0.0,0.0,0.0,3.1470691767912804,2157.5055631242685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,2026-04-23
2026-01-01 02:00:00+00:00,4.408610130541131,1.6795683970919897,0.0,0.0,0.0,822.9772115930283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.4233295133507,0.0,0.04798970082011005,0.0,1.083903627739885,0.0,2.0543142662115135,0.0,0.0,0.0,2.233363717405282,0.0,0.0,0.0,0.004562922893165675,0.0,0.0,0.0,0.9349032442162923,2489.208690774448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,866.5182549382756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.1278865400502,0.0,0.0,0.0,0.09108255190097796,0.0,1.3108194106480784,0.0,0.0,0.0,1.9475385323471357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5543039938167058,2526.019627945489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,2026-04-23
2026-01-01 04:00:00+00:00,0.0,4.365663810013617,0.0,0.0,0.0,835.0059569380636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.33609764994782,0.0,0.10498319654323916,0.0,0.0,0.0,0.3841099188570978,0.0,0.0,0.0,0.47028290193644046,0.0,0.0,0.0,0.010050180766536654,0.0,0.0,0.0,0.16684271707990853,2182.546814763731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,2026-04-23
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,920.3384590278621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.04497983816046,0.0,0.0,0.0,0.0,0.0,0.1639239645484703,0.0,0.0,0.0,0.24841056188880176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06603018618407579,2170.5341697151425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,2026-04-23
2026-01-01 06:00:00+00:00,0.0,3.6351411455613882,0.0,0.0,0.0,994.8907824546765,0.0015217359478168129,0.019514473929627133,0.0,0.0,0.0,0.0,0.0,306.23330368135356,0.0,0.07652374060588953,0.0,0.0,0.0,0.01425639228287143,0.0,0.0,0.0,0.0006693751473052203,0.0,0.0,0.0,0.006702387687723344,0.0,0.0,0.0,0.005725437386894685,2192.14840315502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,912.6877682898406,0.0,0.0,11.648205400499474,0.0,0.0,58.20773120375429,0.4416181486187736,279.83839545210174,0.05383141393441396,0.0,0.024108483674040292,0.0,0.06725281864542514,0.0,0.0,0.04965312706184794,0.0,0.0,0.0,4.507698905701114,0.0,0.0,0.0,0.0,0.0,0.0,2218.3443683826113,0.0,0.0,9.305583281544676e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.663628127851905,AT,2026-04-23
2026-01-01 08:00:00+00:00,6.194003358854378,1.8740045960028242,0.0,0.0,0.0,852.1642072440748,0.0,0.0,216.0050605235286,0.0,0.0,207.75986201576518,10.496788916020746,296.115193026255,3.3647513609557267,0.040389317160398584,8.575392698158344,0.0,2.375407910289292,0.006974550862803785,0.0,5.558905979776472,0.0,0.0006045678297159143,0.0,65.56463370700146,0.0,0.002965126997520255,0.0,0.0,0.0,0.0031070205651806634,2719.541847239081,0.0,0.0,0.040897636212758375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.84954399492896,AT,2026-04-23
2026-01-01 09:00:00+00:00,13.189601025130337,4.240889345949773,0.0,0.0,0.0,766.4324488488817,0.0,0.0,161.3206430689621,0.0,0.0,128.31828736879393,1.7651110962886045,260.19089623473866,0.5042594291439972,0.0925988333288542,7.183818622552734,0.0,0.3322859662059479,0.014697275246438874,0.0,1.66480162957181,0.0,0.0002666593942950241,0.0,44.4543976680222,0.0,0.0034065562407676266,0.0,0.0,0.0,0.007265038632580308,2854.9331705283294,0.0,0.0,0.00026925890043993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.95212353327641,AT,2026-04-23
2026-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,702.6817876212599,0.0,0.0,25.709710056127104,0.0,0.0,25.925033740744762,0.05813633818208135,229.70853786736322,0.006448057094411099,0.0,0.005974923954439119,0.0,0.007856459555361317,0.0,0.0,0.02487258548322328,0.0,0.0,0.0,6.533637551222322,0.0,0.0,0.0,0.0,0.0,0.0,3016.494406974284,0.0,0.0,0.0001359211142604518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8032807379153721,AT,2026-04-23
2026-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,687.8002906133448,0.0,0.0,120.68322744038949,0.0,0.0,16.678584730853736,0.08975252710076546,228.10421201554558,0.009594655059933843,0.0,0.009993127078079877,0.0,0.01201397655536873,0.0,0.0,0.09936920811260806,0.0,0.0,0.0,27.93499610574931,0.0,0.0,0.0,0.0,0.0,0.0,2933.088544614366,0.0,0.0,0.00016302129650078154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2584527892642705,AT,2026-04-23
2026-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,724.9386578306445,0.0,0.0,48.972900321923625,0.0,0.0,12.756792093878852,0.0,222.63223934926344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.540052346529531,0.0,0.0,0.0,0.0,0.0,0.0,2948.7239663414603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5194494000223577,AT,2026-04-23
2026-01-01 13:00:00+00:00,4.854095961679631,1.5958634954244717,0.0,0.0,0.0,868.0909941276232,0.0,0.022342053919102583,0.0,0.0,0.0,0.0,0.0,263.1652576537192,0.0,0.0421700416503236,0.0,0.0,0.0,0.00444658737858542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013852000582199376,0.0,0.0,0.0,0.0029693202617988726,2756.1185342665167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,2026-04-23
2026-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,924.080299751845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0736648818525,0.0,0.0,0.0,0.0,0.0,0.24167530471176477,0.0,0.0,0.0,0.39417735991736236,0.0,0.0,0.0,0.018931188086408725,0.0,0.0,0.0,0.17214808270058748,2671.1310983275484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,2026-04-23
