,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,2276.6377785972604,0.0,0.0,0.0,0.0,0.0,54.09896655479842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.84881869282692,0.0,0.0,0.0,9.930034383090227,0.0,0.0,0.0,2.0692289142532347,0.0,0.0,0.0,11.209058902510632,0.0,0.0,0.0,5.966287539939496,461.46460706784296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BE,2026-04-23
2026-01-01 01:00:00+00:00,0.0,2373.1162394596454,0.0,0.0,0.0,0.0,0.0,32.06247044342763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.37330662870873,0.0,0.0,0.0,6.458461534765005,0.0,0.0,0.0,1.5560332396490835,0.0,0.0,0.0,9.331191098961012,0.0,0.0,0.0,3.390902176460259,210.87832370512342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BE,2026-04-23
2026-01-01 02:00:00+00:00,0.0,2200.81405778143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.88306470667574,0.0,0.0,0.0,5.110810976190434,0.0,0.0,0.0,0.5609171824694775,0.0,0.0,0.0,5.979003216087378,0.0,0.0,0.0,2.325892313948773,194.14099527371658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BE,2026-04-23
2026-01-01 03:00:00+00:00,0.0,1852.493611654026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.12167034422031,0.0,0.0,0.0,7.307357680509178,0.0,0.0,0.0,0.10733311912284292,0.0,0.0,0.0,3.2037382357498636,0.0,0.0,0.0,3.0900500203539276,380.74960578978533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BE,2026-04-23
2026-01-01 04:00:00+00:00,0.0,1634.0369910670859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29446564314899,0.0,0.0,0.0,7.10082014831132,0.0,0.0,0.0,0.8227268765300569,0.0,0.0,0.0,3.761711358021548,0.0,0.0,0.0,3.0843257850906376,695.7063442378225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BE,2026-04-23
2026-01-01 05:00:00+00:00,0.0,1816.143604956111,0.0,0.0,0.0,0.0,268.620318574138,0.44369675614001575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.55096219765534,0.0,0.0,0.0,8.557313135874553,0.0,0.0,0.0,0.9745747299058304,0.0,0.0,0.0,4.480356689217201,0.0,0.0,0.0,3.4469699482540186,673.6389791914066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BE,2026-04-23
2026-01-01 06:00:00+00:00,0.0,1710.5309028920053,0.0,0.0,0.0,0.0,14.774584620942836,9.182617503330144,0.0,0.0,0.0,0.0,0.0,0.0057029261242764005,0.0,36.246202426690125,0.0,0.0,0.0,6.752676704874656,0.0,0.0,0.0,0.3170559475597986,0.0,0.0,0.0,3.17465010136578,0.0,0.0,0.0,2.711908237412438,592.7388428901545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BE,2026-04-23
2026-01-01 07:00:00+00:00,0.0,2005.0252210402007,0.0,0.0,0.0,0.0,0.4766576152165442,9.36591922073771,0.0,0.0,0.0,0.0,0.0,0.27152308662068453,0.0,44.065979972037105,0.0,0.0,0.0,7.946931209969892,0.0,0.0,0.0,0.8625395271357003,0.0,0.0,0.0,4.643808921848728,0.0,0.0,0.0,3.330576691602228,318.5534308348417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BE,2026-04-23
2026-01-01 08:00:00+00:00,0.0,2030.477187989652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2094968731743265,0.0,43.761678764071064,0.0,0.0,0.0,7.556900582636187,0.0,0.0,0.0,0.6550470524186092,0.0,0.0,0.0,3.2127043555810224,0.0,0.0,0.0,3.366445521889503,332.61284788833115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BE,2026-04-23
2026-01-01 09:00:00+00:00,0.0,2212.836379887408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045167945401947136,0.0,48.31676811396011,0.0,0.0,0.0,7.668831393018806,0.0,0.0,0.0,0.1391391193213553,0.0,0.0,0.0,1.7774931069357758,0.0,0.0,0.0,3.790794919658715,469.7447241039198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BE,2026-04-23
