,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.9069587815888,0.0,0.0,0.0,164.7802244440272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.98386234851162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DK_2,2026-04-23
2026-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.9455203660001,0.0,0.0,0.0,169.1732329005765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.62874039682465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DK_2,2026-04-23
2026-01-01 02:00:00+00:00,0.25324613128288725,0.0964803387448411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027566978513076947,0.0,0.0,0.0,110.94402169149501,0.0,0.0,0.0,120.8197085913199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.48980455997189,142.98893579346606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DK_2,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.29999037154978,0.0,0.0,0.0,39.074981826541766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.121432580162505,444.361950693208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DK_2,2026-04-23
2026-01-01 04:00:00+00:00,0.0,0.8770299848742094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021090357682873435,0.0,0.0,0.0,144.03754701088567,0.0,0.0,0.0,184.64265761120782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.56442368456989,438.4577198887696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DK_2,2026-04-23
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.85698158809275,0.0,0.0,0.0,167.9927956931032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.65428318689804,510.0647640645342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DK_2,2026-04-23
2026-01-01 06:00:00+00:00,0.0,0.9644422963494783,0.0,0.0,0.0,0.0,0.00040373301975963455,0.005177401177866805,0.0,0.0,0.0,0.0,0.0,1.5824830079070173,0.0,0.020302576752848002,0.0,0.0,0.0,50.453892878230626,0.0,0.0,0.0,87.9786338864596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.262531983387497,581.6007013810643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DK_2,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.149310903174644,0.0,0.0,0.0,0.0,0.0,63.369920290298474,0.0,0.0,0.0,152.95452175067567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.558475704782005,566.5540495047654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DK_2,2026-04-23
2026-01-01 08:00:00+00:00,1.2832162570031176,0.38823891818718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.78618332228093,0.0,0.008367484708478498,0.0,0.0,0.0,59.5563714539454,0.0,0.0,0.0,177.5569317085226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.53115226125963,563.4094958939338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DK_2,2026-04-23
2026-01-01 09:00:00+00:00,3.1418181493687283,1.0101975860515315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.56189671573689,0.0,0.022057429531693443,0.0,0.0,0.0,19.084910265270633,0.0,0.0,0.0,81.82348972581579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.433899008601266,680.057026236855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DK_2,2026-04-23
