,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.30005916326866,0.0,88.86674750850023,0.0,0.0,0.0,50.86185711534038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.39403147261959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.84641755225107,0.0,83.28457059310341,0.0,0.0,0.0,62.35804115588808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.727105932200615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-01-01 02:00:00+00:00,0.004132176609074722,0.0015742542520884618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4980597815078825e-05,0.0,402.24554244197657,0.0,70.2751550501112,0.0,0.0,0.0,76.53083642032517,0.0,0.0,0.0,4.276813483127492e-06,0.0,0.0,0.0,31.98170383410429,2.3331275895474026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.5232041780941,0.0,52.072460461356286,0.0,0.0,0.0,77.36620498507472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.01979354831322,5.25043497529831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-01-01 04:00:00+00:00,0.0,0.01783008236809547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34919730858004,0.0,0.00042876848128763073,0.0,309.3884337260657,0.0,48.01732087049765,0.0,0.0,0.0,61.55510353049481,0.0,0.0,0.0,4.1046575888544764e-05,0.0,0.0,0.0,20.856895090782906,8.91387682904066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.30770165567868,0.0,0.0,0.0,279.7247910227411,0.0,40.65847713632865,0.0,0.0,0.0,61.613902389433434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.377634732467325,9.690240137133635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-01-01 06:00:00+00:00,0.0,0.01567365013481215,0.0,0.0,0.0,0.0,6.5612739336876726e-06,8.414062197044427e-05,0.0,0.0,0.0,0.0,0.0,8.456982569285977,0.0,0.0003299476661940183,0.0,285.984124662553,0.0,41.20980109809939,0.0,0.0,0.0,71.8644495774582,0.0,0.0,0.0,2.8898707224482448e-05,0.0,0.0,0.0,16.55005917570259,9.451893541078094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.28990892261598,0.0,0.0,0.0,298.94958454476904,0.0,35.60364265606706,0.0,0.0,0.0,85.93569488637024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.921566480613976,13.278014477116935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-01-01 08:00:00+00:00,0.032942090684979435,0.00996667676283135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.82169792886195,0.0,0.00021480591331941618,0.0,352.26350241316294,0.0,32.19330358275541,0.0,0.0,0.0,95.98087197493209,0.0,0.0,0.0,1.5769685094723472e-05,0.0,0.0,0.0,14.34146201817432,14.463568868634917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-01-01 09:00:00+00:00,0.05911129594156726,0.019006220484322756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.61906799941706,0.0,0.00041499640742102524,0.0,341.9358807461695,0.0,21.698559631258636,0.0,0.0,0.0,93.0458068852209,0.0,0.0,0.0,1.5267023900567013e-05,0.0,0.0,0.0,10.725857095902018,12.794837327903885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
2026-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.35955776076753,0.0,0.0,0.0,359.0638248661908,0.0,14.636239513751756,0.0,0.0,0.0,93.82193977263728,0.0,0.0,0.0,8.541066956183782,2.7673138745503284e-05,0.010423622349587162,3.93676168825989e-06,7.680617361351572,17.11349472576555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2026-04-23
