,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.89892738840416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.32857052357612,0.0,0.0,0.0,747.2501726741817,0.0,0.0,0.0,1.6907948803124557,265.4554717197562,0.0,0.0,10.260286092898443,0.14602928349268582,23.37062129383258,1.418527943741694,471.06811872704264,134.20091388668453,0.0,0.0,0.0,276.63064458607664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_1,2026-04-23
2026-01-01 01:00:00+00:00,0.20047853706678792,0.08244001005797294,0.0,0.0,0.0,0.0,0.0,495.42534899372566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.81483274246237,0.0,0.0,0.0,879.1015003118008,0.0,0.0,0.0,1.936749561620117,171.71507607093767,0.0,0.0,12.212297304464887,0.07264385187748897,11.706381165634234,0.8076147861693632,485.92361855707736,157.66781946879445,0.0,0.0,0.0,204.51903838831063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_1,2026-04-23
2026-01-01 02:00:00+00:00,0.30792500435719156,2.7792078295790144,0.0,0.0,0.0,0.0,0.0,490.14359219164805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.03719914070096,0.0,0.0,0.0,1072.9762458701232,0.0,0.0,0.0,0.981532245553585,123.17261549635538,0.0,0.0,10.462479375335755,0.058479717671264156,7.776232440408313,0.5746761674982798,515.8965301888811,173.86195972348293,0.0,0.0,0.0,148.37957135840531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_1,2026-04-23
2026-01-01 03:00:00+00:00,0.0,11.066659101481997,0.0,0.0,0.0,0.0,0.0,422.2217838106966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.72834050794798,0.0,0.0,0.0,1139.1152868491831,0.0,0.0,0.0,0.21135589285831494,205.931262743773,0.0,0.0,6.308667453577491,0.051724684220975835,6.985470188492971,0.49700566056543155,508.5282986632269,170.21324528899547,0.0,0.0,0.0,119.32985990497968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_1,2026-04-23
2026-01-01 04:00:00+00:00,0.06654108678574448,8.8138615957033,0.0,0.0,0.0,0.0,13.8795674688089,431.4899425381862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.34018875681527,0.0,0.0,0.0,1054.3133968850843,0.0,0.0,0.0,1.9752453063497262,319.8281515276249,0.0,0.0,9.03131150292872,0.09390082548092815,10.319748848479298,0.7105558311012531,489.3677982409083,195.34300274890631,0.0,0.0,0.0,130.58561758683703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_1,2026-04-23
2026-01-01 05:00:00+00:00,0.0,0.6164972236633882,0.0,0.0,0.0,0.0,21.243887390783332,609.3925500283768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.72841897122696,0.0,0.0,0.0,996.9850701036886,0.0,0.0,0.0,2.575368442371427,324.0807858597559,0.0,0.0,11.839594105926222,0.08205986638541707,8.641879096817048,0.6478030471366562,425.71051742891234,295.9903386654497,0.0,0.0,0.0,97.07855826950652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_1,2026-04-23
2026-01-01 06:00:00+00:00,0.0,1.9521192538962306,0.0,0.0,0.0,0.0,47.90350173454921,614.3060739794273,0.0,0.0,0.0,0.0,0.0,0.017062100349944077,0.0,108.44193482991012,0.0,0.0,0.0,1016.8477475909239,0.0,0.0,0.0,0.9485727635123934,406.55063934263836,0.0,0.0,9.49796603096201,0.10628311219121327,10.214074002677858,0.7359239172389918,437.8937687921065,315.33860996850507,0.0,0.0,0.0,137.55870533111113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_1,2026-04-23
2026-01-01 07:00:00+00:00,0.5388071347066727,0.9233705338639788,0.0,0.0,0.0,0.0,28.440820898453648,558.8380896534564,0.0,0.0,0.0,0.0,0.0,0.624388518728037,0.0,101.33315845616043,0.0,0.0,0.0,1059.5994107649228,0.0,0.0,0.0,1.9834769278569855,523.0165017146406,0.0,0.0,10.678800871248956,0.1523376930966898,15.623312364635806,1.004009226607596,476.83718863068896,282.13727058062005,0.0,0.0,0.0,151.18464578031276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_1,2026-04-23
2026-01-01 08:00:00+00:00,0.9775827132819256,12.765502995227749,0.0,0.0,0.0,0.0,17.7031182603623,596.3433545566908,0.0,0.0,0.0,0.0,0.0,0.5157004441478267,0.0,107.72436281904194,0.0,0.0,0.0,1053.2817388035921,0.0,0.0,0.0,1.6124730204870634,559.9566784528429,0.0,0.0,7.908438145089357,0.2116873266155837,20.927486499822223,1.033577689894665,503.5384981449686,253.9485673602007,0.0,0.0,0.0,152.99684176773425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_1,2026-04-23
2026-01-01 09:00:00+00:00,0.9771742396216214,39.22162761101762,0.024186058342760625,0.0,0.0,0.0,0.6943628580979138,499.8036495908985,0.0,0.0,0.0,0.0,0.0,0.09044069969446357,0.0,96.74565172967377,0.0,0.0,0.0,1042.9016713354868,0.0,0.0,0.0,0.27860110072113997,795.8930820493927,0.0,0.0,3.559110755709233,0.32130447111670635,37.44480621217153,1.2162744524187152,554.3703732434018,207.29004436838176,0.0,0.0,0.0,187.938988900211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_1,2026-04-23
