,AT_CH,CH_AT,AT_CZ,CZ_AT,AT_DE_LU,DE_LU_AT,AT_HU,HU_AT,AT_IT_NORD,IT_NORD_AT,AT_SI,SI_AT,AT_CH_net_export,AT_CZ_net_export,AT_DE_LU_net_export,AT_HU_net_export,AT_IT_NORD_net_export,AT_SI_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,681.41687,0.0,0.0,1289.5,67.477,2753.6503000000002,1624.62825,0.0,213.0,0.0,978.5,0.0,681.41687,-1289.5,-2686.1733000000004,1624.62825,213.0,978.5,-478.1281800000004,None,AT,2026-04-23
2026-01-01 01:00:00+00:00,610.04309,0.0,0.0,1488.1,89.703,2937.94735,1475.15525,0.0,190.0,0.0,849.4,0.0,610.04309,-1488.1,-2848.24435,1475.15525,190.0,849.4,-1211.7460099999994,None,AT,2026-04-23
2026-01-01 02:00:00+00:00,658.560852,0.0,0.0,1662.4,212.264,3382.28895,1326.51075,0.0,183.0,0.0,801.5,0.0,658.560852,-1662.4,-3170.02495,1326.51075,183.0,801.5,-1862.853348,None,AT,2026-04-23
2026-01-01 03:00:00+00:00,597.098754,0.0,0.0,1739.7,246.067,3395.65945,1264.5675,0.0,175.25,0.0,749.0999999999999,0.0,597.098754,-1739.7,-3149.59245,1264.5675,175.25,749.0999999999999,-2103.2761960000003,None,AT,2026-04-23
2026-01-01 04:00:00+00:00,658.358947,0.0,0.0,1730.1,251.009,2998.507025,1164.543,0.0,227.25,0.0,713.5,0.0,658.358947,-1730.1,-2747.498025,1164.543,227.25,713.5,-1713.946078,None,AT,2026-04-23
2026-01-01 05:00:00+00:00,811.272338,0.0,0.0,1901.8,184.299,2844.4046,947.7,0.0,205.25,0.0,585.9,0.0,811.272338,-1901.8,-2660.1056,947.7,205.25,585.9,-2011.7832619999995,None,AT,2026-04-23
2026-01-01 06:00:00+00:00,899.030395,0.0,0.0,1944.1,189.685,2743.5639,501.56575,0.0,210.75,0.0,438.7,0.0,899.030395,-1944.1,-2553.8789,501.56575,210.75,438.7,-2447.9327550000007,None,AT,2026-04-23
2026-01-01 07:00:00+00:00,836.017883,0.0,0.0,1567.5,160.13400000000001,2487.3140249999997,92.385,58.0105,199.0,0.0,50.6,145.7,836.017883,-1567.5,-2327.1800249999997,34.374500000000005,199.0,-95.1,-2920.3876419999997,None,AT,2026-04-23
2026-01-01 08:00:00+00:00,787.732971,0.0,0.0,1468.5,21.68,2856.8957,0.0,299.9405,213.0,0.0,0.0,374.7,787.732971,-1468.5,-2835.2157,-299.9405,213.0,-374.7,-3977.6232290000003,None,AT,2026-04-23
2026-01-01 09:00:00+00:00,793.885009,0.0,0.0,1331.6,93.23,3097.7152,0.0,225.87175,184.75,0.0,0.0,215.1,793.885009,-1331.6,-3004.4852,-225.87175,184.75,-215.1,-3798.4219409999996,None,AT,2026-04-23
2026-01-01 10:00:00+00:00,777.646484,0.0,0.0,1249.5,125.35675,3298.398075,1.29125,35.6295,199.75,0.0,7.0,46.4,777.646484,-1249.5,-3173.041325,-34.33825,199.75,-39.4,-3518.883091,None,AT,2026-04-23
2026-01-01 11:00:00+00:00,958.039794,0.0,0.0,1215.3,92.313175,3261.751275,0.0,188.298,206.0,0.0,0.0,28.799999999999997,958.039794,-1215.3,-3169.4381000000003,-188.298,206.0,-28.799999999999997,-3437.796306,None,AT,2026-04-23
2026-01-01 12:00:00+00:00,812.06958,0.0,0.0,1287.1,141.524,3229.5644,6.301,81.074,178.75,0.0,12.3,31.1,812.06958,-1287.1,-3088.0404000000003,-74.773,178.75,-18.8,-3477.8938200000007,None,AT,2026-04-23
2026-01-01 13:00:00+00:00,694.103698,0.0,0.0,1681.8,100.471925,3139.0449,374.78675,3.53575,192.75,0.0,358.7,0.0,694.103698,-1681.8,-3038.572975,371.251,192.75,358.7,-3103.5682770000003,None,AT,2026-04-23
2026-01-01 14:00:00+00:00,416.413421,0.0,0.0,1848.4,153.09925,3107.382625,768.9215,0.0,182.0,0.0,494.8,0.0,416.413421,-1848.4,-2954.283375,768.9215,182.0,494.8,-2940.548454,None,AT,2026-04-23
2026-01-01 15:00:00+00:00,362.62033,0.0,0.0,1924.1,183.426175,2845.5604249999997,729.65225,0.0,199.0,0.0,342.5,0.0,362.62033,-1924.1,-2662.1342499999996,729.65225,199.0,342.5,-2952.4616699999997,None,AT,2026-04-23
2026-01-01 16:00:00+00:00,503.321899,0.0,0.0,1895.9,192.762,2850.426925,648.9525,0.0,220.5,0.0,66.3,6.7,503.321899,-1895.9,-2657.664925,648.9525,220.5,59.599999999999994,-3121.1905260000003,None,AT,2026-04-23
2026-01-01 17:00:00+00:00,558.852294,0.0,0.0,1900.8,161.978,2634.673975,543.6055,0.0,218.0,0.0,7.2,4.8,558.852294,-1900.8,-2472.695975,543.6055,218.0,2.4000000000000004,-3050.638181,None,AT,2026-04-23
2026-01-01 18:00:00+00:00,711.606018,0.0,0.0,1915.1,162.128,2861.154575,543.59175,0.0,225.5,0.0,138.5,0.0,711.606018,-1915.1,-2699.026575,543.59175,225.5,138.5,-2994.928807,None,AT,2026-04-23
2026-01-01 19:00:00+00:00,714.057128,0.0,0.0,2107.6,138.12199999999999,3059.1615,585.82825,0.0,200.75,0.0,245.8,0.0,714.057128,-2107.6,-2921.0395000000003,585.82825,200.75,245.8,-3282.2041220000006,None,AT,2026-04-23
2026-01-01 20:00:00+00:00,833.422546,0.0,0.0,2073.3,190.948,3432.112225,646.04125,0.0,198.25,0.0,350.1,0.0,833.422546,-2073.3,-3241.164225,646.04125,198.25,350.1,-3286.650429,None,AT,2026-04-23
2026-01-01 21:00:00+00:00,894.711608,0.0,0.0,1971.2,137.251,3328.1580750000003,552.6179999999999,0.0,213.5,0.0,334.4,0.0,894.711608,-1971.2,-3190.907075,552.6179999999999,213.5,334.4,-3166.8774670000003,None,AT,2026-04-23
2026-01-01 22:00:00+00:00,892.97998,0.0,0.0,2081.0,151.235,3268.124225,545.6955,0.0,214.75,0.0,402.7,0.0,892.97998,-2081.0,-3116.889225,545.6955,214.75,402.7,-3141.763745,None,AT,2026-04-23
2026-01-01 23:00:00+00:00,1069.829711,0.0,0.0,2014.2,19.409,3174.3072,581.641,0.0,204.25,0.0,452.0,0.0,1069.829711,-2014.2,-3154.8982,581.641,204.25,452.0,-2861.377489,None,AT,2026-04-23
2026-01-02 00:00:00+00:00,1052.320434,0.0,0.0,2050.7,64.773,3075.72945,481.18375,0.0,194.25,0.0,390.4,0.0,1052.320434,-2050.7,-3010.9564499999997,481.18375,194.25,390.4,-2943.502265999999,None,AT,2026-04-23
2026-01-02 01:00:00+00:00,1014.126464,0.0,0.0,1999.3,74.435,3069.665475,478.231,0.0,188.5,0.0,345.2,0.0,1014.126464,-1999.3,-2995.230475,478.231,188.5,345.2,-2968.473011,None,AT,2026-04-23
2026-01-02 02:00:00+00:00,1044.907592,0.0,0.0,1930.1999999999998,53.989,3001.135825,438.00675,0.0,195.75,0.0,274.1,0.0,1044.907592,-1930.1999999999998,-2947.146825,438.00675,195.75,274.1,-2924.5824829999997,None,AT,2026-04-23
