,BA_HR,HR_BA,BA_ME,ME_BA,BA_RS,RS_BA,BA_HR_net_export,BA_ME_net_export,BA_RS_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,1088.0,629.268,0.0,138.2234,0.0,-1088.0,629.268,138.2234,-320.5086,None,BA,2026-04-23
2026-01-01 01:00:00+00:00,0.0,1066.0,659.149225,0.0,123.456,0.0,-1066.0,659.149225,123.456,-283.394775,None,BA,2026-04-23
2026-01-01 02:00:00+00:00,0.0,1026.0,680.018725,0.0,86.2019,0.0,-1026.0,680.018725,86.2019,-259.77937499999996,None,BA,2026-04-23
2026-01-01 03:00:00+00:00,0.0,1047.0,731.511725,0.0,79.685,0.0,-1047.0,731.511725,79.685,-235.80327500000004,None,BA,2026-04-23
2026-01-01 04:00:00+00:00,0.0,1004.0,700.21165,0.0,60.1187,0.0,-1004.0,700.21165,60.1187,-243.66965000000005,None,BA,2026-04-23
2026-01-01 05:00:00+00:00,0.0,1025.0,713.089975,0.0,15.1839,0.0,-1025.0,713.089975,15.1839,-296.726125,None,BA,2026-04-23
2026-01-01 06:00:00+00:00,0.0,662.0,437.611125,0.0,0.0,123.4323,-662.0,437.611125,-123.4323,-347.821175,None,BA,2026-04-23
2026-01-01 07:00:00+00:00,21.0,0.0,77.0534,148.231425,0.0,246.0783,21.0,-71.178025,-246.0783,-296.256325,None,BA,2026-04-23
2026-01-01 08:00:00+00:00,364.0,0.0,24.662,350.130075,0.0,319.7954,364.0,-325.468075,-319.7954,-281.26347499999997,None,BA,2026-04-23
2026-01-01 09:00:00+00:00,220.0,0.0,36.8158,193.968,0.0,288.4229,220.0,-157.1522,-288.4229,-225.57510000000002,None,BA,2026-04-23
2026-01-01 10:00:00+00:00,27.0,0.0,73.63865,58.03,0.0,217.8711,27.0,15.608649999999997,-217.8711,-175.26245,None,BA,2026-04-23
2026-01-01 11:00:00+00:00,87.0,0.0,68.22055,62.01,0.0,230.6362,87.0,6.210550000000005,-230.6362,-137.42565,None,BA,2026-04-23
2026-01-01 12:00:00+00:00,0.0,209.0,203.482775,23.166,0.0,183.2963,-209.0,180.316775,-183.2963,-211.979525,None,BA,2026-04-23
2026-01-01 13:00:00+00:00,0.0,646.0,451.91785,3.498,0.0,100.5926,-646.0,448.41985,-100.5926,-298.17275,None,BA,2026-04-23
2026-01-01 14:00:00+00:00,0.0,1217.0,908.53625,0.0,45.3748,0.0,-1217.0,908.53625,45.3748,-263.08895,None,BA,2026-04-23
2026-01-01 15:00:00+00:00,0.0,1045.0,787.418025,0.0,14.3197,0.0,-1045.0,787.418025,14.3197,-243.26227500000005,None,BA,2026-04-23
2026-01-01 16:00:00+00:00,0.0,1012.0,763.7004,0.0,13.4384,0.0,-1012.0,763.7004,13.4384,-234.86120000000005,None,BA,2026-04-23
2026-01-01 17:00:00+00:00,0.0,1038.0,803.48885,0.0,24.6505,0.0,-1038.0,803.48885,24.6505,-209.86065000000005,None,BA,2026-04-23
2026-01-01 18:00:00+00:00,0.0,996.0,788.60535,0.0,10.146,0.0,-996.0,788.60535,10.146,-197.24864999999994,None,BA,2026-04-23
2026-01-01 19:00:00+00:00,0.0,1134.0,855.725175,0.0,92.5659,0.0,-1134.0,855.725175,92.5659,-185.70892499999997,None,BA,2026-04-23
2026-01-01 20:00:00+00:00,0.0,1150.0,863.60785,0.0,97.1329,0.0,-1150.0,863.60785,97.1329,-189.25925,None,BA,2026-04-23
2026-01-01 21:00:00+00:00,0.0,1058.0,789.600475,0.0,34.6926,0.0,-1058.0,789.600475,34.6926,-233.70692500000004,None,BA,2026-04-23
2026-01-01 22:00:00+00:00,0.0,1161.0,870.41945,0.0,54.7602,0.0,-1161.0,870.41945,54.7602,-235.82035000000002,None,BA,2026-04-23
