,BG_GR,GR_BG,BG_MK,MK_BG,BG_RO,RO_BG,BG_RS,RS_BG,BG_GR_net_export,BG_MK_net_export,BG_RO_net_export,BG_RS_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,265.0,5.6,4.7568,0.0,651.04,21.0698,0.0,-265.0,0.8431999999999995,-651.04,21.0698,-894.127,None,BG,2026-04-23
2026-01-01 01:00:00+00:00,0.0,208.0,19.2,0.7392,0.0,693.04,0.0,8.0495,-208.0,18.4608,-693.04,-8.0495,-890.6286999999999,None,BG,2026-04-23
2026-01-01 02:00:00+00:00,0.0,109.0,47.2,1.144,0.0,664.88,0.0,22.9367,-109.0,46.056000000000004,-664.88,-22.9367,-750.7606999999999,None,BG,2026-04-23
2026-01-01 03:00:00+00:00,0.0,37.0,58.4,1.144,0.0,705.84,0.0,57.6935,-37.0,57.256,-705.84,-57.6935,-743.2775,None,BG,2026-04-23
2026-01-01 04:00:00+00:00,0.0,43.0,59.2,1.1616,0.0,713.12,0.0,62.7164,-43.0,58.0384,-713.12,-62.7164,-760.798,None,BG,2026-04-23
2026-01-01 05:00:00+00:00,84.0,1.0,100.8,1.144,0.0,928.0,0.0,80.1586,83.0,99.65599999999999,-928.0,-80.1586,-825.5026,None,BG,2026-04-23
2026-01-01 06:00:00+00:00,86.0,0.0,129.6,1.1616,0.0,803.44,90.2217,0.0,86.0,128.4384,-803.44,90.2217,-498.77990000000005,None,BG,2026-04-23
2026-01-01 07:00:00+00:00,35.0,43.0,180.0,1.1616,214.0,317.04,544.6577,0.0,-8.0,178.8384,-103.04000000000002,544.6577,612.4561,None,BG,2026-04-23
2026-01-01 08:00:00+00:00,0.0,106.0,160.8,1.144,380.64,202.4,729.3231,0.0,-106.0,159.656,178.23999999999998,729.3231,961.2190999999999,None,BG,2026-04-23
2026-01-01 09:00:00+00:00,10.0,15.0,171.2,1.1264,317.76,401.6,678.0519,0.0,-5.0,170.0736,-83.84000000000003,678.0519,759.2855,None,BG,2026-04-23
2026-01-01 10:00:00+00:00,0.0,94.0,88.0,1.1088,176.4,674.4,528.8254,0.0,-94.0,86.8912,-498.0,528.8254,23.71659999999997,None,BG,2026-04-23
2026-01-01 11:00:00+00:00,0.0,72.0,97.6,1.073599,158.32,760.0,527.7961,0.0,-72.0,96.52640099999999,-601.6800000000001,527.7961,-49.357499000000075,None,BG,2026-04-23
2026-01-01 12:00:00+00:00,32.0,3.0,130.4,1.0912,49.04,834.8,444.3567,0.0,29.0,129.30880000000002,-785.76,444.3567,-183.09449999999998,None,BG,2026-04-23
2026-01-01 13:00:00+00:00,80.0,3.0,113.6,1.0208,0.48,1140.0,211.4708,0.0,77.0,112.5792,-1139.52,211.4708,-738.47,None,BG,2026-04-23
2026-01-01 14:00:00+00:00,331.0,0.0,167.2,0.7216,0.0,1422.72,0.0,22.248,331.0,166.4784,-1422.72,-22.248,-947.4896000000001,None,BG,2026-04-23
2026-01-01 15:00:00+00:00,377.0,0.0,191.2,0.7392,0.0,1334.56,0.0,1.5337,377.0,190.46079999999998,-1334.56,-1.5337,-768.6329,None,BG,2026-04-23
2026-01-01 16:00:00+00:00,384.0,0.0,220.0,0.7392,0.0,1272.56,58.2755,0.0,384.0,219.2608,-1272.56,58.2755,-611.0237,None,BG,2026-04-23
2026-01-01 17:00:00+00:00,345.0,0.0,213.6,0.7392,0.0,1282.64,41.7675,0.0,345.0,212.86079999999998,-1282.64,41.7675,-683.0117000000001,None,BG,2026-04-23
2026-01-01 18:00:00+00:00,300.0,0.0,184.8,0.7392,0.0,1416.32,0.0,1.8133,300.0,184.0608,-1416.32,-1.8133,-934.0725,None,BG,2026-04-23
